"I_Value","J_Value","TP_Base","TP_25Percent_GeneseeRiver","Conc_Change","Percent_Change"
9,91,7.28835402696859e-06,7.28835402696859e-06,0,0
10,91,7.16859540261794e-06,7.16859540261794e-06,0,0
11,90,6.85003124090144e-06,6.85003124090144e-06,0,0
11,91,7.03152045389288e-06,7.03152045389288e-06,0,0
12,89,6.75184492138214e-06,6.75184492138214e-06,0,0
12,90,6.6843381318904e-06,6.6843381318904e-06,0,0
12,91,6.85233680997044e-06,6.85233680997044e-06,0,0
13,90,6.45720092506963e-06,6.45720092506963e-06,0,0
13,91,6.70963072479935e-06,6.70963072479935e-06,0,0
14,89,6.64496246827184e-06,6.64496246827184e-06,0,0
14,90,6.35303103990736e-06,6.35303103990736e-06,0,0
14,91,6.5377525970689e-06,6.5377525970689e-06,0,0
15,89,6.37936500424985e-06,6.37936500424985e-06,0,0
15,90,6.19000593360397e-06,6.19000593360397e-06,0,0
15,91,6.23827418166911e-06,6.23827418166911e-06,0,0
16,90,6.18093508819584e-06,6.18093508819584e-06,0,0
17,85,6.25477377980133e-06,6.25477377980133e-06,0,0
17,86,6.22514880888048e-06,6.22514880888048e-06,0,0
17,87,6.24134054305614e-06,6.24134054305614e-06,0,0
17,88,6.23304913460743e-06,6.23304913460743e-06,0,0
17,89,6.29002443019999e-06,6.29002443019999e-06,0,0
17,90,6.33585705145379e-06,6.33585705145379e-06,0,0
18,85,6.33913214187487e-06,6.33913214187487e-06,0,0
18,86,6.25777875029598e-06,6.25777875029598e-06,0,0
18,87,6.23313371761469e-06,6.23313371761469e-06,0,0
18,88,6.24979111307766e-06,6.24979111307766e-06,0,0
18,89,6.31246984994505e-06,6.31246984994505e-06,0,0
18,90,6.33010358797037e-06,6.33010358797037e-06,0,0
18,91,6.28896577836713e-06,6.28896577836713e-06,0,0
19,84,6.41672932033543e-06,6.41672932033543e-06,0,0
19,85,6.36086542726844e-06,6.36086542726844e-06,0,0
19,86,6.26890050625661e-06,6.26890050625661e-06,0,0
19,87,6.20824903307948e-06,6.20824903307948e-06,0,0
19,88,6.24478661848116e-06,6.24478661848116e-06,0,0
19,89,6.29747773928102e-06,6.29747773928102e-06,0,0
19,90,6.32597766525578e-06,6.32597766525578e-06,0,0
19,91,6.31909460935276e-06,6.31909460935276e-06,0,0
20,83,6.08085019848659e-06,6.08085019848659e-06,0,0
20,84,6.4617770476616e-06,6.4617770476616e-06,0,0
20,85,6.32802357358742e-06,6.32802357358742e-06,0,0
20,86,6.22948073214502e-06,6.22948073214502e-06,0,0
20,87,6.17734440311324e-06,6.17734440311324e-06,0,0
20,88,6.20542550677783e-06,6.20542550677783e-06,0,0
20,89,6.27051485935226e-06,6.27051485935226e-06,0,0
20,90,6.31358989267028e-06,6.31358989267028e-06,0,0
20,91,6.3112406678556e-06,6.3112406678556e-06,0,0
21,83,6.48520699542132e-06,6.48520699542132e-06,0,0
21,84,6.45353838990559e-06,6.45353838990559e-06,0,0
21,85,6.34329171589343e-06,6.34329171589343e-06,0,0
21,86,6.22738298261538e-06,6.22738298261538e-06,0,0
21,87,6.12818030276685e-06,6.12818030276685e-06,0,0
21,88,6.16821080257068e-06,6.16821080257068e-06,0,0
21,89,6.20763194092433e-06,6.20763194092433e-06,0,0
21,90,6.27652752882568e-06,6.27652752882568e-06,0,0
