"I_Value","J_Value","TP_Base","TP_25Percent_NiagaraRiver","Conc_Change","Percent_Change"
9,91,7.28835402696859e-06,7.28857276044437e-06,2.18733475776389e-10,0.00300113681315459
10,91,7.16859540261794e-06,7.16910744813504e-06,5.12045517098159e-10,0.00714289882940195
11,90,6.85003124090144e-06,6.85113036524854e-06,1.09912434709258e-09,0.0160455377273278
11,91,7.03152045389288e-06,7.03269233781612e-06,1.17188392323442e-09,0.0166661525187717
12,89,6.75184492138214e-06,6.75251521897735e-06,6.70297595206648e-10,0.00992762130960547
12,90,6.6843381318904e-06,6.68632856104523e-06,1.99042915483005e-09,0.0297775054995182
12,91,6.85233680997044e-06,6.85358736518538e-06,1.25055521493778e-09,0.0182500546838002
13,90,6.45720092506963e-06,6.45857426206931e-06,1.37333699967712e-09,0.0212683020958081
13,91,6.70963072479935e-06,6.71114912620396e-06,1.5184014046099e-09,0.0226301784239446
14,89,6.64496246827184e-06,6.64803064864827e-06,3.06818037643097e-09,0.0461730279302678
14,90,6.35303103990736e-06,6.35483456790098e-06,1.80352799361572e-09,0.0283884650064926
14,91,6.5377525970689e-06,6.54012774248258e-06,2.37514541368e-09,0.0363296924809431
15,89,6.37936500424985e-06,6.38218534732005e-06,2.82034307019785e-09,0.0442104044574809
15,90,6.19000593360397e-06,6.19194770479226e-06,1.9417711882852e-09,0.0313694560088193
15,91,6.23827418166911e-06,6.24040876573417e-06,2.13458406506106e-09,0.0342175416292769
16,90,6.18093508819584e-06,6.1875575738668e-06,6.62248567095958e-09,0.107143750524205
17,85,6.25477377980133e-06,6.32721730653429e-06,7.24435267329682e-08,1.15821178004729
17,86,6.22514880888048e-06,6.28820271231234e-06,6.30539034318645e-08,1.01288989818067
17,87,6.24134054305614e-06,6.29554870101856e-06,5.4208157962421e-08,0.868533892494149
17,88,6.23304913460743e-06,6.28050975137739e-06,4.74606167699676e-08,0.761434985430398
17,89,6.29002443019999e-06,6.33125773674692e-06,4.12333065469284e-08,0.655534918894065
17,90,6.33585705145379e-06,6.36305003354209e-06,2.71929820883088e-08,0.429191849934008
18,85,6.33913214187487e-06,6.43321436655242e-06,9.40822246775497e-08,1.48414992102884
18,86,6.25777875029598e-06,6.32755973128951e-06,6.97809809935279e-08,1.11510783263514
18,87,6.23313371761469e-06,6.29242322247592e-06,5.92895048612263e-08,0.951198988298222
18,88,6.24979111307766e-06,6.2998287830851e-06,5.00376700074412e-08,0.800629478683497
18,89,6.31246984994505e-06,6.35473088550498e-06,4.22610355599318e-08,0.669484949069494
18,90,6.33010358797037e-06,6.3612851590733e-06,3.1181571102934e-08,0.492591798374215
18,91,6.28896577836713e-06,6.31481725577032e-06,2.58514774031937e-08,0.411060869374071
19,84,6.41672932033543e-06,6.5471645029902e-06,1.30435182654765e-07,2.03273624526125
19,85,6.36086542726844e-06,6.47494971417473e-06,1.14084286906291e-07,1.7935340436102
19,86,6.26890050625661e-06,6.36046706858906e-06,9.15665623324458e-08,1.46064787981654
19,87,6.20824903307948e-06,6.27970121058752e-06,7.14521775080357e-08,1.15092318506098
19,88,6.24478661848116e-06,6.30291469860822e-06,5.81280801270623e-08,0.930825721971587
19,89,6.29747773928102e-06,6.34418483969057e-06,4.67071004095487e-08,0.741679484124405
19,90,6.32597766525578e-06,6.36032109468943e-06,3.43434294336475e-08,0.542895205309881
19,91,6.31909460935276e-06,6.34633852314437e-06,2.72439137916081e-08,0.431136349047297
20,83,6.08085019848659e-06,6.15756744082319e-06,7.67172423365992e-08,1.26162032992841
20,84,6.4617770476616e-06,6.61086323816562e-06,1.49086190504022e-07,2.3072010904179
20,85,6.32802357358742e-06,6.44588681097957e-06,1.17863237392157e-07,1.86256002401931
20,86,6.22948073214502e-06,6.31926423011464e-06,8.97834979696199e-08,1.44126776901844
20,87,6.17734440311324e-06,6.24674476057407e-06,6.94003574608359e-08,1.12346589297919
20,88,6.20542550677783e-06,6.26211021881318e-06,5.66847120353486e-08,0.913470187877289
20,89,6.27051485935226e-06,6.31713919574395e-06,4.66243363916874e-08,0.743548774502125
20,90,6.31358989267028e-06,6.34896287010633e-06,3.53729774360545e-08,0.560267265333792
20,91,6.3112406678556e-06,6.33884656053851e-06,2.76058926829137e-08,0.437408334363099
21,83,6.48520699542132e-06,6.66532878312864e-06,1.80121787707321e-07,2.77742542118533
21,84,6.45353838990559e-06,6.62544198348769e-06,1.71903593582101e-07,2.66371071490002
21,85,6.34329171589343e-06,6.48079003440216e-06,1.37498318508733e-07,2.16761777113646
21,86,6.22738298261538e-06,6.32800038147252e-06,1.00617398857139e-07,1.61572524346145
21,87,6.12818030276685e-06,6.19775528321043e-06,6.95749804435764e-08,1.13532854789151
21,88,6.16821080257068e-06,6.22316565568326e-06,5.49548531125765e-08,0.890936689285544
21,89,6.20763194092433e-06,6.25191978542716e-06,4.42878445028327e-08,0.713441855514362
21,90,6.27652752882568e-06,6.31123248240328e-06,3.47049535776023e-08,0.552932388461864
21,91,6.30748354524258e-06,6.33518629911123e-06,2.77027538686525e-08,0.43920453648345
22,81,6.28492080068099e-06,6.38913206785219e-06,1.04211267171195e-07,1.65811583751227
22,82,6.29384248895803e-06,6.4222008404613e-06,1.28358351503266e-07,2.0394274519653
22,83,6.50401216262253e-06,6.70413419356919e-06,2.00122030946659e-07,3.07690124100208
22,84,6.44153806206305e-06,6.62553020447376e-06,1.83992142410716e-07,2.85633866691441
22,85,6.32740193395875e-06,6.47349770588335e-06,1.46095771924593e-07,2.30893775121991
22,86,6.22291190666147e-06,6.32840601610951e-06,1.05494109448045e-07,1.69525313921151
22,87,6.14044802205171e-06,6.21322033111937e-06,7.27723090676591e-08,1.18513028375645
22,88,6.11366704106331e-06,6.16567649558419e-06,5.20094545208849e-08,0.850707998514738
22,89,6.19054117123596e-06,6.23365531282616e-06,4.31141415901948e-08,0.696451899722797
22,90,6.24315362074412e-06,6.27678673481569e-06,3.36331140715629e-08,0.538719950119602
22,91,6.33610534350737e-06,6.36451704849605e-06,2.84117049886845e-08,0.448409605717779
23,81,6.25071334070526e-06,6.40377174931928e-06,1.53058408614015e-07,2.44865506177165
23,82,6.27744248049567e-06,6.45557429379551e-06,1.78131813299842e-07,2.83764947035846
23,83,6.45102727503399e-06,6.66532969262335e-06,2.14302417589352e-07,3.32198901745028
23,84,6.40950429442455e-06,6.60171372146579e-06,1.92209427041234e-07,2.9988189134756
23,85,6.28475845587673e-06,6.43148950985051e-06,1.46731053973781e-07,2.33471270222925
23,86,6.1649884628423e-06,6.26462178843212e-06,9.96333255898207e-08,1.61611536161555
23,87,6.04290926276008e-06,6.10666393185966e-06,6.37546690995805e-08,1.05503270572792
23,88,6.04023898631567e-06,6.08707568972022e-06,4.68367034045514e-08,0.775411428432902
23,89,6.11981431575259e-06,6.1592172642122e-06,3.94029484596103e-08,0.643858562149279
23,90,6.20943092144444e-06,6.24207496002782e-06,3.26440385833848e-08,0.525717074501107
23,91,6.32376577414107e-06,6.35261449133395e-06,2.88487171928864e-08,0.456195220114787
23,92,6.27700819677557e-06,6.30438398729893e-06,2.73757905233651e-08,0.436128003424112
24,81,6.3156803662423e-06,6.54614768791362e-06,2.30467321671313e-07,3.64912896642418
24,82,6.38638857708429e-06,6.62728507450083e-06,2.40896497416543e-07,3.77203006846358
24,83,6.43252860754728e-06,6.66154801365337e-06,2.2901940610609e-07,3.56033249253461
24,84,6.39646441413788e-06,6.59444822304067e-06,1.97983808902791e-07,3.09520691563912
24,85,6.27536110187066e-06,6.42465238342993e-06,1.49291281559272e-07,2.37900702661985
24,86,6.06751518716919e-06,6.15753106103512e-06,9.00158738659229e-08,1.48357063953094
24,87,5.98363840254024e-06,6.04001616011374e-06,5.63777575735003e-08,0.942198605276118
24,88,5.99641498411074e-06,6.03931357545662e-06,4.28985913458746e-08,0.715403978202759
24,89,6.06907906330889e-06,6.1057394304953e-06,3.66603671864141e-08,0.604051567033412
24,90,6.17510659139953e-06,6.20685023022816e-06,3.17436388286296e-08,0.514058152013782
24,91,6.29474425295484e-06,6.3235524976335e-06,2.88082446786575e-08,0.457655522146662
24,92,6.29704436505563e-06,6.32496903563151e-06,2.79246705758851e-08,0.443456786343261
25,80,6.40769076198922e-06,6.63610489937128e-06,2.2841413738206e-07,3.5646872776231
25,81,6.38895153315389e-06,6.65076413497445e-06,2.61812601820566e-07,4.09789619567395
25,82,6.45835643808823e-06,6.71459474688163e-06,2.56238308793399e-07,3.96754671640963
25,83,6.41086808172986e-06,6.63852188154124e-06,2.27653799811378e-07,3.55106043220827
25,84,6.3652832977823e-06,6.55320627629408e-06,1.87922978511779e-07,2.95231130682356
25,85,6.164963451738e-06,6.28966063231928e-06,1.24697180581279e-07,2.02267509868408
25,86,5.99783061261405e-06,6.0706206568284e-06,7.27900442143437e-08,1.21360620056956
25,87,5.94433458900312e-06,5.99186068939161e-06,4.75261003884953e-08,0.799519267916335
25,88,5.97064672547276e-06,6.00886687607272e-06,3.82201505999546e-08,0.640134182397609
25,89,6.03112357566715e-06,6.06513003731379e-06,3.40064616466407e-08,0.563849525216849
25,90,6.14586815572693e-06,6.1768096202286e-06,3.09414645016659e-08,0.503451485089761
25,91,6.25892607786227e-06,6.28731550023076e-06,2.83894223684911e-08,0.453582963200413
25,92,6.32949831924634e-06,6.35777223578771e-06,2.82739165413659e-08,0.446700751233196
26,79,6.27039435130428e-06,6.56439033264178e-06,2.93995981337503e-07,4.68863623029307
26,80,6.36640425000223e-06,6.63600076222792e-06,2.69596512225689e-07,4.23467473378862
26,81,6.37709354123217e-06,6.65096195007209e-06,2.73868408839917e-07,4.29456471148141
26,82,6.39620202491642e-06,6.65658444631845e-06,2.60382421402028e-07,4.07089113801765
26,83,6.38881465420127e-06,6.61489593767328e-06,2.26081283472013e-07,3.53870468480945
26,84,6.30294107395457e-06,6.47727165414835e-06,1.74330580193782e-07,2.76586086000649
26,85,6.06138200964779e-06,6.16320403423742e-06,1.01822024589637e-07,1.67984833207293
26,86,5.94967787037604e-06,6.00705379838473e-06,5.73759280086961e-08,0.964353520622954
26,87,5.9206777223153e-06,5.95848678131006e-06,3.78090589947533e-08,0.638593430820415
26,88,5.94770699535729e-06,5.97898770138272e-06,3.12807060254272e-08,0.525928833579807
26,89,6.00171961195883e-06,6.03202806814807e-06,3.03084561892319e-08,0.504996203568729
26,90,6.12236271990696e-06,6.15211911281222e-06,2.97563929052558e-08,0.486027931806497
26,91,6.22765719526797e-06,6.25547727395315e-06,2.78200786851812e-08,0.446718208997118
26,92,6.31346983936965e-06,6.34121533948928e-06,2.77455001196358e-08,0.439465156649992
26,93,6.2676358538738e-06,6.29369924354251e-06,2.60633896687068e-08,0.415840841369206
27,78,6.24287986283889e-06,6.52217295282753e-06,2.79293089988641e-07,4.47378607509573
27,79,6.39975314697949e-06,6.71653515382786e-06,3.16782006848371e-07,4.94990977890894
27,80,6.39932704871171e-06,6.70497547616833e-06,3.05648427456617e-07,4.77625889613111
27,81,6.38527853880078e-06,6.67932954456774e-06,2.9405100576696e-07,4.60513983814692
27,82,6.40839334664633e-06,6.67471158521948e-06,2.66318238573149e-07,4.15577234678517
27,83,6.34095977147808e-06,6.55563371765311e-06,2.14673946175026e-07,3.38551187693445
27,84,6.22382049186854e-06,6.37150424154243e-06,1.47683749673888e-07,2.37287932495543
27,85,6.01027886659722e-06,6.09502421866637e-06,8.47453520691488e-08,1.41000698886254
27,86,5.93650975133642e-06,5.98342649027472e-06,4.69167389383074e-08,0.79030846243865
27,87,5.91401067140396e-06,5.94285393162863e-06,2.88432602246758e-08,0.487710655716969
27,88,5.92547939959331e-06,5.94849416302168e-06,2.30147634283639e-08,0.388403399561958
27,89,5.97694543102989e-06,6.00224257141235e-06,2.52971403824631e-08,0.42324529601911
27,90,6.095222033764e-06,6.12275471212342e-06,2.7532678359421e-08,0.451709194626641
27,91,6.19878892393899e-06,6.22562492935685e-06,2.68360054178629e-08,0.432923362081671
27,92,6.27811505182763e-06,6.30493104836205e-06,2.68159965344239e-08,0.427134519088137
27,93,6.29214309810777e-06,6.31791272098781e-06,2.57696228800341e-08,0.40955239698512
28,77,6.32028331892798e-06,6.6222419263795e-06,3.01958607451525e-07,4.77761189197357
28,78,6.32985438642208e-06,6.64192521071527e-06,3.12070824293187e-07,4.93014223143264
28,79,6.41872202322702e-06,6.74514740239829e-06,3.26425379171269e-07,5.085519796465
28,80,6.37667244518525e-06,6.69266819386394e-06,3.15995748678688e-07,4.95549601136064
28,81,6.35459446129971e-06,6.6463749135437e-06,2.91780452243984e-07,4.59164552546923
28,82,6.35752076050267e-06,6.60637670080177e-06,2.48855940299109e-07,3.91435513423998
28,83,6.1486730373872e-06,6.31721331956214e-06,1.68540282174945e-07,2.74108382654486
28,84,6.08798291068524e-06,6.19582442595856e-06,1.07841515273321e-07,1.77138334412938
28,85,5.99543318458018e-06,6.06466437602649e-06,6.92311914463062e-08,1.15473209883089
28,86,5.93904360357556e-06,5.97726693740697e-06,3.82233338314109e-08,0.643594093304834
28,87,5.91743491895613e-06,5.93852291785879e-06,2.1087998902658e-08,0.356370609757007
28,88,5.9262424656481e-06,5.94206267123809e-06,1.58202055899892e-08,0.266951709817683
28,89,5.96469544689171e-06,5.98443011767813e-06,1.97346707864199e-08,0.330857978619913
28,90,6.05788136454066e-06,6.0821371334896e-06,2.42557689489331e-08,0.400400197516451
28,91,6.17363139099325e-06,6.19910224486375e-06,2.54708538705017e-08,0.412574905389741
28,92,6.25065922577051e-06,6.27642475592438e-06,2.57655301538762e-08,0.412205004676129
28,93,6.3407392190129e-06,6.36594359093579e-06,2.52043719228823e-08,0.397498951657027
28,94,6.32908313491498e-06,6.35180185781792e-06,2.27187229029369e-08,0.358957568081337
29,77,6.25601524006925e-06,6.55322492093546e-06,2.97209680866217e-07,4.75078255824274
29,78,6.3139341364149e-06,6.63479613649542e-06,3.20862000080524e-07,5.08180784196004
29,79,6.43886232865043e-06,6.77151729178149e-06,3.32654963131063e-07,5.16636241236092
29,80,6.38366736893659e-06,6.70368171995506e-06,3.20014351018472e-07,5.01301732254544
29,81,6.35537344351178e-06,6.64446997689083e-06,2.89096533379052e-07,4.54885202181457
29,82,6.29297574050725e-06,6.51596064926707e-06,2.22984908759827e-07,3.54339374494161
29,83,6.23262212684494e-06,6.39196332485881e-06,1.59341198013863e-07,2.55656760142017
29,84,6.0597476476687e-06,6.15090084465919e-06,9.115319699049e-08,1.50424080820524
29,85,5.97396319790278e-06,6.02714135311544e-06,5.31781552126631e-08,0.890165430401913
29,86,5.9439144024509e-06,5.97193866269663e-06,2.80242602457292e-08,0.471478193464121
29,87,5.93509685131721e-06,5.94957646171679e-06,1.44796103995759e-08,0.243965865466245
29,88,5.94799757891451e-06,5.95860592511599e-06,1.06083462014794e-08,0.178351555472816
29,89,5.96438303546165e-06,5.97871166974073e-06,1.43286342790816e-08,0.240236654720022
29,90,6.03091712036985e-06,6.05141894993722e-06,2.05018295673653e-08,0.339945470285423
29,91,6.15256112723728e-06,6.17614978182246e-06,2.35886545851827e-08,0.383395696480871
29,92,6.22781271886197e-06,6.25228767603403e-06,2.44749571720604e-08,0.392994431221958
29,93,6.31542616247316e-06,6.33960462437244e-06,2.41784618992824e-08,0.382847669773309
29,94,6.38140545561328e-06,6.40310372546082e-06,2.16982698475476e-08,0.340023369435979
30,77,6.34670004728832e-06,6.68767870593001e-06,3.40978658641689e-07,5.37253464164222
30,78,6.34039997748914e-06,6.68003758619307e-06,3.39637608703924e-07,5.35672212967271
30,79,6.42050054011634e-06,6.75777846481651e-06,3.37277924700174e-07,5.25314066392187
30,80,6.37412495052558e-06,6.69601786285057e-06,3.21892912324984e-07,5.04999376107997
30,81,6.34151274425676e-06,6.62159300190979e-06,2.80080257653026e-07,4.41661586041411
