"I_Value","J_Value","TP_Base","TP_25IC","Conc_Change","Percent_Change"
9,91,7.28835402696859e-06,9.0862331489916e-06,1.79787912202301e-06,24.6678346766696
10,91,7.16859540261794e-06,8.93655032996321e-06,1.76795492734527e-06,24.6625012021131
11,90,6.85003124090144e-06,8.53865094541106e-06,1.68861970450962e-06,24.651270120155
11,91,7.03152045389288e-06,8.76495323609561e-06,1.73343278220273e-06,24.6523179953639
12,89,6.75184492138214e-06,8.41677137941588e-06,1.66492645803373e-06,24.658837361047
12,90,6.6843381318904e-06,8.3315771917114e-06,1.647239059821e-06,24.6432635111945
12,91,6.85233680997044e-06,8.54144309414551e-06,1.68910628417507e-06,24.6500767696846
13,90,6.45720092506963e-06,8.04870433057658e-06,1.59150340550696e-06,24.6469549883148
13,91,6.70963072479935e-06,8.36331128084566e-06,1.65368055604631e-06,24.6463721160416
14,89,6.64496246827184e-06,8.28125848784111e-06,1.63629601956927e-06,24.6246089030932
14,90,6.35303103990736e-06,7.91845468484098e-06,1.56542364493362e-06,24.6405791991289
14,91,6.5377525970689e-06,8.14846771390876e-06,1.61071511683986e-06,24.6371378072947
15,89,6.37936500424985e-06,7.95027608546661e-06,1.57091108121676e-06,24.6248816327369
15,90,6.19000593360397e-06,7.71505074226297e-06,1.525044808659e-06,24.6372107719626
15,91,6.23827418166911e-06,7.77508103055879e-06,1.53680684888968e-06,24.6351283084915
16,90,6.18093508819584e-06,7.70126916904701e-06,1.52033408085117e-06,24.5971533296743
17,85,6.25477377980133e-06,7.74477575760102e-06,1.49000197779969e-06,23.8218364125556
17,86,6.22514880888048e-06,7.71646045905072e-06,1.49131165017025e-06,23.9562409824295
17,87,6.24134054305614e-06,7.74460932007059e-06,1.50326877701445e-06,24.0856714458071
17,88,6.23304913460743e-06,7.74019281379879e-06,1.50714367919136e-06,24.1798780443319
17,89,6.29002443019999e-06,7.8162756835809e-06,1.52625125338091e-06,24.2646315657057
17,90,6.33585705145379e-06,7.88265333540039e-06,1.54679628394661e-06,24.4133709360076
18,85,6.33913214187487e-06,7.82966981205391e-06,1.49053767017904e-06,23.5132765309132
18,86,6.25777875029598e-06,7.75115859141806e-06,1.49337984112208e-06,23.8643758546344
18,87,6.23313371761469e-06,7.73006831877865e-06,1.49693460116396e-06,24.0157626802335
18,88,6.24979111307766e-06,7.75892840465531e-06,1.50913729157764e-06,24.1470037041683
18,89,6.31246984994505e-06,7.84350504545728e-06,1.53103519551223e-06,24.2541387429448
18,90,6.33010358797037e-06,7.87320550443837e-06,1.543101916468e-06,24.377198493252
18,91,6.28896577836713e-06,7.82577080826741e-06,1.53680502990028e-06,24.4365303304178
19,84,6.41672932033543e-06,7.89120986155467e-06,1.47448054121924e-06,22.9786931567523
19,85,6.36086542726844e-06,7.83738596510375e-06,1.47652053783531e-06,23.2125731116022
19,86,6.26890050625661e-06,7.74437285144813e-06,1.47547234519152e-06,23.5363815986382
19,87,6.20824903307948e-06,7.68790596339386e-06,1.47965693031438e-06,23.8337238475825
19,88,6.24478661848116e-06,7.74580530560343e-06,1.50101868712227e-06,24.0363486989303
19,89,6.29747773928102e-06,7.82131974119693e-06,1.52384200191591e-06,24.197656029982
19,90,6.32597766525578e-06,7.86604050517781e-06,1.54006283992203e-06,24.345056549607
19,91,6.31909460935276e-06,7.86256805440644e-06,1.54347344505368e-06,24.4255473366266
20,83,6.08085019848659e-06,7.52278720028698e-06,1.4419370018004e-06,23.7127532291335
20,84,6.4617770476616e-06,7.92940863902913e-06,1.46763159136754e-06,22.712507419281
20,85,6.32802357358742e-06,7.79297261033207e-06,1.46494903674466e-06,23.150182986979
20,86,6.22948073214502e-06,7.69725193094928e-06,1.46777119880426e-06,23.5616941750914
20,87,6.17734440311324e-06,7.65171989769442e-06,1.47437549458118e-06,23.8674646962881
20,88,6.20542550677783e-06,7.69858161220327e-06,1.49315610542544e-06,24.0621066805903
20,89,6.27051485935226e-06,7.7883187259431e-06,1.51780386659084e-06,24.2054105705066
20,90,6.31358989267028e-06,7.85025804361794e-06,1.53666815094766e-06,24.3390555463801
20,91,6.3112406678556e-06,7.85272914072266e-06,1.54148847286706e-06,24.4244920134034
21,83,6.48520699542132e-06,7.92822629591683e-06,1.44301930049551e-06,22.2509366549796
21,84,6.45353838990559e-06,7.89712976256851e-06,1.44359137266292e-06,22.368990241399
21,85,6.34329171589343e-06,7.79317724663997e-06,1.44988553074654e-06,22.8569896464604
21,86,6.22738298261538e-06,7.68441805121256e-06,1.45703506859718e-06,23.3972291838273
21,87,6.12818030276685e-06,7.59034901420819e-06,1.46216871144134e-06,23.8597534537483
21,88,6.16821080257068e-06,7.65415916248458e-06,1.48594835991389e-06,24.0904276373726
21,89,6.20763194092433e-06,7.71226859797025e-06,1.50463665704592e-06,24.2384966016828
21,90,6.27652752882568e-06,7.80493428464979e-06,1.52840675582411e-06,24.3511519515325
21,91,6.30748354524258e-06,7.84820895205485e-06,1.54072540681227e-06,24.4269429442169
22,81,6.28492080068099e-06,7.75034186517587e-06,1.46542106449488e-06,23.316460317783
22,82,6.29384248895803e-06,7.73854026192566e-06,1.44469777296763e-06,22.9541456670105
22,83,6.50401216262253e-06,7.93242725194432e-06,1.42841508932179e-06,21.9620605498042
22,84,6.44153806206305e-06,7.87068529461976e-06,1.42914723255672e-06,22.1864284397165
22,85,6.32740193395875e-06,7.76529032009421e-06,1.43788838613546e-06,22.7247834283832
22,86,6.22291190666147e-06,7.67445089877583e-06,1.45153899211437e-06,23.3257197576673
22,87,6.14044802205171e-06,7.60312059355783e-06,1.46267257150612e-06,23.8202907386128
22,88,6.11366704106331e-06,7.58914211473893e-06,1.47547507367563e-06,24.1340436724046
22,89,6.19054117123596e-06,7.69252801546827e-06,1.50198684423231e-06,24.2626097248365
22,90,6.24315362074412e-06,7.76447905082023e-06,1.5213254300761e-06,24.3678999828099
22,91,6.33610534350737e-06,7.88366014603525e-06,1.54755480252788e-06,24.424385622213
23,81,6.25071334070526e-06,7.66052744438639e-06,1.40981410368113e-06,22.5544514175731
23,82,6.27744248049567e-06,7.67003348300932e-06,1.39259100251365e-06,22.184050381035
23,83,6.45102727503399e-06,7.85257725510746e-06,1.40154998007347e-06,21.7259968113541
23,84,6.40950429442455e-06,7.82313600211637e-06,1.41363170769182e-06,22.05524238312
23,85,6.28475845587673e-06,7.71168197388761e-06,1.42692351801088e-06,22.7045085030531
23,86,6.1649884628423e-06,7.60801458454807e-06,1.44302612170577e-06,23.4067935471931
23,87,6.04290926276008e-06,7.4896793194057e-06,1.44677005664562e-06,23.9416147709094
23,88,6.04023898631567e-06,7.50223262002692e-06,1.46199363371124e-06,24.2042349155958
23,89,6.11981431575259e-06,7.60765306040412e-06,1.48783874465153e-06,24.3118282334447
23,90,6.20943092144444e-06,7.72353541833581e-06,1.51410449689138e-06,24.3839494479659
23,91,6.32376577414107e-06,7.86824602982961e-06,1.54448025568854e-06,24.4234260225794
23,92,6.27700819677557e-06,7.81123071647016e-06,1.53422251969459e-06,24.4419390830604
24,81,6.3156803662423e-06,7.66712309996365e-06,1.35144273372134e-06,21.3982129454316
24,82,6.38638857708429e-06,7.74575164541602e-06,1.35936306833173e-06,21.2853172324874
24,83,6.43252860754728e-06,7.81554263085127e-06,1.38301402330399e-06,21.5003167134196
24,84,6.39646441413788e-06,7.80151367507642e-06,1.40504926093854e-06,21.9660295120693
24,85,6.27536110187066e-06,7.69777943787631e-06,1.42241833600565e-06,22.6667169094322
24,86,6.06751518716919e-06,7.49528544474742e-06,1.42777025757823e-06,23.5313833346062
24,87,5.98363840254024e-06,7.42273823561845e-06,1.43909983307822e-06,24.0505815402761
24,88,5.99641498411074e-06,7.45148372516269e-06,1.45506874105195e-06,24.265644471031
24,89,6.06907906330889e-06,7.54696475269157e-06,1.47788568938267e-06,24.3510699723349
24,90,6.17510659139953e-06,7.68188874644693e-06,1.5067821550474e-06,24.4009092433481
24,91,6.29474425295484e-06,7.8324892456294e-06,1.53774499267456e-06,24.42903048766
24,92,6.29704436505563e-06,7.83616633270867e-06,1.53912196765305e-06,24.4419743363115
25,80,6.40769076198922e-06,7.78401317802491e-06,1.37632241603569e-06,21.4792265600599
25,81,6.38895153315389e-06,7.72839666751679e-06,1.3394451343629e-06,20.9650226240125
25,82,6.45835643808823e-06,7.8209941420937e-06,1.36263770400546e-06,21.098830903313
25,83,6.41086808172986e-06,7.7902686825837e-06,1.37940060085384e-06,21.516596243572
25,84,6.3652832977823e-06,7.77302557253279e-06,1.40774227475049e-06,22.1159406249987
25,85,6.164963451738e-06,7.58413762014243e-06,1.41917416840442e-06,23.0199932167373
25,86,5.99783061261405e-06,7.42518750485033e-06,1.42735689223628e-06,23.7978860095582
25,87,5.94433458900312e-06,7.3822625381581e-06,1.43792794915498e-06,24.1898891730475
25,88,5.97064672547276e-06,7.42391102903639e-06,1.45326430356363e-06,24.3401489048669
25,89,6.03112357566715e-06,7.50244998926064e-06,1.47132641359349e-06,24.3955607132579
25,90,6.14586815572693e-06,7.64653123042081e-06,1.50066307469388e-06,24.4174303234199
25,91,6.25892607786227e-06,7.78854155214503e-06,1.52961547428276e-06,24.4389445610005
25,92,6.32949831924634e-06,7.87684166425606e-06,1.54734334500972e-06,24.4465401042079
26,79,6.27039435130428e-06,7.548729172413e-06,1.27833482110873e-06,20.3868329404646
26,80,6.36640425000223e-06,7.69240796216764e-06,1.3260037121654e-06,20.8281419164505
26,81,6.37709354123217e-06,7.7018812589813e-06,1.32478771774913e-06,20.7741616017312
26,82,6.39620202491642e-06,7.73954616306582e-06,1.3433441381494e-06,21.0022155791266
26,83,6.38881465420127e-06,7.76459728513146e-06,1.37578263093019e-06,21.5342392195629
26,84,6.30294107395457e-06,7.70869064581348e-06,1.40574957185891e-06,22.303073364716
26,85,6.06138200964779e-06,7.4768063313968e-06,1.41542432174901e-06,23.3515115776585
26,86,5.94967787037604e-06,7.37985737941926e-06,1.43017950904323e-06,24.0379318040766
26,87,5.9206777223153e-06,7.3619999056973e-06,1.441322183382e-06,24.3438716137105
26,88,5.94770699535729e-06,7.40178802516311e-06,1.45408102980582e-06,24.4477582863591
26,89,6.00171961195883e-06,7.46935393181047e-06,1.46763431985164e-06,24.4535635574724
26,90,6.12236271990696e-06,7.61892761147465e-06,1.49656489156769e-06,24.4442376258039
26,91,6.22765719526797e-06,7.75041189626791e-06,1.52275470099994e-06,24.4514855788304
26,92,6.31346983936965e-06,7.85750398790697e-06,1.54403414853732e-06,24.4561895094359
26,93,6.2676358538738e-06,7.80180562287569e-06,1.53416976900189e-06,24.4776468315988
27,78,6.24287986283889e-06,7.52850246499293e-06,1.28562260215404e-06,20.5934221128742
27,79,6.39975314697949e-06,7.68833251640899e-06,1.2885793694295e-06,20.1348292634955
27,80,6.39932704871171e-06,7.69870894146152e-06,1.29938189274981e-06,20.3049771149201
27,81,6.38527853880078e-06,7.69271809986094e-06,1.30743956106016e-06,20.4758422536367
27,82,6.40839334664633e-06,7.74933960201452e-06,1.34094625536818e-06,20.9248431366956
27,83,6.34095977147808e-06,7.71628401707858e-06,1.3753242456005e-06,21.6895280078383
27,84,6.22382049186854e-06,7.63622665544972e-06,1.41240616358118e-06,22.6935555970244
27,85,6.01027886659722e-06,7.42992915547802e-06,1.4196502888808e-06,23.620373037442
27,86,5.93650975133642e-06,7.37403388484381e-06,1.4375241335074e-06,24.2149713168379
27,87,5.91401067140396e-06,7.36209221940953e-06,1.44808154800558e-06,24.4856093176749
27,88,5.92547939959331e-06,7.38199514671578e-06,1.45651574712247e-06,24.5805554099544
27,89,5.97694543102989e-06,7.44340559322154e-06,1.46646016219165e-06,24.5352777453577
27,90,6.095222033764e-06,7.58749183660257e-06,1.49226980283856e-06,24.4826159666088
27,91,6.19878892393899e-06,7.71566374169197e-06,1.51687481775298e-06,24.4705028089436
27,92,6.27811505182763e-06,7.81440485297935e-06,1.53628980115172e-06,24.4705582562475
27,93,6.29214309810777e-06,7.83292398409685e-06,1.54078088598908e-06,24.4873783377946
28,77,6.32028331892798e-06,7.60304328650818e-06,1.2827599675802e-06,20.2959250851714
28,78,6.32985438642208e-06,7.60529837862123e-06,1.27544399219914e-06,20.1496577067404
28,79,6.41872202322702e-06,7.70266160543542e-06,1.2839395822084e-06,20.0030407542544
28,80,6.37667244518525e-06,7.6605829235632e-06,1.28391047837795e-06,20.1344900402932
28,81,6.35459446129971e-06,7.65702407079516e-06,1.30242960949545e-06,20.495872984931
28,82,6.35752076050267e-06,7.70338920119684e-06,1.34586844069418e-06,21.1697057924788
28,83,6.1486730373872e-06,7.52162213757401e-06,1.37294910018682e-06,22.3291934997772
28,84,6.08798291068524e-06,7.50578374208999e-06,1.41780083140475e-06,23.2885152965248
28,85,5.99543318458018e-06,7.42719521440449e-06,1.43176202982431e-06,23.8808770900275
28,86,5.93904360357556e-06,7.38683002055041e-06,1.44778641697485e-06,24.3774337016691
28,87,5.91743491895613e-06,7.37522259441903e-06,1.4577876754629e-06,24.6354661340333
28,88,5.9262424656481e-06,7.38964899937855e-06,1.46340653373045e-06,24.6936662178976
28,89,5.96469544689171e-06,7.4331783253001e-06,1.46848287840839e-06,24.6195785096395
28,90,6.05788136454066e-06,7.54414850234753e-06,1.48626713780686e-06,24.5344378400444
28,91,6.17363139099325e-06,7.68592963140691e-06,1.51229824041366e-06,24.4960890055723
28,92,6.25065922577051e-06,7.78128742240369e-06,1.53062819663319e-06,24.4874683029055
28,93,6.3407392190129e-06,7.89443583926186e-06,1.55369662024896e-06,24.5033988401565
28,94,6.32908313491498e-06,7.88178112998139e-06,1.55269799506641e-06,24.5327476661004
29,77,6.25601524006925e-06,7.5272573667462e-06,1.27124212667695e-06,20.3203169732509
29,78,6.3139341364149e-06,7.57676798457396e-06,1.26283384815906e-06,20.0007447159737
29,79,6.43886232865043e-06,7.72187922848389e-06,1.28301689983346e-06,19.9261427616573
29,80,6.38366736893659e-06,7.66570246923948e-06,1.28203510030289e-06,20.0830498553445
29,81,6.35537344351178e-06,7.66098401072668e-06,1.3056105672149e-06,20.5434122608137
29,82,6.29297574050725e-06,7.64862124924548e-06,1.35564550873823e-06,21.5422014105677
29,83,6.23262212684494e-06,7.6364249252947e-06,1.40380279844976e-06,22.5234703769918
29,84,6.0597476476687e-06,7.48712045606226e-06,1.42737280839356e-06,23.5549876230026
29,85,5.97396319790278e-06,7.41666826797882e-06,1.44270507007604e-06,24.1498821181644
29,86,5.9439144024509e-06,7.40292580303503e-06,1.45901140058413e-06,24.5463057136645
29,87,5.93509685131721e-06,7.40387167752488e-06,1.46877482620766e-06,24.7472764641017
29,88,5.94799757891451e-06,7.42223164706957e-06,1.47423406815506e-06,24.7853844692401
29,89,5.96438303546165e-06,7.43835062166909e-06,1.47396758620744e-06,24.7128257431466
29,90,6.03091712036985e-06,7.51419202060788e-06,1.48327490023803e-06,24.5945163999711
29,91,6.15256112723728e-06,7.66180528444238e-06,1.5092441572051e-06,24.5303399022515
29,92,6.22781271886197e-06,7.75418993725907e-06,1.5263772183971e-06,24.5090417342547
29,93,6.31542616247316e-06,7.86384498496773e-06,1.54841882249457e-06,24.5180417387415
29,94,6.38140545561328e-06,7.94796869740821e-06,1.56656324179494e-06,24.5488748942749
30,77,6.34670004728832e-06,7.59780505177332e-06,1.251105004485e-06,19.7126852563253
30,78,6.34039997748914e-06,7.59160866437014e-06,1.251208686881e-06,19.7339078184858
30,79,6.42050054011634e-06,7.69471535022603e-06,1.2742148101097e-06,19.8460354009504
30,80,6.37412495052558e-06,7.65215463616187e-06,1.27802968563628e-06,20.050276634927
30,81,6.34151274425676e-06,7.65287040849216e-06,1.3113576642354e-06,20.6789407688732
30,82,6.22237030256656e-06,7.5897637543676e-06,1.36739345180104e-06,21.9754432042886
30,83,6.0940146795474e-06,7.51019115341478e-06,1.41617647386738e-06,23.2388096901099
30,84,6.02256022830261e-06,7.46180512578576e-06,1.43924489748315e-06,23.89755922605
30,85,5.96646623307606e-06,7.42286511012935e-06,1.45639887705329e-06,24.4097397045425
30,86,5.95766550759436e-06,7.43092459742911e-06,1.47325908983476e-06,24.7287983515819
30,87,5.96342124481453e-06,7.44555791243329e-06,1.48213666761876e-06,24.8537979588068
30,88,5.97294138060533e-06,7.45876832297654e-06,1.4858269423712e-06,24.8759672612193
30,89,5.97795769863296e-06,7.46073010304826e-06,1.4827724044153e-06,24.8039962670592
30,90,6.01974761593738e-06,7.50447861719294e-06,1.48473100125557e-06,24.664339702959
30,91,6.13055271969642e-06,7.63689149607671e-06,1.50633877638029e-06,24.5710108901059
30,92,6.21038407189189e-06,7.73398915043799e-06,1.5236050785461e-06,24.5331860462851
30,93,6.27734698355198e-06,7.81731341703562e-06,1.53996643348364e-06,24.5321222089314
30,94,6.34876641925075e-06,7.90770172898192e-06,1.55893530973117e-06,24.5549325141993
30,95,6.32501041764044e-06,7.87951285019517e-06,1.55450243255473e-06,24.5770730783181
31,75,6.41106635157485e-06,7.66335779189831e-06,1.25229144032346e-06,19.5332784227984
31,76,6.32126057098503e-06,7.55291421228321e-06,1.23165364129818e-06,19.4843042375368
31,77,6.34479420114076e-06,7.5888424362347e-06,1.24404823509394e-06,19.6073851358373
31,78,6.2820781749906e-06,7.52170171836042e-06,1.23962354336982e-06,19.7326984612329
31,79,6.38378378425841e-06,7.65338063501986e-06,1.26959685076145e-06,19.8878422839462
31,80,6.34398475085618e-06,7.62108993512811e-06,1.27710518427193e-06,20.130962390784
31,81,6.28385669187992e-06,7.60739112593001e-06,1.32353443405009e-06,21.0624541415844
31,82,6.10783445154084e-06,7.49297760194167e-06,1.38514315040084e-06,22.6781384038888
31,83,6.03813214183901e-06,7.46633713788469e-06,1.42820499604568e-06,23.6530927527978
31,84,5.98756605540984e-06,7.4395902629476e-06,1.45202420753776e-06,24.2506586833533
31,85,5.97119242229383e-06,7.44337739888579e-06,1.47218497659196e-06,24.6547904082854
31,86,5.98098722548457e-06,7.46932255424326e-06,1.48833532875869e-06,24.8844425284341
31,87,5.9951107687084e-06,7.49042919778731e-06,1.49531842907891e-06,24.9422985957783
31,88,6.00443308940157e-06,7.50131357563077e-06,1.4968804862292e-06,24.9295889210814
31,89,6.00299017605721e-06,7.49602531868732e-06,1.49303514263011e-06,24.871524004571
31,90,6.01700230618007e-06,7.50498566048918e-06,1.48798335430911e-06,24.7296457370608
31,91,6.10769347986206e-06,7.61124920245493e-06,1.50355572259286e-06,24.6174063507002
31,92,6.19230013398919e-06,7.71331269788789e-06,1.52101256389869e-06,24.5629657960204
31,93,6.24612721367157e-06,7.7795457400498e-06,1.53341852637823e-06,24.5499086701576
31,94,6.30323665973265e-06,7.85151041782228e-06,1.54827375808964e-06,24.5631544818961
31,95,6.39586278339266e-06,7.96880976849934e-06,1.57294698510668e-06,24.5931946693878
32,75,6.37343555354164e-06,7.6205187724554e-06,1.24708321891376e-06,19.5668914894851
32,76,6.35879905530601e-06,7.59589147492079e-06,1.23709241961478e-06,19.4548122822423
32,77,6.29244595984346e-06,7.52549976823502e-06,1.23305380839156e-06,19.5957790700237
32,78,6.28301313554402e-06,7.52655023461557e-06,1.24353709907155e-06,19.7920499646365
32,79,6.29917485639453e-06,7.55547898734221e-06,1.25630413094768e-06,19.9439475739011
32,80,6.33025729257497e-06,7.61520459491294e-06,1.28494730233797e-06,20.2985004076396
32,81,6.26905193712446e-06,7.60853845349629e-06,1.33948651637184e-06,21.366652084019
32,82,6.09833250564407e-06,7.49936270949547e-06,1.40103020385141e-06,22.9739884231425
32,83,6.00761768509983e-06,7.44936824048636e-06,1.44175055538653e-06,23.9987068245435
32,84,5.98434598941822e-06,7.45170927984873e-06,1.46736329043051e-06,24.5200276358548
32,85,5.98829728915007e-06,7.47558351577027e-06,1.4872862266202e-06,24.8365462635756
32,86,6.0082197705924e-06,7.50751632949687e-06,1.49929655890446e-06,24.9540898327797
32,87,6.03059652348747e-06,7.53649783291621e-06,1.50590130942874e-06,24.9710174368933
32,88,6.04064462095266e-06,7.54693655835581e-06,1.50629193740315e-06,24.935946938153
32,89,6.03049466008088e-06,7.53140557208098e-06,1.50091091200011e-06,24.8886865274163
32,90,6.0220963860047e-06,7.51435936763301e-06,1.4922629816283e-06,24.7797923841987
32,91,6.08637765253661e-06,7.58732312533539e-06,1.50094547279878e-06,24.6607351447084
32,92,6.17082469034358e-06,7.68836252973415e-06,1.51753783939057e-06,24.5921398766244
32,93,6.22249808657216e-06,7.75127409724519e-06,1.52877601067303e-06,24.5685252032789
32,94,6.2665340010426e-06,7.8063740147627e-06,1.5398400137201e-06,24.5724353121503
32,95,6.37026914773742e-06,7.93723665992729e-06,1.56696751218988e-06,24.5981366854245
32,96,6.39993868389865e-06,7.97562915977323e-06,1.57569047587458e-06,24.6203995647458
33,75,6.35467768006492e-06,7.59513841330772e-06,1.2404607332428e-06,19.5204351140297
33,76,6.31983857601881e-06,7.54668690206017e-06,1.22684832604136e-06,19.4126528911157
33,77,6.25665325060254e-06,7.48459569877014e-06,1.2279424481676e-06,19.626186700523
33,78,6.2306476138474e-06,7.47039393900195e-06,1.23974632515456e-06,19.89755161886
33,79,6.30859494776814e-06,7.57910811444162e-06,1.27051316667348e-06,20.1393999328323
33,80,6.3053425947146e-06,7.60802777222125e-06,1.30268517750665e-06,20.6600221627705
33,81,6.18937565377564e-06,7.55677046981873e-06,1.36739481604309e-06,22.0926130927107
33,82,6.07784249950782e-06,7.49728678783868e-06,1.41944428833085e-06,23.3544105238955
33,83,6.00527482674806e-06,7.46109208193957e-06,1.4558172551915e-06,24.2423085902273
33,84,6.00265093453345e-06,7.48503225622699e-06,1.48238132169354e-06,24.6954443605133
33,85,6.01442025072174e-06,7.51298193790717e-06,1.49856168718543e-06,24.916145276107
33,86,6.039358140697e-06,7.54707116357167e-06,1.50771302287467e-06,24.9647891009269
33,87,6.06586809226428e-06,7.5803036452271e-06,1.51443555296282e-06,24.9665098206498
33,88,6.07512947681244e-06,7.59003114580992e-06,1.51490166899748e-06,24.9361215226698
33,89,6.05835521128029e-06,7.56623194320127e-06,1.50787673192099e-06,24.8892096837342
33,90,6.03335683990736e-06,7.53003996578627e-06,1.49668312587892e-06,24.8068059886526
33,91,6.07278116149246e-06,7.57261477701832e-06,1.49983361552586e-06,24.6976397739525
33,92,6.14799591858173e-06,7.6617625381914e-06,1.51376661960967e-06,24.6221149079565
33,93,6.19908541921177e-06,7.72329167375574e-06,1.52420625454397e-06,24.5875988386973
33,94,6.23628557150369e-06,7.76935939938994e-06,1.53307382788626e-06,24.5831242060425
33,95,6.32355795460171e-06,7.8792727435939e-06,1.55571478899219e-06,24.6018902674891
33,96,6.33106174063869e-06,7.88970737630734e-06,1.55864563566865e-06,24.619024415191
34,75,6.34422167422599e-06,7.56081226427341e-06,1.21659059004742e-06,19.1763568885043
34,76,6.29061469226144e-06,7.50374920244212e-06,1.21313451018068e-06,19.2848325565552
34,77,6.23875121164019e-06,7.46658361094887e-06,1.22783239930868e-06,19.6807399054126
34,78,6.21839262748836e-06,7.46884461477748e-06,1.25045198728913e-06,20.1089262482641
34,79,6.28408406555536e-06,7.56764347897843e-06,1.28355941342306e-06,20.425560830075
34,80,6.28611178399296e-06,7.60779812480905e-06,1.32168634081609e-06,21.0254985312486
34,81,6.14063128523412e-06,7.5273851507518e-06,1.38675386551768e-06,22.5832459417046
34,82,6.05576315138023e-06,7.49092032492626e-06,1.43515717354603e-06,23.6990307855572
34,83,6.01978308623075e-06,7.48821184970438e-06,1.46842876347364e-06,24.3933833236022
34,84,6.02097316004802e-06,7.51204333937494e-06,1.49107017932693e-06,24.764604320459
34,85,6.03911030339077e-06,7.5446978371474e-06,1.50558753375662e-06,24.930618222212
34,86,6.0717779888364e-06,7.58813621359877e-06,1.51635822476237e-06,24.9738746632429
34,87,6.09735207035556e-06,7.61974979468505e-06,1.52239772432949e-06,24.9681781003129
34,88,6.10434517511749e-06,7.62668878451223e-06,1.52234360939474e-06,24.938688192144
34,89,6.08843538429937e-06,7.60380362407886e-06,1.51536823977949e-06,24.8892883660598
34,90,6.05130435360479e-06,7.55336668589734e-06,1.50206233229255e-06,24.8221250249587
34,91,6.06969297223259e-06,7.57051930122543e-06,1.50082632899284e-06,24.7265608962228
34,92,6.12823714618571e-06,7.63874595577363e-06,1.51050880958792e-06,24.6483413346378
34,93,6.17698879068485e-06,7.6969026849838e-06,1.51991389429895e-06,24.6060652820197
34,94,6.21357503405306e-06,7.74174986872822e-06,1.52817483467516e-06,24.5941318210547
34,95,6.27735744274105e-06,7.82192637416301e-06,1.54456893142196e-06,24.605400369674
34,96,6.3004677031131e-06,7.8517250585719e-06,1.5512573554588e-06,24.6213047753949
34,97,6.39329982732306e-06,7.96891526988475e-06,1.57561544256168e-06,24.644791971557
35,75,6.38620440440718e-06,7.61136107030325e-06,1.22515666589607e-06,19.1844261209455
35,76,6.24652375336154e-06,7.46375735616311e-06,1.21723360280157e-06,19.4865760679533
35,77,6.20332093603793e-06,7.44428507459816e-06,1.24096413856023e-06,20.0048353350687
35,78,6.21141771262046e-06,7.47659350963659e-06,1.26517579701613e-06,20.3685511996001
35,79,6.24084350420162e-06,7.53885524318321e-06,1.29801173898159e-06,20.7986586766309
35,80,6.26423889116268e-06,7.61097771828645e-06,1.34673882712377e-06,21.4988420863657
35,81,6.12240228292649e-06,7.52474761611666e-06,1.40234533319017e-06,22.9051484758014
35,82,6.05967443334521e-06,7.50697518014931e-06,1.4473007468041e-06,23.8841337554356
35,83,6.03443959334982e-06,7.51182915337267e-06,1.47738956002286e-06,24.4826306928484
35,84,6.03463649895275e-06,7.53196673031198e-06,1.49733023135923e-06,24.8122688353984
35,85,6.05785635343636e-06,7.56857434680569e-06,1.51071799336933e-06,24.9381613763813
35,86,6.09496009928989e-06,7.61697765483405e-06,1.52201755554415e-06,24.9717394494753
35,87,6.12206849837094e-06,7.65044478612253e-06,1.5283762877516e-06,24.9650308250928
35,88,6.13204429100733e-06,7.66110133554321e-06,1.52905704453588e-06,24.9355185965999
35,89,6.12000394539791e-06,7.64336346037453e-06,1.52335951497662e-06,24.891479295894
