"I_Value","J_Value","TP_Base","TP_Slow_Settling","Conc_Change","Percent_Change"
9,91,7.28835402696859e-06,7.10449057805818e-06,-1.83863448910415e-07,-2.52270194655855
10,91,7.16859540261794e-06,7.04201238477253e-06,-1.26583017845405e-07,-1.76579944516296
11,90,6.85003124090144e-06,6.85936265654163e-06,9.33141564019024e-09,0.136224424561343
11,91,7.03152045389288e-06,6.97598261467647e-06,-5.5537839216413e-08,-0.789841110192112
12,89,6.75184492138214e-06,6.77476555210887e-06,2.29206307267305e-08,0.339472114564481
12,90,6.6843381318904e-06,6.76271065458423e-06,7.83725226938259e-08,1.17247992467522
12,91,6.85233680997044e-06,6.85933127897442e-06,6.9944690039847e-09,0.102074214942375
13,90,6.45720092506963e-06,6.59891384202638e-06,1.41712916956749e-07,2.19464933182671
13,91,6.70963072479935e-06,6.77215120958863e-06,6.25204847892746e-08,0.931802171439834
14,89,6.64496246827184e-06,6.78076230542501e-06,1.35799837153172e-07,2.04365092807649
14,90,6.35303103990736e-06,6.54217546980362e-06,1.8914442989626e-07,2.97723132010729
14,91,6.5377525970689e-06,6.6767697717296e-06,1.39017174660694e-07,2.126375579324
15,89,6.37936500424985e-06,6.59570969219203e-06,2.16344687942183e-07,3.3913201047135
15,90,6.19000593360397e-06,6.43837665847968e-06,2.48370724875713e-07,4.01244728260067
15,91,6.23827418166911e-06,6.4778619162098e-06,2.39587734540692e-07,3.84060923844465
16,90,6.18093508819584e-06,6.46489434075193e-06,2.83959252556087e-07,4.59411478205594
17,85,6.25477377980133e-06,6.60445221001282e-06,3.49678430211497e-07,5.590584768081
17,86,6.22514880888048e-06,6.58373710393789e-06,3.58588295057416e-07,5.76031683846453
17,87,6.24134054305614e-06,6.59859369989135e-06,3.57253156835213e-07,5.72398116030824
17,88,6.23304913460743e-06,6.59410898151691e-06,3.61059846909484e-07,5.79266806842241
17,89,6.29002443019999e-06,6.63782748233643e-06,3.47803052136442e-07,5.52943881213802
17,90,6.33585705145379e-06,6.6488664742792e-06,3.13009422825417e-07,4.94028543073893
18,85,6.33913214187487e-06,6.66249343339587e-06,3.23361291520996e-07,5.10103408927138
18,86,6.25777875029598e-06,6.61006697555422e-06,3.52288225258235e-07,5.62960499748528
18,87,6.23313371761469e-06,6.59557781546027e-06,3.62444097845582e-07,5.81479740794464
18,88,6.24979111307766e-06,6.60969726595795e-06,3.59906152880285e-07,5.75869091251998
18,89,6.31246984994505e-06,6.6565321503731e-06,3.4406230042805e-07,5.45051792098532
18,90,6.33010358797037e-06,6.65747484163148e-06,3.27371253661113e-07,5.17165713185554
18,91,6.28896577836713e-06,6.62779439153383e-06,3.38828613166697e-07,5.3876682606893
19,84,6.41672932033543e-06,6.70933059154777e-06,2.92601271212334e-07,4.55997528655359
19,85,6.36086542726844e-06,6.67222730044159e-06,3.11361873173155e-07,4.89496086237536
19,86,6.26890050625661e-06,6.61277226754464e-06,3.43871761288028e-07,5.48536000762543
19,87,6.20824903307948e-06,6.57543296256335e-06,3.67183929483872e-07,5.91445232830387
19,88,6.24478661848116e-06,6.60601745039457e-06,3.61230831913417e-07,5.78451841483857
19,89,6.29747773928102e-06,6.64614208290004e-06,3.48664343619021e-07,5.53657127589668
19,90,6.32597766525578e-06,6.66011374050868e-06,3.341360752529e-07,5.28196735641478
19,91,6.31909460935276e-06,6.6536608755996e-06,3.34566266246838e-07,5.29452851919093
20,83,6.08085019848659e-06,6.47405249765143e-06,3.93202299164841e-07,6.46623887006297
20,84,6.4617770476616e-06,6.73987187838065e-06,2.78094830719056e-07,4.30368966103052
20,85,6.32802357358742e-06,6.65185098114307e-06,3.23827407555655e-07,5.11735463355858
20,86,6.22948073214502e-06,6.58978206047323e-06,3.60301328328205e-07,5.78380998064571
20,87,6.17734440311324e-06,6.55902294965927e-06,3.81678546546027e-07,6.17868329234922
20,88,6.20542550677783e-06,6.58134467812488e-06,3.7591917134705e-07,6.05791127355336
20,89,6.27051485935226e-06,6.6286288529227e-06,3.58113993570441e-07,5.71107798327479
20,90,6.31358989267028e-06,6.65461948301527e-06,3.41029590344988e-07,5.40151635032399
20,91,6.3112406678556e-06,6.64988374410314e-06,3.38643076247536e-07,5.36571324196702
21,83,6.48520699542132e-06,6.75072897138307e-06,2.65521975961747e-07,4.09427141106229
21,84,6.45353838990559e-06,6.73154454489122e-06,2.78006154985633e-07,4.30780973458655
21,85,6.34329171589343e-06,6.66069809085457e-06,3.17406374961138e-07,5.00381173020721
21,86,6.22738298261538e-06,6.58793305774452e-06,3.6055007512914e-07,5.78975271210501
21,87,6.12818030276685e-06,6.52507378617884e-06,3.96893483411986e-07,6.47653077754241
21,88,6.16821080257068e-06,6.55751864542253e-06,3.89307842851849e-07,6.31151974717855
21,89,6.20763194092433e-06,6.58443650536356e-06,3.76804564439226e-07,6.07002103257944
21,90,6.27652752882568e-06,6.62905222270638e-06,3.52524693880696e-07,5.61655616519939
21,91,6.30748354524258e-06,6.6491470533947e-06,3.41663508152124e-07,5.41679586956392
22,81,6.28492080068099e-06,6.60546083963709e-06,3.20540038956096e-07,5.10014444289202
22,82,6.29384248895803e-06,6.61706599203171e-06,3.23223503073677e-07,5.13555119373806
22,83,6.50401216262253e-06,6.7637729443959e-06,2.59760781773366e-07,3.99385448978967
22,84,6.44153806206305e-06,6.72353962727357e-06,2.82001565210521e-07,4.37786072974323
22,85,6.32740193395875e-06,6.64941217110027e-06,3.22010237141512e-07,5.08913833043076
22,86,6.22291190666147e-06,6.58673707221169e-06,3.63825165550224e-07,5.8465421173769
22,87,6.14044802205171e-06,6.53743336442858e-06,3.96985342376865e-07,6.46508757913434
22,88,6.11366704106331e-06,6.52130529488204e-06,4.07638253818732e-07,6.66765545262396
22,89,6.19054117123596e-06,6.57456075714435e-06,3.84019585908391e-07,6.20332819516197
22,90,6.24315362074412e-06,6.60529167362256e-06,3.62138052878436e-07,5.8005629026196
22,91,6.33610534350737e-06,6.67279527988285e-06,3.36689936375478e-07,5.31383110163226
23,81,6.25071334070526e-06,6.58242606732529e-06,3.31712726620026e-07,5.30679793712311
23,82,6.27744248049567e-06,6.60002251606784e-06,3.22580035572173e-07,5.13871750437293
23,83,6.45102727503399e-06,6.7263531491335e-06,2.75325874099508e-07,4.2679384594302
23,84,6.40950429442455e-06,6.70276540404302e-06,2.9326110961847e-07,4.57541014323947
23,85,6.28475845587673e-06,6.62163074593991e-06,3.36872290063184e-07,5.36014697188851
23,86,6.1649884628423e-06,6.54960467727506e-06,3.84616214432754e-07,6.23871750532734
23,87,6.04290926276008e-06,6.46976513962727e-06,4.26855876867194e-07,7.063747911916
23,88,6.04023898631567e-06,6.47046363155823e-06,4.30224645242561e-07,7.12264276657342
23,89,6.11981431575259e-06,6.52389508104534e-06,4.04080765292747e-07,6.60282721736557
23,90,6.20943092144444e-06,6.58151338939206e-06,3.72082467947621e-07,5.9922152714933
23,91,6.32376577414107e-06,6.66537880533724e-06,3.41613031196175e-07,5.40205066723198
23,92,6.27700819677557e-06,6.63126138533698e-06,3.54253188561415e-07,5.64366299128606
24,81,6.3156803662423e-06,6.6245761445316e-06,3.08895778289298e-07,4.8909343154914
24,82,6.38638857708429e-06,6.67692665956565e-06,2.90538082481362e-07,4.54933299116615
24,83,6.43252860754728e-06,6.71467796564684e-06,2.82149358099559e-07,4.38628998506922
24,84,6.39646441413788e-06,6.69498194838525e-06,2.98517534247367e-07,4.66691464096265
24,85,6.27536110187066e-06,6.61780632071896e-06,3.42445218848297e-07,5.45698029626082
24,86,6.06751518716919e-06,6.4818627834029e-06,4.14347596233711e-07,6.82895029434652
24,87,5.98363840254024e-06,6.43088969809469e-06,4.47251295554452e-07,7.4745709126504
24,88,5.99641498411074e-06,6.44260671833763e-06,4.46191734226886e-07,7.44097490599303
24,89,6.06907906330889e-06,6.48986861051526e-06,4.20789547206368e-07,6.93333441230459
24,90,6.17510659139953e-06,6.55869780530338e-06,3.83591213903856e-07,6.21189623573637
24,91,6.29474425295484e-06,6.64533718008897e-06,3.5059292713413e-07,5.56961352273457
24,92,6.29704436505563e-06,6.64777780912118e-06,3.50733444065554e-07,5.56981059259943
25,80,6.40769076198922e-06,6.68583334118011e-06,2.78142579190899e-07,4.34076158669916
25,81,6.38895153315389e-06,6.67695576339611e-06,2.88004230242223e-07,4.50784809913952
25,82,6.45835643808823e-06,6.73094882586156e-06,2.72592387773329e-07,4.22077025922126
25,83,6.41086808172986e-06,6.70323333906708e-06,2.92365257337224e-07,4.56046285167568
25,84,6.3652832977823e-06,6.67778977003763e-06,3.12506472255336e-07,4.9095453829088
25,85,6.164963451738e-06,6.54650193609996e-06,3.81538484361954e-07,6.18881989080393
25,86,5.99783061261405e-06,6.4391829255328e-06,4.41352312918752e-07,7.35853246656455
25,87,5.94433458900312e-06,6.40865118839429e-06,4.64316599391168e-07,7.81107779918955
25,88,5.97064672547276e-06,6.42937675365829e-06,4.58730028185528e-07,7.68308776716655
25,89,6.03112357566715e-06,6.46710168439313e-06,4.35978108725976e-07,7.2288041068326
25,90,6.14586815572693e-06,6.54108089293004e-06,3.9521273720311e-07,6.43054369519524
25,91,6.25892607786227e-06,6.62032562104287e-06,3.61399543180596e-07,5.77414621429802
25,92,6.32949831924634e-06,6.67322001390858e-06,3.43721694662236e-07,5.43047295892422
26,79,6.27039435130428e-06,6.58541148368386e-06,3.1501713237958e-07,5.02388071196918
26,80,6.36640425000223e-06,6.65671814203961e-06,2.90313892037375e-07,4.56009201799074
26,81,6.37709354123217e-06,6.66806863591773e-06,2.90975094685564e-07,4.56281678799621
26,82,6.39620202491642e-06,6.68875463816221e-06,2.92552613245789e-07,4.57384885759001
26,83,6.38881465420127e-06,6.69028486299794e-06,3.01470208796673e-07,4.71871896609845
26,84,6.30294107395457e-06,6.63723631078028e-06,3.3429523682571e-07,5.30379759073279
26,85,6.06138200964779e-06,6.47803017272963e-06,4.16648163081845e-07,6.87381462542163
26,86,5.94967787037604e-06,6.41217866359511e-06,4.62500793219078e-07,7.77354343034116
26,87,5.9206777223153e-06,6.39839799987385e-06,4.77720277558547e-07,8.06867558012822
26,88,5.94770699535729e-06,6.41911310594878e-06,4.71406110591488e-07,7.92584622879812
26,89,6.00171961195883e-06,6.45142699795542e-06,4.49707385996589e-07,7.49297559820217
26,90,6.12236271990696e-06,6.52884546070709e-06,4.06482740800129e-07,6.63931164154068
26,91,6.22765719526797e-06,6.59949591863551e-06,3.71838723367546e-07,5.97076415269107
26,92,6.31346983936965e-06,6.66214054945158e-06,3.48670710081933e-07,5.5226479092002
26,93,6.2676358538738e-06,6.62812362861587e-06,3.60487774742069e-07,5.75157496616949
27,78,6.24287986283889e-06,6.56768315820955e-06,3.24803295370657e-07,5.20277984691116
27,79,6.39975314697949e-06,6.6833390519605e-06,2.8358590498101e-07,4.43120068021459
27,80,6.39932704871171e-06,6.68322854835424e-06,2.83901499642525e-07,4.43642741621838
27,81,6.38527853880078e-06,6.67672429699451e-06,2.91445758193731e-07,4.56433899355733
27,82,6.40839334664633e-06,6.70006056679995e-06,2.91667220153613e-07,4.55133142390907
27,83,6.34095977147808e-06,6.66009327687789e-06,3.19133505399805e-07,5.03288960821485
27,84,6.22382049186854e-06,6.5875897234946e-06,3.63769231626065e-07,5.84478990197954
27,85,6.01027886659722e-06,6.44825331619359e-06,4.37974449596368e-07,7.28709032172298
27,86,5.93650975133642e-06,6.40957932773745e-06,4.73069576401031e-07,7.96881663159964
27,87,5.91401067140396e-06,6.4006030697783e-06,4.86592398374341e-07,8.22779033401417
27,88,5.92547939959331e-06,6.40995813228074e-06,4.84478732687421e-07,8.17619470115232
