"I_Value","J_Value","TP_Base","TP_ZeroSettling","Conc_Change","Percent_Change"
9,91,7.28835402696859e-06,6.77998832543381e-06,-5.08365701534785e-07,-6.97504127343039
10,91,7.16859540261794e-06,6.81983055983437e-06,-3.48764842783567e-07,-4.86517683305434
11,90,6.85003124090144e-06,6.89120952301892e-06,4.11782821174711e-08,0.601140063005788
11,91,7.03152045389288e-06,6.88551745042787e-06,-1.46003003465012e-07,-2.07640729231157
12,89,6.75184492138214e-06,6.83083908370463e-06,7.89941623224877e-08,1.16996410969577
12,90,6.6843381318904e-06,6.9285497374949e-06,2.44211605604505e-07,3.6534897066232
12,91,6.85233680997044e-06,6.88451837049797e-06,3.21815605275333e-08,0.469643589041154
13,90,6.45720092506963e-06,6.88937552695279e-06,4.32174601883162e-07,6.69290931005839
13,91,6.70963072479935e-06,6.90325987307006e-06,1.93629148270702e-07,2.88583912010288
14,89,6.64496246827184e-06,7.06385799276177e-06,4.18895524489926e-07,6.30395621480265
14,90,6.35303103990736e-06,6.92981211614097e-06,5.76781076233601e-07,9.07883296351739
14,91,6.5377525970689e-06,6.95956669005682e-06,4.21814092987916e-07,6.45197392720289
15,89,6.37936500424985e-06,7.04488184055663e-06,6.65516836306779e-07,10.4323366959473
15,90,6.19000593360397e-06,6.95084554536152e-06,7.60839611757547e-07,12.2914197485198
15,91,6.23827418166911e-06,6.97034738550428e-06,7.32073203835171e-07,11.7351880105933
16,90,6.18093508819584e-06,7.05754700902617e-06,8.76611920830328e-07,14.1825129745248
17,85,6.25477377980133e-06,7.36240053811343e-06,1.10762675831211e-06,17.7085022945033
17,86,6.22514880888048e-06,7.36130914447131e-06,1.13616033559083e-06,18.2511353619377
17,87,6.24134054305614e-06,7.37260415917262e-06,1.13126361611648e-06,18.1253307412473
17,88,6.23304913460743e-06,7.37648997528595e-06,1.14344084067852e-06,18.3448071078063
17,89,6.29002443019999e-06,7.3907540354412e-06,1.10072960524121e-06,17.4996077909703
17,90,6.33585705145379e-06,7.32002990844194e-06,9.84172856988152e-07,15.5333816561144
18,85,6.33913214187487e-06,7.36447873350699e-06,1.02534659163211e-06,16.1748732899715
18,86,6.25777875029598e-06,7.37419077267987e-06,1.11641202238388e-06,17.8403882101309
18,87,6.23313371761469e-06,7.38180324333371e-06,1.14866952571901e-06,18.4284435046356
18,88,6.24979111307766e-06,7.38974540581694e-06,1.13995429273928e-06,18.239878295355
18,89,6.31246984994505e-06,7.40167070034659e-06,1.08920085040154e-06,17.2547493499873
18,90,6.33010358797037e-06,7.36324000172317e-06,1.0331364137528e-06,16.3210032726187
18,91,6.28896577836713e-06,7.35922549210954e-06,1.07025971374242e-06,17.0180559325654
19,84,6.41672932033543e-06,7.3458668339299e-06,9.29137513594469e-07,14.4799237619376
19,85,6.36086542726844e-06,7.34924878997845e-06,9.8838336271001e-07,15.5385045323063
19,86,6.26890050625661e-06,7.36017409508349e-06,1.09127358882688e-06,17.4077350204832
19,87,6.20824903307948e-06,7.37339087208966e-06,1.16514183901018e-06,18.7676401639486
19,88,6.24478661848116e-06,7.38953485779348e-06,1.14474823931232e-06,18.3312626875751
