recnum,date_time,Year,Longitude,Latitude,station_id,region,Agency,Program,I_Index,J_Index,K_Index,No_Layers,Sigma_layer_thickness,water_depth_m,TP_ugL,TP_mgL,sample_depth,Model_source
1878,4/4/2013,2013,-79.352,43.503,ON12,offshore,USEPA,GLNPO,58,94,1,10,10.6864,106.864,4.138,0.004138,3.5,LOEM
1879,4/4/2013,2013,-79.352,43.503,ON12,offshore,USEPA,GLNPO,58,94,5,10,10.6864,106.864,3.922,0.003922,52,LOEM
1880,4/4/2013,2013,-79.352,43.503,ON12,offshore,USEPA,GLNPO,58,94,9,10,10.6864,106.864,3.897,0.003897,93.6,LOEM
1881,4/4/2013,2013,-79.352,43.503,ON12,offshore,USEPA,GLNPO,58,94,10,10,10.6864,106.864,3.597,0.003597,103,LOEM
1923,4/4/2013,2013,-79.35405,43.504083,,offshore,USEPA,GLNPO,58,94,1,10,10.6864,106.864,3.693,0.003693,0,LOEM
1924,4/4/2013,2013,-79.35405,43.504083,,offshore,USEPA,GLNPO,58,94,1,10,10.6864,106.864,4.138,0.004138,3.5,LOEM
1925,4/4/2013,2013,-79.35405,43.504083,,offshore,USEPA,GLNPO,58,94,5,10,10.6864,106.864,3.922,0.003922,52,LOEM
1926,4/4/2013,2013,-79.35405,43.504083,,offshore,USEPA,GLNPO,58,94,9,10,10.6864,106.864,3.897,0.003897,93.6,LOEM
1927,4/4/2013,2013,-79.35405,43.504083,,offshore,USEPA,GLNPO,58,94,10,10,10.6864,106.864,3.597,0.003597,103,LOEM
2075,4/4/2013,2013,-78.02755,43.7166,,offshore,USEPA,GLNPO,145,94,1,10,13.1193,131.193,3.962,0.003962,0,LOEM
2076,4/4/2013,2013,-78.02755,43.7166,,offshore,USEPA,GLNPO,145,94,1,10,13.1193,131.193,4.053,0.004053,1.7,LOEM
2077,4/4/2013,2013,-78.02755,43.7166,,offshore,USEPA,GLNPO,145,94,5,10,13.1193,131.193,4.45,0.00445,64,LOEM
2078,4/4/2013,2013,-78.02755,43.7166,,offshore,USEPA,GLNPO,145,94,9,10,13.1193,131.193,4.025,0.004025,118,LOEM
2079,4/4/2013,2013,-78.02755,43.7166,,offshore,USEPA,GLNPO,145,94,10,10,13.1193,131.193,4.149,0.004149,126.5,LOEM
2080,4/4/2013,2013,-78.026833,43.716633,ON41,offshore,USEPA,GLNPO,145,94,1,10,13.1193,131.193,4.053,0.004053,1.7,LOEM
2081,4/4/2013,2013,-78.026833,43.716633,ON41,offshore,USEPA,GLNPO,145,94,5,10,13.1193,131.193,4.45,0.00445,64,LOEM
2082,4/4/2013,2013,-78.026833,43.716633,ON41,offshore,USEPA,GLNPO,145,94,10,10,13.1193,131.193,4.025,0.004025,118,LOEM
2083,4/4/2013,2013,-78.026833,43.716633,ON41,offshore,USEPA,GLNPO,145,94,10,10,13.1193,131.193,4.149,0.004149,126.5,LOEM
2161,4/4/2013,2013,-78.802,43.6,ON33M,offshore,USEPA,GLNPO,97,91,1,10,13.6241,136.24,3.717,0.003717,2.7,LOEM
2162,4/4/2013,2013,-78.802,43.6,ON33M,offshore,USEPA,GLNPO,97,91,1,10,13.6241,136.24,3.673,0.003673,4.9,LOEM
2163,4/4/2013,2013,-78.802,43.6,ON33M,offshore,USEPA,GLNPO,97,91,1,10,13.6241,136.24,3.635,0.003635,9.9,LOEM
2164,4/4/2013,2013,-78.802,43.6,ON33M,offshore,USEPA,GLNPO,97,91,2,10,13.6241,136.24,3.834,0.003834,20,LOEM
2165,4/4/2013,2013,-78.802,43.6,ON33M,offshore,USEPA,GLNPO,97,91,3,10,13.6241,136.24,3.552,0.003552,29.9,LOEM
2166,4/4/2013,2013,-78.802,43.6,ON33M,offshore,USEPA,GLNPO,97,91,3,10,13.6241,136.24,3.411,0.003411,40,LOEM
2167,4/4/2013,2013,-78.802,43.6,ON33M,offshore,USEPA,GLNPO,97,91,4,10,13.6241,136.24,3.447,0.003447,50,LOEM
2168,4/4/2013,2013,-78.802,43.6,ON33M,offshore,USEPA,GLNPO,97,91,8,10,13.6241,136.24,3.361,0.003361,100,LOEM
2169,4/4/2013,2013,-78.802,43.6,ON33M,offshore,USEPA,GLNPO,97,91,10,10,13.6241,136.24,3.03,0.00303,128.3,LOEM
2170,4/4/2013,2013,-78.802,43.6,ON33M,offshore,USEPA,GLNPO,97,91,10,10,13.6241,136.24,3.34,0.00334,136,LOEM
2250,4/4/2013,2013,-79.079033,43.515867,,offshore,USEPA,GLNPO,77,89,1,10,13.8518,138.518,3.369,0.003369,0,LOEM
2251,4/4/2013,2013,-79.079033,43.515867,,offshore,USEPA,GLNPO,77,89,1,10,13.8518,138.518,4.112,0.004112,3.5,LOEM
2252,4/4/2013,2013,-79.079033,43.515867,,offshore,USEPA,GLNPO,77,89,5,10,13.8518,138.518,3.759,0.003759,68,LOEM
2253,4/4/2013,2013,-79.079033,43.515867,,offshore,USEPA,GLNPO,77,89,10,10,13.8518,138.518,4.246,0.004246,127.2,LOEM
2254,4/4/2013,2013,-79.079033,43.515867,,offshore,USEPA,GLNPO,77,89,10,10,13.8518,138.518,4.316,0.004316,134.7,LOEM
2255,4/4/2013,2013,-79.08,43.516,ON25,offshore,USEPA,GLNPO,77,89,1,10,13.8518,138.518,4.112,0.004112,3.5,LOEM
2256,4/4/2013,2013,-79.08,43.516,ON25,offshore,USEPA,GLNPO,77,89,5,10,13.8518,138.518,3.759,0.003759,68,LOEM
2257,4/4/2013,2013,-79.08,43.516,ON25,offshore,USEPA,GLNPO,77,89,10,10,13.8518,138.518,4.246,0.004246,127.2,LOEM
2258,4/4/2013,2013,-79.08,43.516,ON25,offshore,USEPA,GLNPO,77,89,10,10,13.8518,138.518,4.316,0.004316,134.7,LOEM
2361,4/4/2013,2013,-78.798233,43.5968,,offshore,USEPA,GLNPO,98,90,1,10,13.962,139.62,3.354,0.003354,0,LOEM
2362,4/4/2013,2013,-78.798233,43.5968,,offshore,USEPA,GLNPO,98,90,1,10,13.962,139.62,3.717,0.003717,2.7,LOEM
2363,4/4/2013,2013,-78.798233,43.5968,,offshore,USEPA,GLNPO,98,90,1,10,13.962,139.62,3.673,0.003673,4.9,LOEM
2364,4/4/2013,2013,-78.798233,43.5968,,offshore,USEPA,GLNPO,98,90,1,10,13.962,139.62,3.635,0.003635,9.9,LOEM
2365,4/4/2013,2013,-78.798233,43.5968,,offshore,USEPA,GLNPO,98,90,2,10,13.962,139.62,3.834,0.003834,20,LOEM
2366,4/4/2013,2013,-78.798233,43.5968,,offshore,USEPA,GLNPO,98,90,3,10,13.962,139.62,3.552,0.003552,29.9,LOEM
2367,4/4/2013,2013,-78.798233,43.5968,,offshore,USEPA,GLNPO,98,90,3,10,13.962,139.62,3.411,0.003411,40,LOEM
2368,4/4/2013,2013,-78.798233,43.5968,,offshore,USEPA,GLNPO,98,90,4,10,13.962,139.62,3.447,0.003447,50,LOEM
2369,4/4/2013,2013,-78.798233,43.5968,,offshore,USEPA,GLNPO,98,90,8,10,13.962,139.62,3.361,0.003361,100,LOEM
2370,4/4/2013,2013,-78.798233,43.5968,,offshore,USEPA,GLNPO,98,90,10,10,13.962,139.62,3.03,0.00303,128.3,LOEM
2371,4/4/2013,2013,-78.798233,43.5968,,offshore,USEPA,GLNPO,98,90,10,10,13.962,139.62,3.34,0.00334,136,LOEM
1303,4/5/2013,2013,-77.4384,43.771967,,offshore,USEPA,GLNPO,177,102,1,10,5.3521,53.521,4.35,0.00435,0,LOTP
1304,4/5/2013,2013,-77.4384,43.771967,,offshore,USEPA,GLNPO,177,102,1,10,5.3521,53.521,3.884,0.003884,2.4,LOTP
1305,4/5/2013,2013,-77.4384,43.771967,,offshore,USEPA,GLNPO,177,102,5,10,5.3521,53.521,3.971,0.003971,24.5,LOTP
1306,4/5/2013,2013,-77.4384,43.771967,,offshore,USEPA,GLNPO,177,102,8,10,5.3521,53.521,4.2,0.0042,38.8,LOTP
1307,4/5/2013,2013,-77.4384,43.771967,,offshore,USEPA,GLNPO,177,102,9,10,5.3521,53.521,4.138,0.004138,46.9,LOTP
1308,4/5/2013,2013,-77.438,43.772,ON49,offshore,USEPA,GLNPO,177,102,1,10,5.3521,53.521,3.884,0.003884,2.4,LOTP
1309,4/5/2013,2013,-77.438,43.772,ON49,offshore,USEPA,GLNPO,177,102,5,10,5.3521,53.521,3.971,0.003971,24.5,LOTP
1310,4/5/2013,2013,-77.438,43.772,ON49,offshore,USEPA,GLNPO,177,102,8,10,5.3521,53.521,4.2,0.0042,38.8,LOTP
1311,4/5/2013,2013,-77.438,43.772,ON49,offshore,USEPA,GLNPO,177,102,9,10,5.3521,53.521,4.138,0.004138,46.9,LOTP
1708,4/5/2013,2013,-77.0155,43.731183,ON63,offshore,USEPA,GLNPO,207,100,1,10,8.9568,89.568,6.721,0.006721,2.5,LOTP
1709,4/5/2013,2013,-77.0155,43.731183,ON63,offshore,USEPA,GLNPO,207,100,5,10,8.9568,89.568,4.186,0.004186,44.1,LOTP
1710,4/5/2013,2013,-77.0155,43.731183,ON63,offshore,USEPA,GLNPO,207,100,9,10,8.9568,89.568,4.309,0.004309,77.8,LOTP
1711,4/5/2013,2013,-77.0155,43.731183,ON63,offshore,USEPA,GLNPO,207,100,10,10,8.9568,89.568,4.841,0.004841,85.5,LOTP
1772,4/5/2013,2013,-77.018633,43.731867,,offshore,USEPA,GLNPO,207,100,1,10,8.9568,89.568,4.893,0.004893,0,LOTP
1773,4/5/2013,2013,-77.018633,43.731867,,offshore,USEPA,GLNPO,207,100,1,10,8.9568,89.568,6.721,0.006721,2.5,LOTP
1774,4/5/2013,2013,-77.018633,43.731867,,offshore,USEPA,GLNPO,207,100,5,10,8.9568,89.568,4.186,0.004186,44.1,LOTP
1775,4/5/2013,2013,-77.018633,43.731867,,offshore,USEPA,GLNPO,207,100,9,10,8.9568,89.568,4.309,0.004309,77.8,LOTP
1776,4/5/2013,2013,-77.018633,43.731867,,offshore,USEPA,GLNPO,207,100,10,10,8.9568,89.568,4.841,0.004841,85.5,LOTP
2446,4/5/2013,2013,-77.199883,43.5797,,offshore,USEPA,GLNPO,194,89,1,10,14.3209,143.209,5.215,0.005215,0,LOTP
