FID_WQchem,OBJECTID,OBJECTID2,EventCode,StationCod,Collection,Collecti_1,SiteDepth,Stratifica,SampleDept,Depths,TotalPhosp,Chloride_m,Project,STISdepth,Comments,_LAKE,FID_,StationNam,StationC_1,Transect,Lake,Year,Project_1,stat_Depth,LatitudeDD,LongitudeD,Notes,STIS__,SITE,STATION,PROJECT_12,DAT,SiteDep,blk_dup,Strat_,Epi_Dep,up_dept,lw_dpth,Ave_dep,TP_ug,FID_EFDC,GRIDNO,IJ_VALUE,I_Value,J_Value,BedElev,I_Parent,J_Parent,Area,Mask,WSElev,ZRough,Sim_Result,Sim_Dir,Map_Value,Dry_Flag,Grid_Label,I_J_index,sig_thick,I_index,J_Index,I_J_inde_1,Water_Dept,Number_Lay,Sig_layer-K,
137,143,150,stn17_20180725_D_LEII,stn17,7/25/2018,20180725,59.00000000000,no data,2M-INT,"2, 8, 18, 20, 30, 40, 57.5",12.10000000000,22.14,LOLA/CSMI,8167-1,,Ontario,125,Station 17,stn17,1,Ontario,2018,CSMI,14.40000000000,43.22470000000,-79.27190000000,,8167-1,0,2M-INT,LOLA/CSMI,7/25/2018,59.00000000000,,no data,"2, 11.2",2.00000000000,2.00000000000,2.00000000000,12.10000000000,970,4.06400000000e+003,"(52,67)",52,67,-1.15210e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,6.335132,,6.335132,0,,52-67,1.17130000000,52,67,52-67,11.71300000000,10,2,
138,144,151,stn17_20180725_D_LEII,stn17,7/25/2018,20180725,16.00000000000,no data,B2/ Hypo,"2, 6, 14",12.70000000000,22.08,LOLA/CSMI,8167-7,,Ontario,125,Station 17,stn17,1,Ontario,2018,CSMI,14.40000000000,43.22470000000,-79.27190000000,,8167-7,0,B2/ Hypo,LOLA/CSMI,7/25/2018,16.00000000000,,no data,"2, 6, 14",11.20000000000,11.20000000000,11.20000000000,12.70000000000,970,4.06400000000e+003,"(52,67)",52,67,-1.15210e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,6.335132,,6.335132,0,,52-67,1.17130000000,52,67,52-67,11.71300000000,10,10,
139,145,152,stn18_20180725_D_LEII,stn18,7/25/2018,20180725,85.00000000000,no data,2M-INT,"2, 8, 18, 20, 29, 40, 83",2.54000000000,20.63,LOLA/CSMI,8168-1,,Ontario,126,Station 18,stn18,1,Ontario,2018,CSMI,85.50000000000,43.30360000000,-79.27810000000,,8168-1,0,2M-INT,LOLA/CSMI,7/25/2018,85.00000000000,,no data,"2, 8, 18, 29, 83",2.00000000000,18.00000000000,10.00000000000,2.54000000000,1143,5.90400000000e+003,"(55,77)",55,77,-8.40364e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.844752,,4.844752,0,,55-77,8.42280000000,55,77,55-77,84.22800000000,10,2,
140,146,153,stn18_20180725_D_LEII,stn18,7/25/2018,20180725,85.00000000000,no data,40M/ DCL,,6.23000000000,24.44,LOLA/CSMI,8168-5,,Ontario,126,Station 18,stn18,1,Ontario,2018,CSMI,85.50000000000,43.30360000000,-79.27810000000,,8168-5,0,40M/ DCL,LOLA/CSMI,7/25/2018,85.00000000000,,,,29.00000000000,29.00000000000,29.00000000000,6.23000000000,1143,5.90400000000e+003,"(55,77)",55,77,-8.40364e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.844752,,4.844752,0,,55-77,8.42280000000,55,77,55-77,84.22800000000,10,4,
141,147,154,stn18_20180725_D_LEII,stn18,7/25/2018,20180725,85.00000000000,no data,B2/ Hypo,,0.61000000000,24.6,LOLA/CSMI,8168-7,,Ontario,126,Station 18,stn18,1,Ontario,2018,CSMI,85.50000000000,43.30360000000,-79.27810000000,,8168-7,0,B2/ Hypo,LOLA/CSMI,7/25/2018,85.00000000000,,,,83.00000000000,83.00000000000,83.00000000000,0.61000000000,1143,5.90400000000e+003,"(55,77)",55,77,-8.40364e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.844752,,4.844752,0,,55-77,8.42280000000,55,77,55-77,84.22800000000,10,10,
44,45,47,stn717_20180524_D_LG,stn717,5/24/2018,20180524,34.60000000000,Strat,2M-INT,"2, 5, 10, 14.1, 32.7",4.65000000000,22.56,LOLA/CSMI,8023-1,,Ontario,193,Station 717,stn717,4,Ontario,2018,CSMI,19.00000000000,43.30000000000,-77.44000000000,,8023-1,717,2M-INT,LOLA/CSMI,5/24/2018,34.60000000000,,Strat,"2, 5, 10, 14.1, 32.7",2.00000000000,10.00000000000,6.00000000000,4.65000000000,9478,5.94000000000e+002,"(181,38)",181,38,-3.51884e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.345354,,5.345354,0,,181-38,3.53800000000,181,38,181-38,35.38000000000,10,2,
45,46,48,stn717_20180524_D_LG,stn717,5/24/2018,20180524,34.60000000000,Strat,40M/ DCL,,4.55000000000,22.68,LOLA/CSMI,8023-5,,Ontario,193,Station 717,stn717,4,Ontario,2018,CSMI,19.00000000000,43.30000000000,-77.44000000000,,8023-5,717,40M/ DCL,LOLA/CSMI,5/24/2018,34.60000000000,,,,14.10000000000,14.10000000000,14.10000000000,4.55000000000,9478,5.94000000000e+002,"(181,38)",181,38,-3.51884e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.345354,,5.345354,0,,181-38,3.53800000000,181,38,181-38,35.38000000000,10,4,
46,47,49,stn717_20180524_D_LG,stn717,5/24/2018,20180524,34.60000000000,Strat,B2/ Hypo,,3.23000000000,22.81,LOLA/CSMI,8023-7,,Ontario,193,Station 717,stn717,4,Ontario,2018,CSMI,19.00000000000,43.30000000000,-77.44000000000,,8023-7,717,B2/ Hypo,LOLA/CSMI,5/24/2018,34.60000000000,,,,32.70000000000,32.70000000000,32.70000000000,3.23000000000,9478,5.94000000000e+002,"(181,38)",181,38,-3.51884e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.345354,,5.345354,0,,181-38,3.53800000000,181,38,181-38,35.38000000000,10,10,
104,108,113,stn717_20180620_D_LG,stn717,6/20/2018,20180620,34.00000000000,Unstrat,2M-INT,"2, 10, 20, 32",2.71000000000,22.86,LOLA/CSMI,8063-1,,Ontario,193,Station 717,stn717,4,Ontario,2018,CSMI,19.00000000000,43.30000000000,-77.44000000000,,8063-1,717,2M-INT,LOLA/CSMI,6/20/2018,34.00000000000,,Unstrat,"2, 10, 20, 32",2.00000000000,20.00000000000,11.00000000000,2.71000000000,9478,5.94000000000e+002,"(181,38)",181,38,-3.51884e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.345354,,5.345354,0,,181-38,3.53800000000,181,38,181-38,35.38000000000,10,4,
105,109,114,stn717_20180620_D_LG,stn717,6/20/2018,20180620,34.00000000000,Unstrat,B2/ Hypo,,6.42000000000,22.93,LOLA/CSMI,8063-7,,Ontario,193,Station 717,stn717,4,Ontario,2018,CSMI,19.00000000000,43.30000000000,-77.44000000000,,8063-7,717,B2/ Hypo,LOLA/CSMI,6/20/2018,34.00000000000,,,,32.00000000000,32.00000000000,32.00000000000,6.42000000000,9478,5.94000000000e+002,"(181,38)",181,38,-3.51884e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.345354,,5.345354,0,,181-38,3.53800000000,181,38,181-38,35.38000000000,10,10,
