FID_GLENDA,Row,YEAR,MONTH,SEASON,LAKE,CRUISE_ID,VISIT_ID,STATION_ID,STN_DEPTH_,LATITUDE,LONGITUDE,SAMPLING_D,TIME_ZONE,SAMPLE_DEP,DEPTH_CODE,MEDIUM,SAMPLE_TYP,QC_TYPE,SAMPLE_ID,ANL_CODE_1,ANALYTE_1,VALUE_1,UNITS_1,FRACTION_1,METHOD_1,RESULT_REM,ANL_CODE_2,ANALYTE_2,TP,UNITS_2,FRACTION_2,METHOD_2,RESULT_R_1,FID_EFDC,GRIDNO,IJ_VALUE,I_Value,J_Value,BedElev,I_Parent,J_Parent,Area,Mask,WSElev,ZRough,Sim_Result,Sim_Dir,Map_Value,Dry_Flag,Grid_Label,I_J_index,sig_thick,Area_ha,Num_layers,Wat_depth,sigma_layer
44,45,2013,April,Spring,Ontario,ON1311-SV,O0FOM13,ONFO,81,43.4164,-77.917383,4/7/2013,EDT,0,"Integrated, Summer",surface water,INSITU_MEAS,routine field sample,13GO24I72,P-tot,"Phosphorus, Total as P",4.162,ug/l,Filtrate,LG204,,P-tot,"Phosphorus, Total as P",4.8,ug/l,Total/Bulk,LG204,,6918,5.23E+03,"(152,73)",152,73,-9.08E+01,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.821283,,4.821283,0,,152-73,9.1009,197.4322208,10,91.009,1
59,60,2013,April,Spring,Ontario,ON1311-SV,O0FOM13,ONFO,81,43.4164,-77.917383,4/7/2013,EDT,2.4,Surface,surface water,INSITU_MEAS,routine field sample,13GO24S61,P-tot,"Phosphorus, Total as P",3.74,ug/l,Filtrate,LG204,,P-tot,"Phosphorus, Total as P",4.845,ug/l,Total/Bulk,LG204,,6918,5.23E+03,"(152,73)",152,73,-9.08E+01,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.821283,,4.821283,0,,152-73,9.1009,197.4322208,10,91.009,1
60,61,2013,April,Spring,Ontario,ON1311-SV,O0FOM13,ONFO,81,43.4164,-77.917383,4/7/2013,EDT,43.1,Middle Depth,surface water,INSITU_MEAS,routine field sample,13GO24S63,P-tot,"Phosphorus, Total as P",4.297,ug/l,Filtrate,LG204,,P-tot,"Phosphorus, Total as P",4.673,ug/l,Total/Bulk,LG204,,6918,5.23E+03,"(152,73)",152,73,-9.08E+01,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.821283,,4.821283,0,,152-73,9.1009,197.4322208,10,91.009,5
61,62,2013,April,Spring,Ontario,ON1311-SV,O0FOM13,ONFO,81,43.4164,-77.917383,4/7/2013,EDT,75.8,Bottom Minus 10,surface water,INSITU_MEAS,routine field sample,13GO24S70,P-tot,"Phosphorus, Total as P",3.956,ug/l,Filtrate,LG204,,P-tot,"Phosphorus, Total as P",5.783,ug/l,Total/Bulk,LG204,,6918,5.23E+03,"(152,73)",152,73,-9.08E+01,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.821283,,4.821283,0,,152-73,9.1009,197.4322208,10,91.009,9
62,63,2013,April,Spring,Ontario,ON1311-SV,O0FOM13,ONFO,81,43.4164,-77.917383,4/7/2013,EDT,84,Bottom Minus,surface water,INSITU_MEAS,routine field sample,13GO24S71,P-tot,"Phosphorus, Total as P",4.295,ug/l,Filtrate,LG204,,P-tot,"Phosphorus, Total as P",4.597,ug/l,Total/Bulk,LG204,,6918,5.23E+03,"(152,73)",152,73,-9.08E+01,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.821283,,4.821283,0,,152-73,9.1009,197.4322208,10,91.009,10
130,131,2013,August,Summer,Ontario,ON1321-SV,O0FOG13,ONFO,80,43.416433,-77.916517,8/14/2013,EDT,0,"Integrated, Summer",surface water,INSITU_MEAS,routine field sample,13GO59I32,P-tot,"Phosphorus, Total as P",2.485,ug/l,Filtrate,LG204,,P-tot,"Phosphorus, Total as P",6.619,ug/l,Total/Bulk,LG204,,6918,5.23E+03,"(152,73)",152,73,-9.08E+01,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.821283,,4.821283,0,,152-73,9.1009,197.4322208,10,91.009,1
131,132,2013,August,Summer,Ontario,ON1321-SV,O0FOG13,ONFO,80,43.416433,-77.916517,8/14/2013,EDT,1.9,Surface,surface water,INSITU_MEAS,routine field sample,13GO59S21,P-tot,"Phosphorus, Total as P",3.196,ug/l,Filtrate,LG204,,P-tot,"Phosphorus, Total as P",5.616,ug/l,Total/Bulk,LG204,,6918,5.23E+03,"(152,73)",152,73,-9.08E+01,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.821283,,4.821283,0,,152-73,9.1009,197.4322208,10,91.009,1
132,133,2013,August,Summer,Ontario,ON1321-SV,O0FOG13,ONFO,80,43.416433,-77.916517,8/14/2013,EDT,17,Mid Epilimnion,surface water,INSITU_MEAS,routine field sample,13GO59S22,P-tot,"Phosphorus, Total as P",2.157,ug/l,Filtrate,LG204,,P-tot,"Phosphorus, Total as P",5.768,ug/l,Total/Bulk,LG204,,6918,5.23E+03,"(152,73)",152,73,-9.08E+01,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.821283,,4.821283,0,,152-73,9.1009,197.4322208,10,91.009,2
133,134,2013,August,Summer,Ontario,ON1321-SV,O0FOG13,ONFO,80,43.416433,-77.916517,8/14/2013,EDT,65.6,Mid Hypolimnion,surface water,INSITU_MEAS,routine field sample,13GO59S26,P-tot,"Phosphorus, Total as P",2.087,ug/l,Filtrate,LG204,,P-tot,"Phosphorus, Total as P",2.131,ug/l,Total/Bulk,LG204,,6918,5.23E+03,"(152,73)",152,73,-9.08E+01,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.821283,,4.821283,0,,152-73,9.1009,197.4322208,10,91.009,8
134,135,2013,August,Summer,Ontario,ON1321-SV,O0FOG13,ONFO,80,43.416433,-77.916517,8/14/2013,EDT,71.3,Bottom Minus 10,surface water,INSITU_MEAS,routine field sample,13GO59S30,P-tot,"Phosphorus, Total as P",2.419,ug/l,Filtrate,LG204,,P-tot,"Phosphorus, Total as P",2.569,ug/l,Total/Bulk,LG204,,6918,5.23E+03,"(152,73)",152,73,-9.08E+01,0,0,0.00E+00,0,1.92E-01,1.00E-03,4.821283,,4.821283,0,,152-73,9.1009,197.4322208,10,91.009,8
