OBJECTID,FID_LONNS_,OBJECTID_1,OBJECTID_2,EventCode,StationCod,Collection,Collecti_1,SiteDepth,Stratifica,SampleDept,Depths,TotalPhosp,Project,STISdepth,Comments,LAKE,FID_,StationNam,StationC_1,Transect,Lake_1,Year_,Project_1,Depth,LatitudeDD,LongitudeD,FID_EFDC,GRIDNO,IJ_VALUE,I_Value,J_Value,BedElev,I_Parent,J_Parent,Area,Mask,WSElev,ZRough,Sim_Result,Sim_Dir,Map_Value,Dry_Flag,Grid_Label,I_J_index,sig_thick,I_index,J_Index,I_J_inde_1,Water_Dept,Number_Lay,Sig_layer-K,
1,13,205,0,NR20W15_20180728_D_LEII,NR20W15,7/28/2018,20180728,15.10000000000,no data,Surf,2.00000000000,3.27000000000,LONS,8095,,Ontario,94,20km west NR,NR20W15,LONS,Ontario,2018,CSMI,15,43.20244218000,-79.32615661000,742,3.88600000000e+003,"(48,66)",48,66,-1.50000e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,6.888137,,6.888137,0.00000000000,,48-66,1.51920000000,48,66,48-66,15.19200000000,10,2,
2,14,206,0,NR20W15_20180728_D_LEII,NR20W15,7/28/2018,20180728,15.10000000000,no data,B2,13.60000000000,0.61000000000,LONS,8097,,Ontario,94,20km west NR,NR20W15,LONS,Ontario,2018,CSMI,15,43.20244218000,-79.32615661000,742,3.88600000000e+003,"(48,66)",48,66,-1.50000e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,6.888137,,6.888137,0.00000000000,,48-66,1.51920000000,48,66,48-66,15.19200000000,10,9,
3,15,207,0,NR40W15_20180728_D_LEII,NR40W15,7/28/2018,20180728,16.20000000000,Unstrat,Surf,2.00000000000,0.61000000000,LONS,8098,,Ontario,96,40km west NR,NR40W15,LONS,Ontario,2018,CSMI,15,43.23981940000,-79.56364960000,193,6.28300000000e+003,"(31,79)",31,79,-1.48016e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.743262,,5.743262,0.00000000000,,31-79,1.49940000000,31,79,31-79,14.99400000000,10,2,
4,16,208,0,NR40W15_20180728_D_LEII,NR40W15,7/28/2018,20180728,16.20000000000,Unstrat,B2,14.80000000000,1.38000000000,LONS,8100,,Ontario,96,40km west NR,NR40W15,LONS,Ontario,2018,CSMI,15,43.23981940000,-79.56364960000,193,6.28300000000e+003,"(31,79)",31,79,-1.48016e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.743262,,5.743262,0.00000000000,,31-79,1.49940000000,31,79,31-79,14.99400000000,10,10,
5,7,199,0,NR15W25_20180728_D_LEII,NR15W25,7/28/2018,20180728,25.90000000000,no data,Surf,2.00000000000,2.24000000000,LONS,8089,,Ontario,91,15km west  NR 25m,NR15W25,LONS,Ontario,2018,CSMI,25,43.24994279000,-79.25994111000,1088,4.94900000000e+003,"(54,72)",54,72,-2.44239e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,6.084736,,6.084736,0.00000000000,,54-72,2.46160000000,54,72,54-72,24.61600000000,10,1,
6,8,200,0,NR15W25_20180728_D_LEII,NR15W25,7/28/2018,20180728,25.90000000000,no data,mid/DCL,21.00000000000,3.62000000000,LONS,8090,,Ontario,91,15km west  NR 25m,NR15W25,LONS,Ontario,2018,CSMI,25,43.24994279000,-79.25994111000,1088,4.94900000000e+003,"(54,72)",54,72,-2.44239e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,6.084736,,6.084736,0.00000000000,,54-72,2.46160000000,54,72,54-72,24.61600000000,10,9,
7,9,201,0,NR15W25_20180728_D_LEII,NR15W25,7/28/2018,20180728,25.90000000000,no data,B2,23.00000000000,0.61000000000,LONS,8091,,Ontario,91,15km west  NR 25m,NR15W25,LONS,Ontario,2018,CSMI,25,43.24994279000,-79.25994111000,1088,4.94900000000e+003,"(54,72)",54,72,-2.44239e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,6.084736,,6.084736,0.00000000000,,54-72,2.46160000000,54,72,54-72,24.61600000000,10,10,
8,10,202,0,NR15W40_20180728_D_LEII,NR15W40,7/28/2018,20180728,41.00000000000,no data,Surf,2.00000000000,1.51000000000,LONS,8092,,Ontario,92,15km west NR 40m,NR15W40,LONS,Ontario,2018,CSMI,40,43.26026917000,-79.26380919000,1089,5.13300000000e+003,"(54,73)",54,73,-3.64053e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.128016,,5.128016,0.00000000000,,54-73,3.65970000000,54,73,54-73,36.59700000000,10,1,
9,11,203,0,NR15W40_20180728_D_LEII,NR15W40,7/28/2018,20180728,41.00000000000,no data,mid/DCL,23.00000000000,0.61000000000,LONS,8093,,Ontario,92,15km west NR 40m,NR15W40,LONS,Ontario,2018,CSMI,40,43.26026917000,-79.26380919000,1089,5.13300000000e+003,"(54,73)",54,73,-3.64053e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.128016,,5.128016,0.00000000000,,54-73,3.65970000000,54,73,54-73,36.59700000000,10,7,
10,12,204,0,NR15W40_20180728_D_LEII,NR15W40,7/28/2018,20180728,41.00000000000,no data,B2,38.00000000000,0.61000000000,LONS,8094,,Ontario,92,15km west NR 40m,NR15W40,LONS,Ontario,2018,CSMI,40,43.26026917000,-79.26380919000,1089,5.13300000000e+003,"(54,73)",54,73,-3.64053e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.128016,,5.128016,0.00000000000,,54-73,3.65970000000,54,73,54-73,36.59700000000,10,10,
