OBJECTID,FID_Makare,Date_,Lat,Long_,Long2,I,J,Smpl_Dpth_,TP_ug_L,Site,Sta_dpth_m,Field11,FID_EFDC,GRIDNO,IJ_VALUE,I_Value,J_Value,BedElev,I_Parent,J_Parent,Area,Mask,WSElev,ZRough,Sim_Result,Sim_Dir,Map_Value,Dry_Flag,Grid_Label,I_J_index,sig_thick,I_index,J_Index,I_J_inde_1,Water_Dept,Number_Lay,Sig_layer-K
1,2,5/22/2013,43.23477,77.53476,-77.53476,,,0.5,33.1,Irondequoit Bay Lakeside,,,8919,2.00E+00,"(176,2)",176,2,-3.23E+00,0,0,0.00E+00,0,1.92E-01,1.00E-03,7.927767,,7.927767,0,,176-2,1.140333333,176,2,176-2,3.421,3,1
2,5,6/19/2013,43.23477,77.53476,-77.53476,,,0.5,140.2,Irondequoit Bay Lakeside,,,8919,2.00E+00,"(176,2)",176,2,-3.23E+00,0,0,0.00E+00,0,1.92E-01,1.00E-03,7.927767,,7.927767,0,,176-2,1.140333333,176,2,176-2,3.421,3,1
3,8,7/23/2013,43.23477,77.53476,-77.53476,,,0.5,73.1,Irondequoit Bay Lakeside,,,8919,2.00E+00,"(176,2)",176,2,-3.23E+00,0,0,0.00E+00,0,1.92E-01,1.00E-03,7.927767,,7.927767,0,,176-2,1.140333333,176,2,176-2,3.421,3,1
4,11,8/20/2013,43.23477,77.53476,-77.53476,,,0.5,22.7,Irondequoit Bay Lakeside,,,8919,2.00E+00,"(176,2)",176,2,-3.23E+00,0,0,0.00E+00,0,1.92E-01,1.00E-03,7.927767,,7.927767,0,,176-2,1.140333333,176,2,176-2,3.421,3,1
5,14,9/16/2013,43.23477,77.53476,-77.53476,,,0.5,18.8,Irondequoit Bay Lakeside,,,8919,2.00E+00,"(176,2)",176,2,-3.23E+00,0,0,0.00E+00,0,1.92E-01,1.00E-03,7.927767,,7.927767,0,,176-2,1.140333333,176,2,176-2,3.421,3,1
6,3,5/20/2013,43.25695,77.60572,-77.60572,,,0.5,53.9,Genesee River Lakeside,,,8481,1.80E+01,"(172,7)",172,7,-3.62E+00,0,0,0.00E+00,0,1.92E-01,1.00E-03,7.55041,,7.55041,0,,172-7,0.9535,172,7,172-7,3.814,4,1
7,6,6/19/2013,43.25695,77.60572,-77.60572,,,0.5,55.4,Genesee River Lakeside,,,8481,1.80E+01,"(172,7)",172,7,-3.62E+00,0,0,0.00E+00,0,1.92E-01,1.00E-03,7.55041,,7.55041,0,,172-7,0.9535,172,7,172-7,3.814,4,1
8,9,7/22/2013,43.25695,77.60572,-77.60572,,,0.5,42.9,Genesee River Lakeside,,,8481,1.80E+01,"(172,7)",172,7,-3.62E+00,0,0,0.00E+00,0,1.92E-01,1.00E-03,7.55041,,7.55041,0,,172-7,0.9535,172,7,172-7,3.814,4,1
9,12,8/19/2013,43.25695,77.60572,-77.60572,,,0.5,224.1,Genesee River Lakeside,,,8481,1.80E+01,"(172,7)",172,7,-3.62E+00,0,0,0.00E+00,0,1.92E-01,1.00E-03,7.55041,,7.55041,0,,172-7,0.9535,172,7,172-7,3.814,4,1
10,15,9/16/2013,43.25695,77.60572,-77.60572,,,0.5,142.2,Genesee River Lakeside,,,8481,1.80E+01,"(172,7)",172,7,-3.62E+00,0,0,0.00E+00,0,1.92E-01,1.00E-03,7.55041,,7.55041,0,,172-7,0.9535,172,7,172-7,3.814,4,1
