"Date","JulianDate","I_Index","J_Index","K_Index","TP","WaterDepth","Modeled_TP"
2013-04-07,1365292800,152,73,1,4.8,91.009,8.35257742437534
2013-04-07,1365292800,152,73,1,4.845,91.009,8.35257742437534
2013-04-07,1365292800,152,73,5,4.673,91.009,8.34062848298345
2013-04-07,1365292800,152,73,9,5.783,91.009,8.34463662613416
2013-04-07,1365292800,152,73,10,4.597,91.009,8.35279934108257
2013-08-14,1376438400,152,73,1,6.619,91.009,5.82451230002334
2013-08-14,1376438400,152,73,1,5.616,91.009,5.82451230002334
2013-08-14,1376438400,152,73,2,5.768,91.009,6.17894147580955
2013-08-14,1376438400,152,73,8,2.131,91.009,6.79586628393736
2013-08-14,1376438400,152,73,8,2.569,91.009,6.79586628393736
2013-08-14,1376438400,152,73,9,2.25,91.009,6.82459858580842
2013-04-05,1365120000,180,78,1,4.672,195.3,6.57908731227508
2013-04-05,1365120000,180,78,1,4.659,195.3,6.57908731227508
2013-04-05,1365120000,180,78,1,4.013,195.3,6.57908731227508
2013-04-05,1365120000,180,78,1,4.613,195.3,6.57908731227508
2013-04-05,1365120000,180,78,2,5.339,195.3,6.58106591799879
2013-04-05,1365120000,180,78,2,4.426,195.3,6.58106591799879
2013-04-05,1365120000,180,78,3,4.742,195.3,6.5823296608869
2013-04-05,1365120000,180,78,3,4.197,195.3,6.5823296608869
2013-04-05,1365120000,180,78,6,4.459,195.3,6.58512726658955
2013-04-05,1365120000,180,78,10,4.473,195.3,6.58849194223876
2013-04-05,1365120000,180,78,10,4.596,195.3,6.58849194223876
2013-08-13,1376352000,180,78,1,4.796,195.3,6.12473104411038
2013-08-13,1376352000,180,78,1,4.813,195.3,6.12473104411038
2013-08-13,1376352000,180,78,1,5.198,195.3,6.12473104411038
2013-08-13,1376352000,180,78,1,6.015,195.3,6.12473104411038
2013-08-13,1376352000,180,78,2,6.213,195.3,6.60186469758628
2013-08-13,1376352000,180,78,3,3.066,195.3,6.67876702209469
2013-08-13,1376352000,180,78,3,2.486,195.3,6.67876702209469
2013-08-13,1376352000,180,78,6,3.764,195.3,6.63286255075946
2013-08-13,1376352000,180,78,10,4.686,195.3,6.69802830088884
2013-08-13,1376352000,180,78,10,4.458,195.3,6.69802830088884
2013-08-13,1376352000,180,78,2,5.308,195.3,6.60186469758628
2013-08-12,1376265600,59,94,1,6.413,108.293,5.90473655392998
2013-08-12,1376265600,59,94,1,5.599,108.293,5.90473655392998
2013-08-12,1376265600,59,94,1,7.314,108.293,5.90473655392998
2013-08-12,1376265600,59,94,7,2.895,108.293,6.34488969808444
2013-08-12,1376265600,59,94,9,4.165,108.293,7.03701243764954
2013-08-12,1376265600,59,94,10,3.186,108.293,7.51533025322715
2013-08-12,1376265600,59,94,2,7.812,108.293,5.99145687374403
2013-04-04,1365033600,58,94,1,3.693,106.864,5.07888216816355
2013-04-04,1365033600,58,94,1,4.138,106.864,5.07888216816355
2013-04-04,1365033600,58,94,5,3.922,106.864,5.06981450598687
2013-04-04,1365033600,58,94,9,3.897,106.864,5.06627065988141
2013-04-04,1365033600,58,94,10,3.597,106.864,5.06790956933401
2013-04-04,1365033600,77,89,1,3.369,138.518,7.00791679264512
2013-04-04,1365033600,77,89,1,4.112,138.518,7.00791679264512
2013-04-04,1365033600,77,89,5,3.759,138.518,7.05189449945465
2013-04-04,1365033600,77,89,10,4.246,138.518,7.0866267378733
2013-04-04,1365033600,77,89,10,4.316,138.518,7.0866267378733
2013-08-12,1376265600,77,89,1,5.603,138.518,5.6595135902171
2013-08-12,1376265600,77,89,1,5.214,138.518,5.6595135902171
2013-08-12,1376265600,77,89,6,4.009,138.518,6.47035039946786
2013-08-12,1376265600,77,89,10,4.559,138.518,7.28932491256273
2013-08-12,1376265600,77,89,10,7.876,138.518,7.28932491256273
2013-08-12,1376265600,77,89,2,4.285,138.518,6.03723765379982
