"Date","JulianDate","Latitude","Longitude","I_Index","J_Index","K_Index","Number_Layers","Sigma_Layer_Thickness","TP","Sample_Depth","Water_Depth","Modeled_TP"
2018-08-14,1534204800,43.224933,-79.272617,52,67,1,10,1.1713,6.61,0,11.713,7.10292897565523
2018-04-09,1523232000,43.225117,-79.271633,52,67,1,10,1.1713,5.133,0,11.713,6.77876187182846
2018-08-15,1534291200,43.308,-76.95105,208,62,1,10,2.8862,3.647,0,28.862,5.1738920774369
2018-08-15,1534291200,43.308,-76.95105,208,62,8,10,2.8862,2.708,20.8,28.862,5.61187653147499
2018-04-10,1523318400,43.318267,-78.999667,75,71,1,10,1.6675,6.626,0,16.675,7.53521635488141
2018-08-14,1534204800,43.318333,-79.000352,75,71,1,10,1.6675,5.742,0,16.675,7.24124538464821
2018-08-14,1534204800,43.318333,-79.000352,75,71,8,10,1.6675,3.699,11.8,16.675,7.22193362889811
2018-04-10,1523318400,43.374733,-78.73015,97,71,1,10,6.0335,5.103,0,60.335,7.70150563766947
2018-08-14,1534204800,43.375052,-78.730122,97,71,1,10,6.0335,4.096,0,60.335,6.94771279086126
2018-08-14,1534204800,43.375052,-78.730122,97,71,9,10,6.0335,2.551,49.8,60.335,6.54909899822087
2018-08-15,1534291200,43.383453,-77.9893,148,61,1,10,2.1032,3.962,0,21.032,5.67157849218347
2018-04-10,1523318400,43.383517,-77.989333,148,61,1,10,2.1032,7.63,0,21.032,8.28612974146381
2018-08-15,1534291200,43.408217,-76.794083,217,76,1,10,6.8871,3.073,0,68.871,4.65995526610641
2018-08-16,1534377600,43.443617,-77.438335,180,78,1,10,19.53,3.391,0,195.3,5.24170900462195
2018-08-16,1534377600,43.443617,-77.438335,180,78,1,10,19.53,3.731,2,195.3,5.24170900462195
2018-08-16,1534377600,43.443617,-77.438335,180,78,1,10,19.53,4.915975,6,195.3,5.24170900462195
2018-08-16,1534377600,43.443617,-77.438335,180,78,1,10,19.53,5.074,11,195.3,5.24170900462195
2018-08-16,1534377600,43.443617,-77.438335,180,78,1,10,19.53,4.122,15,195.3,5.24170900462195
2018-08-16,1534377600,43.443617,-77.438335,180,78,2,10,19.53,3.788,37,195.3,4.85655937154661
2018-08-16,1534377600,43.443617,-77.438335,180,78,3,10,19.53,3.2,40,195.3,4.66744404548081
2018-08-16,1534377600,43.443617,-77.438335,180,78,3,10,19.53,3.912,50,195.3,4.66744404548081
2018-08-16,1534377600,43.443617,-77.438335,180,78,6,10,19.53,4.155,100,195.3,4.59711918665562
2018-08-16,1534377600,43.443617,-77.438335,180,78,10,10,19.53,3.837,180.4,195.3,4.63396918348735
2018-08-16,1534377600,43.443617,-77.438335,180,78,10,10,19.53,3.718,188.1,195.3,4.63396918348735
2018-08-16,1534377600,43.443617,-77.438335,180,78,2,10,19.53,5.8349,19.9,195.3,4.85655937154661
2018-04-11,1523404800,43.443817,-77.44155,180,78,1,10,19.53,3.712,0,195.3,4.61813942820299
2018-04-11,1523404800,43.443817,-77.44155,180,78,1,10,19.53,5.566,2.1,195.3,4.61813942820299
2018-04-11,1523404800,43.443817,-77.44155,180,78,1,10,19.53,5.261,5.1,195.3,4.61813942820299
2018-04-11,1523404800,43.443817,-77.44155,180,78,1,10,19.53,3.330025,10,195.3,4.61813942820299
2018-04-11,1523404800,43.443817,-77.44155,180,78,2,10,19.53,5.118,20,195.3,4.62493653685669
2018-04-11,1523404800,43.443817,-77.44155,180,78,2,10,19.53,4.408,30,195.3,4.62493653685669
2018-04-11,1523404800,43.443817,-77.44155,180,78,3,10,19.53,4.215,40,195.3,4.62558773506316
2018-04-11,1523404800,43.443817,-77.44155,180,78,3,10,19.53,4.425,50,195.3,4.62558773506316
2018-04-11,1523404800,43.443817,-77.44155,180,78,6,10,19.53,4.054,100,195.3,4.62665821032715
2018-04-11,1523404800,43.443817,-77.44155,180,78,10,10,19.53,3.782,179,195.3,4.63040987597196
2018-04-11,1523404800,43.443817,-77.44155,180,78,10,10,19.53,4.957,187,195.3,4.63040987597196
2018-08-14,1534204800,43.503,-79.353,58,94,1,10,10.6864,5.3,0,106.864,6.07189622314763
2018-08-14,1534204800,43.503,-79.353,58,94,1,10,10.6864,5.238,2,106.864,6.07189622314763
2018-08-14,1534204800,43.503,-79.353,58,94,1,10,10.6864,5.701,5,106.864,6.07189622314763
2018-08-14,1534204800,43.503,-79.353,58,94,7,10,10.6864,5.92,67,106.864,6.64695789964753
2018-08-14,1534204800,43.503,-79.353,58,94,9,10,10.6864,5.522,93.6,106.864,6.68929305902566
2018-08-14,1534204800,43.503,-79.353,58,94,10,10,10.6864,5.112,101.3,106.864,6.83710140947369
2018-08-14,1534204800,43.503,-79.353,58,94,2,10,10.6864,5.46,17,106.864,6.38129813523847
2018-04-09,1523232000,43.503483,-79.353783,58,94,1,10,10.6864,3.04,0,106.864,7.83219184086192
2018-04-09,1523232000,43.503483,-79.353783,58,94,1,10,10.6864,2.764,2,106.864,7.83219184086192
