"Date","JulianDate","I_Index","J_Index","K_Index","TP","WaterDepth","Modeled_TP"
2018-08-14,1534204800,52,67,1,6.61,11.713,7.10292897565523
2018-04-09,1523232000,52,67,1,5.133,11.713,6.77876187182846
2018-04-10,1523318400,75,71,1,6.626,16.675,7.53521635488141
2018-08-14,1534204800,75,71,1,5.742,16.675,7.24124538464821
2018-08-14,1534204800,75,71,8,3.699,16.675,7.22193362889811
2018-08-14,1534204800,143,108,1,4.622,8.264,3.61123056791257
2018-04-10,1523318400,143,108,1,3.23,8.264,5.38528956894879
2018-08-17,1534464000,52,67,1,9.5,11.713,6.23063806415303
2018-08-17,1534464000,52,67,9,6.9,11.713,7.23507355360198
2018-08-17,1534464000,58,67,1,6.9,12.252,6.42986879029195
2018-08-17,1534464000,10,91,1,45.7,3.192,6.54106679576216
2018-08-17,1534464000,10,91,1,54.6,3.192,6.54106679576216
2018-08-17,1534464000,12,90,1,30.9,3.192,6.31445846011047
2018-08-17,1534464000,12,90,3,26.7,3.192,6.79526146996068
2018-08-17,1534464000,12,90,3,112,3.192,6.79526146996068
2018-08-17,1534464000,15,91,1,52.2,3.192,6.23904452368151
2018-08-17,1534464000,15,91,3,42.4,3.192,6.71135830998537
2018-08-17,1534464000,73,63,1,8,10.742,7.34144805392134
2018-08-17,1534464000,73,63,10,5.7,10.742,7.94092284195358
2018-08-17,1534464000,66,73,1,6.6,13.235,6.66811138216872
2018-08-16,1534377600,173,14,1,9.8,15.578,6.04982369623031
2018-08-16,1534377600,173,14,7,9.1,15.578,6.40500229565077
2018-08-17,1534464000,85,61,1,6,17.667,7.19907666280051
2018-08-13,1534118400,33,96,1,5.1,18.224,6.04214301347383
2018-08-16,1534377600,230,80,1,8.8,17.601,4.90267939312616
2018-08-16,1534377600,230,80,6,8.2,17.601,5.63483308724244
2018-05-23,1527033600,230,80,2,6.2,17.601,7.38690687285271
2018-05-23,1527033600,230,80,6,6.1,17.601,7.3947021519416
2018-08-14,1534204800,56,105,1,8.1,15.142,7.23865559848491
2018-08-14,1534204800,56,105,7,10.6,15.142,8.162239282683
2018-08-14,1534204800,56,105,9,10.3,15.142,8.48059607960749
2018-08-14,1534204800,61,104,1,16.3,8.031,6.59264878777321
2018-08-14,1534204800,62,104,2,26.1,7.898,6.4117111833184
2018-08-14,1534204800,62,104,8,21.7,7.898,8.43781072035199
2018-08-14,1534204800,69,104,1,6.5,10.692,5.9274193517922
2018-08-14,1534204800,98,107,1,8.4,19.091,4.91455875817337
2018-08-14,1534204800,143,108,1,5.2,8.264,3.61123056791257
2018-05-22,1526947200,143,108,2,6.1,8.264,4.83622307001497
2018-05-22,1526947200,143,108,8,5.7,8.264,5.14357634529006
2018-05-22,1526947200,143,108,8,6.3,8.264,5.14357634529006
2018-08-15,1534291200,166,112,1,5,17.575,9.41314192459686
2018-08-15,1534291200,166,112,1,4.9,17.575,9.41314192459686
2018-08-15,1534291200,236,120,1,15.2,18.642,4.2563565330056
2018-07-25,1532476800,52,67,2,12.1,11.713,7.01641101841233
2018-07-25,1532476800,52,67,10,12.7,11.713,7.41938765713712
2018-07-25,1532476800,56,105,3,9.69,15.142,6.68950997351203
2018-07-25,1532476800,56,105,10,6.03,15.142,9.51811125560198
2018-05-23,1527033600,209,110,6,4.47,11.873,3.5822890822601
2018-05-23,1527033600,209,110,10,2.58,11.873,3.62174068868626
2018-05-23,1527033600,209,110,10,2.56,11.873,3.62174068868626
2018-06-21,1529539200,209,110,4,3.98,11.873,3.79005473405414
2018-06-21,1529539200,209,110,10,3.63,11.873,3.87954742109287
2018-06-21,1529539200,209,110,10,1.35,11.873,3.87954742109287
2018-07-28,1532736000,48,66,2,3.27,15.192,6.37669654679485
2018-07-28,1532736000,48,66,9,0.61,15.192,6.6517118284537
2018-07-28,1532736000,31,79,2,0.61,14.994,6.34288653600379
2018-07-28,1532736000,31,79,10,1.38,14.994,7.01258068147581
2018-07-28,1532736000,58,70,2,5.23,15.774,6.25337952442351
2018-07-28,1532736000,58,70,9,0.61,15.774,7.11471511749551
2018-07-29,1532822400,176,8,2,4.63,13.872,20.8904784813058
2018-07-29,1532822400,176,8,9,5.91,13.872,21.2425784411607
2018-07-27,1532649600,68,73,2,0.61,12.984,7.31352702132426
2018-07-27,1532649600,68,73,7,1.81,12.984,7.40495897844085
2018-07-30,1532908800,68,73,2,7.95,12.984,7.40409268473741
2018-07-30,1532908800,68,73,7,6.78,12.984,7.45649867894826
2018-07-29,1532822400,173,16,2,43.7,18.394,7.68983773014043
2018-07-29,1532822400,173,16,8,105,18.394,7.49967330193613
2018-07-28,1532736000,76,70,2,1.31,16.029,7.46089017411578
2018-07-28,1532736000,76,70,9,0.61,16.029,7.47484864405124
2018-07-30,1532908800,76,70,2,12.7,16.029,7.10983204044169
2018-07-30,1532908800,76,70,9,8.49,16.029,7.30834881323972
2018-07-27,1532649600,87,59,2,4.41,15.115,7.3008241088246
2018-07-27,1532649600,87,59,10,5.62,15.115,7.67142591939773
2018-07-29,1532822400,170,33,2,5.89,18.313,6.19701768300729
2018-07-29,1532822400,170,33,8,5.38,18.313,6.74685270496411
2018-07-28,1532736000,106,57,2,6.32,16.301,6.88967338646762
2018-07-28,1532736000,106,57,10,5.86,16.301,7.2025627559924
2018-07-29,1532822400,125,57,2,6.61,19.675,6.71214002068155
2018-07-29,1532822400,125,57,8,9.6,19.675,6.93903302817489
2018-07-29,1532822400,141,57,2,6.08,19.192,6.51094524073415
2018-07-29,1532822400,141,57,8,7.68,19.192,6.8226904659241
2018-06-20,1529452800,181,16,2,5,2.505,7.34180684958119
2018-06-20,1529452800,181,16,3,7,2.505,7.5698890213971
2018-07-25,1532476800,181,16,3,6,2.505,6.42903569314512
2018-08-21,1534809600,181,16,2,8,2.505,5.66311473448877
2018-08-21,1534809600,181,16,3,10,2.505,5.68066570849624
2018-09-20,1537401600,181,16,2,9,2.505,10.566597666184
