"Date","JulianDate","Latitude","Longitude","I_Index","J_Index","K_Index","Number_Layers","Sigma_Layer_Thickness","TP","Sample_Depth","Water_Depth","Modeled_TP"
2018-08-14,1534204800,43.224933,-79.272617,52,67,1,10,1.1713,6.61,0,11.713,7.10292897565523
2018-04-09,1523232000,43.225117,-79.271633,52,67,1,10,1.1713,5.133,0,11.713,6.77876187182846
2018-04-10,1523318400,43.318267,-78.999667,75,71,1,10,1.6675,6.626,0,16.675,7.53521635488141
2018-08-14,1534204800,43.318333,-79.000352,75,71,1,10,1.6675,5.742,0,16.675,7.24124538464821
2018-08-14,1534204800,43.318333,-79.000352,75,71,8,10,1.6675,3.699,11.8,16.675,7.22193362889811
2018-08-14,1534204800,43.949467,-78.050533,143,108,1,8,1.033,4.622,0,8.264,3.61123056791257
2018-04-10,1523318400,43.949917,-78.049783,143,108,1,8,1.033,3.23,0,8.264,5.38528956894879
2018-08-17,1534464000,43.22528,-79.27194,52,67,1,10,1.1713,9.5,1,11.713,6.23063806415303
2018-08-17,1534464000,43.22528,-79.27194,52,67,9,10,1.1713,6.9,10,11.713,7.23507355360198
2018-08-17,1534464000,43.255,-79.19417,58,67,1,10,1.2252,6.9,1,12.252,6.42986879029195
2018-08-17,1534464000,43.28083,-79.87167,10,91,1,3,1.064,45.7,1,3.192,6.54106679576216
2018-08-17,1534464000,43.28083,-79.87167,10,91,1,3,1.064,54.6,1,3.192,6.54106679576216
2018-08-17,1534464000,43.28694,-79.84194,12,90,1,3,1.064,30.9,1,3.192,6.31445846011047
2018-08-17,1534464000,43.28694,-79.84194,12,90,3,3,1.064,26.7,10,3.192,6.79526146996068
2018-08-17,1534464000,43.28694,-79.84194,12,90,3,3,1.064,112,21,3.192,6.79526146996068
2018-08-17,1534464000,43.30417,-79.81417,15,91,1,3,1.064,52.2,1,3.192,6.23904452368151
2018-08-17,1534464000,43.30417,-79.81417,15,91,3,3,1.064,42.4,9,3.192,6.71135830998537
2018-08-17,1534464000,43.29611,-79.00528,73,63,1,10,1.0742,8,1,10.742,7.34144805392134
2018-08-17,1534464000,43.29611,-79.00528,73,63,10,10,1.0742,5.7,10,10.742,7.94092284195358
2018-08-17,1534464000,43.30028,-79.11944,66,73,1,10,1.3235,6.6,1,13.235,6.66811138216872
2018-08-16,1534377600,43.27472,-77.59083,173,14,1,10,1.5578,9.8,1,15.578,6.04982369623031
2018-08-16,1534377600,43.27472,-77.59083,173,14,7,10,1.5578,9.1,10,15.578,6.40500229565077
2018-08-17,1534464000,43.32639,-78.86639,85,61,1,10,1.7667,6,1,17.667,7.19907666280051
2018-08-13,1534118400,43.42472,-79.65778,33,96,1,10,1.8224,5.1,1,18.224,6.04214301347383
2018-08-16,1534377600,43.47667,-76.52667,230,80,1,10,1.7601,8.8,1,17.601,4.90267939312616
2018-08-16,1534377600,43.47667,-76.52667,230,80,6,10,1.7601,8.2,10,17.601,5.63483308724244
2018-05-23,1527033600,43.47778,-76.525,230,80,2,10,1.7601,6.2,2,17.601,7.38690687285271
2018-05-23,1527033600,43.47778,-76.525,230,80,6,10,1.7601,6.1,9.5,17.601,7.3947021519416
2018-08-14,1534204800,43.62306,-79.45333,56,105,1,10,1.5142,8.1,1,15.142,7.23865559848491
2018-08-14,1534204800,43.62306,-79.45333,56,105,7,10,1.5142,10.6,10,15.142,8.162239282683
2018-08-14,1534204800,43.62306,-79.45333,56,105,9,10,1.5142,10.3,12.5,15.142,8.48059607960749
2018-08-14,1534204800,43.63194,-79.37917,61,104,1,8,1.003875,16.3,1,8.031,6.59264878777321
2018-08-14,1534204800,43.63806,-79.36,62,104,2,8,0.98725,26.1,1,7.898,6.4117111833184
2018-08-14,1534204800,43.63806,-79.36,62,104,8,8,0.98725,21.7,7,7.898,8.43781072035199
2018-08-14,1534204800,43.66806,-79.26667,69,104,1,10,1.0692,6.5,1,10.692,5.9274193517922
2018-08-14,1534204800,43.82944,-78.87056,98,107,1,10,1.9091,8.4,1,19.091,4.91455875817337
2018-08-14,1534204800,43.95028,-78.04944,143,108,1,8,1.033,5.2,1,8.264,3.61123056791257
2018-05-22,1526947200,43.95111,-78.04833,143,108,2,8,1.033,6.1,2,8.264,4.83622307001497
2018-05-22,1526947200,43.95111,-78.04833,143,108,8,8,1.033,5.7,7.9,8.264,5.14357634529006
2018-05-22,1526947200,43.95111,-78.04833,143,108,8,8,1.033,6.3,13.7,8.264,5.14357634529006
2018-08-15,1534291200,43.95139,-77.58694,166,112,1,10,1.7575,5,1,17.575,9.41314192459686
2018-08-15,1534291200,43.95139,-77.58694,166,112,1,10,1.7575,4.9,1,17.575,9.41314192459686
2018-08-15,1534291200,44.07556,-76.52056,236,120,1,10,1.8642,15.2,1,18.642,4.2563565330056
2018-07-25,1532476800,43.2247,-79.2719,52,67,2,10,1.1713,12.1,2,11.713,7.01641101841233
2018-07-25,1532476800,43.2247,-79.2719,52,67,10,10,1.1713,12.7,11.2,11.713,7.41938765713712
