FID_USGSCl,STIS_depth,Event_Code,Station_Co,Latitude,Longitude,Collection,Collecti_1,LAKE,SampleDept,RESEARCH_P,Site_Depth,Strat_Unst,Depths_m,NH4_ug_NL,Nox_ug_NL,SRP_ug_PL,TN_ug_NL,TP_ug_PL,FID_EFDC,GRIDNO,IJ_VALUE,I_Value,J_Value,BedElev,I_Parent,J_Parent,Area,Mask,WSElev,ZRough,Sim_Result,Sim_Dir,Map_Value,Dry_Flag,Grid_Label,I_J_index,sig_thick,Area_ha,Num_layers,Wat_depth,sigma_Layer
18,,USGSOIR3_20180620_D_USGS,USGSOIR3,43.26585000000,-77.43748000000,6/20/2018,20180620,Ontario,,USGS-Cladophora,3,,1.00000000000,18,210,,429,5,9456,1.19000000000e+002,"(181,16)",181,16,-2.31333e+000,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,7.070525,,7.070525,0,,181-16,0.83500000000,44.09436708670,3,2.50500000000,2
19,,USGSOIR3_20180620_D_USGS,USGSOIR3,43.26585000000,-77.43748000000,6/20/2018,20180620,Ontario,,USGS-Cladophora,3,,2.90000000000,10.4,205,,417,7,9456,1.19000000000e+002,"(181,16)",181,16,-2.31333e+000,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,7.070525,,7.070525,0,,181-16,0.83500000000,44.09436708670,3,2.50500000000,3
38,,USGSOIR3_20180725_D_USGS,USGSOIR3,43.26585000000,-77.43748000000,7/25/2018,20180725,Ontario,,USGS-Cladophora,3,,1.00000000000,19.3,341,,515,BDL,9456,1.19000000000e+002,"(181,16)",181,16,-2.31333e+000,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,7.070525,,7.070525,0,,181-16,0.83500000000,44.09436708670,3,2.50500000000,2
39,,USGSOIR3_20180725_D_USGS,USGSOIR3,43.26585000000,-77.43748000000,7/25/2018,20180725,Ontario,,USGS-Cladophora,3,,2.90000000000,BDL,290,,565,6,9456,1.19000000000e+002,"(181,16)",181,16,-2.31333e+000,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,7.070525,,7.070525,0,,181-16,0.83500000000,44.09436708670,3,2.50500000000,3
62,,USGSOIR3_20180821_D_USGS,USGSOIR3,43.26585000000,-77.43748000000,8/21/2018,20180821,Ontario,,USGS-Cladophora,3,,1.00000000000,86.3,341,,627,8,9456,1.19000000000e+002,"(181,16)",181,16,-2.31333e+000,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,7.070525,,7.070525,0,,181-16,0.83500000000,44.09436708670,3,2.50500000000,2
63,,USGSOIR3_20180821_D_USGS,USGSOIR3,43.26585000000,-77.43748000000,8/21/2018,20180821,Ontario,,USGS-Cladophora,3,,2.90000000000,87.1,346,,631,10,9456,1.19000000000e+002,"(181,16)",181,16,-2.31333e+000,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,7.070525,,7.070525,0,,181-16,0.83500000000,44.09436708670,3,2.50500000000,3
86,,USGSOIR3_20180920_D_USGS,USGSOIR3,43.26585000000,-77.43748000000,9/20/2018,20180920,Ontario,,USGS-Cladophora,3,,1.00000000000,11.6,213,,437,9,9456,1.19000000000e+002,"(181,16)",181,16,-2.31333e+000,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,7.070525,,7.070525,0,,181-16,0.83500000000,44.09436708670,3,2.50500000000,2
87,,USGSOIR3_20180920_D_USGS,USGSOIR3,43.26585000000,-77.43748000000,9/20/2018,20180920,Ontario,,USGS-Cladophora,3,,2.90000000000,11.2,205,,468,19,9456,1.19000000000e+002,"(181,16)",181,16,-2.31333e+000,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,7.070525,,7.070525,0,,181-16,0.83500000000,44.09436708670,3,2.50500000000,3
0,,USGSOIR6_20180525_D_USGS,USGSOIR6,43.26900000000,-77.44310000000,5/25/2018,20180525,Ontario,,USGS-Cladophora,6,,1.00000000000,15.3,248,,421,12,9457,1.33000000000e+002,"(181,17)",181,17,-3.31325e+000,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,7.016022,,7.016022,0,,181-17,0.87625000000,44.08714817150,4,3.50500000000,2
1,,USGSOIR6_20180525_D_USGS,USGSOIR6,43.26900000000,-77.44310000000,5/25/2018,20180525,Ontario,,USGS-Cladophora,6,,5.90000000000,35.5,236,,460,10,9457,1.33000000000e+002,"(181,17)",181,17,-3.31325e+000,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,7.016022,,7.016022,0,,181-17,0.87625000000,44.08714817150,4,3.50500000000,4
20,,USGSOIR6_20180620_D_USGS,USGSOIR6,43.26900000000,-77.44310000000,6/20/2018,20180620,Ontario,,USGS-Cladophora,6,,1.00000000000,47.6,216,,481,4,9457,1.33000000000e+002,"(181,17)",181,17,-3.31325e+000,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,7.016022,,7.016022,0,,181-17,0.87625000000,44.08714817150,4,3.50500000000,2
21,,USGSOIR6_20180620_D_USGS,USGSOIR6,43.26900000000,-77.44310000000,6/20/2018,20180620,Ontario,,USGS-Cladophora,6,,5.90000000000,10.8,210,,435,6,9457,1.33000000000e+002,"(181,17)",181,17,-3.31325e+000,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,7.016022,,7.016022,0,,181-17,0.87625000000,44.08714817150,4,3.50500000000,4
40,,USGSOIR6_20180725_D_USGS,USGSOIR6,43.26900000000,-77.44310000000,7/25/2018,20180725,Ontario,,USGS-Cladophora,6,,1.00000000000,28,338,,562,19,9457,1.33000000000e+002,"(181,17)",181,17,-3.31325e+000,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,7.016022,,7.016022,0,,181-17,0.87625000000,44.08714817150,4,3.50500000000,2
41,,USGSOIR6_20180725_D_USGS,USGSOIR6,43.26900000000,-77.44310000000,7/25/2018,20180725,Ontario,,USGS-Cladophora,6,,5.90000000000,22.9,346,,486,BDL,9457,1.33000000000e+002,"(181,17)",181,17,-3.31325e+000,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,7.016022,,7.016022,0,,181-17,0.87625000000,44.08714817150,4,3.50500000000,4
64,,USGSOIR6_20180821_D_USGS,USGSOIR6,43.26900000000,-77.44310000000,8/21/2018,20180821,Ontario,,USGS-Cladophora,6,,1.00000000000,65.4,254,,502,7,9457,1.33000000000e+002,"(181,17)",181,17,-3.31325e+000,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,7.016022,,7.016022,0,,181-17,0.87625000000,44.08714817150,4,3.50500000000,2
65,,USGSOIR6_20180821_D_USGS,USGSOIR6,43.26900000000,-77.44310000000,8/21/2018,20180821,Ontario,,USGS-Cladophora,6,,5.90000000000,113,345,,652,6,9457,1.33000000000e+002,"(181,17)",181,17,-3.31325e+000,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,7.016022,,7.016022,0,,181-17,0.87625000000,44.08714817150,4,3.50500000000,4
88,,USGSOIR6_20180920_D_USGS,USGSOIR6,43.26900000000,-77.44310000000,9/20/2018,20180920,Ontario,,USGS-Cladophora,6,,1.00000000000,17.9,243,,454,11,9457,1.33000000000e+002,"(181,17)",181,17,-3.31325e+000,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,7.016022,,7.016022,0,,181-17,0.87625000000,44.08714817150,4,3.50500000000,2
89,,USGSOIR6_20180920_D_USGS,USGSOIR6,43.26900000000,-77.44310000000,9/20/2018,20180920,Ontario,,USGS-Cladophora,6,,5.90000000000,16.7,241,,462,12,9457,1.33000000000e+002,"(181,17)",181,17,-3.31325e+000,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,7.016022,,7.016022,0,,181-17,0.87625000000,44.08714817150,4,3.50500000000,4
42,,USGSOIR10_20180725_D_USGS,USGSOIR10,43.27143000000,-77.44697000000,7/25/2018,20180725,Ontario,,USGS-Cladophora,10,,1.00000000000,32.7,355,,528,BDL,9457,1.33000000000e+002,"(181,17)",181,17,-3.31325e+000,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,7.016022,,7.016022,0,,181-17,0.87625000000,44.08714817150,4,3.50500000000,2
43,,USGSOIR10_20180725_D_USGS,USGSOIR10,43.27143000000,-77.44697000000,7/25/2018,20180725,Ontario,,USGS-Cladophora,10,,9.90000000000,31.5,350,,549,8,9457,1.33000000000e+002,"(181,17)",181,17,-3.31325e+000,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,7.016022,,7.016022,0,,181-17,0.87625000000,44.08714817150,4,3.50500000000,4
66,,USGSOIR10_20180821_D_USGS,USGSOIR10,43.27143000000,-77.44697000000,8/21/2018,20180821,Ontario,,USGS-Cladophora,10,,1.00000000000,85.1,316,,568,5,9457,1.33000000000e+002,"(181,17)",181,17,-3.31325e+000,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,7.016022,,7.016022,0,,181-17,0.87625000000,44.08714817150,4,3.50500000000,2
67,,USGSOIR10_20180821_D_USGS,USGSOIR10,43.27143000000,-77.44697000000,8/21/2018,20180821,Ontario,,USGS-Cladophora,10,,9.90000000000,97.5,360,,617,4,9457,1.33000000000e+002,"(181,17)",181,17,-3.31325e+000,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,7.016022,,7.016022,0,,181-17,0.87625000000,44.08714817150,4,3.50500000000,4
90,,USGSOIR10_20180920_D_USGS,USGSOIR10,43.27143000000,-77.44697000000,9/20/2018,20180920,Ontario,,USGS-Cladophora,10,,1.00000000000,21.1,185,,394,7,9457,1.33000000000e+002,"(181,17)",181,17,-3.31325e+000,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,7.016022,,7.016022,0,,181-17,0.87625000000,44.08714817150,4,3.50500000000,2
91,,USGSOIR10_20180920_D_USGS,USGSOIR10,43.27143000000,-77.44697000000,9/20/2018,20180920,Ontario,,USGS-Cladophora,10,,9.90000000000,25.2,181,,447,21,9457,1.33000000000e+002,"(181,17)",181,17,-3.31325e+000,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,7.016022,,7.016022,0,,181-17,0.87625000000,44.08714817150,4,3.50500000000,4
44,,USGSOIR18_20180725_D_USGS,USGSOIR18,43.27779000000,-77.45392000000,7/25/2018,20180725,Ontario,,USGS-Cladophora,18,,1.00000000000,31.6,318,,472,BDL,9359,1.96000000000e+002,"(180,21)",180,21,-1.47101e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,6.278078,,6.278078,0,,180-21,1.49020000000,22.19031853200,10,14.90200000000,1
45,,USGSOIR18_20180725_D_USGS,USGSOIR18,43.27779000000,-77.45392000000,7/25/2018,20180725,Ontario,,USGS-Cladophora,18,,17.90000000000,35.5,357,,524,BDL,9359,1.96000000000e+002,"(180,21)",180,21,-1.47101e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,6.278078,,6.278078,0,,180-21,1.49020000000,22.19031853200,10,14.90200000000,10
68,,USGSOIR18_20180821_D_USGS,USGSOIR18,43.27779000000,-77.45392000000,8/21/2018,20180821,Ontario,,USGS-Cladophora,18,,1.00000000000,88.8,296,,605,7,9359,1.96000000000e+002,"(180,21)",180,21,-1.47101e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,6.278078,,6.278078,0,,180-21,1.49020000000,22.19031853200,10,14.90200000000,1
69,,USGSOIR18_20180821_D_USGS,USGSOIR18,43.27779000000,-77.45392000000,8/21/2018,20180821,Ontario,,USGS-Cladophora,18,,17.90000000000,NA,NA,,NA,NA,9359,1.96000000000e+002,"(180,21)",180,21,-1.47101e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,6.278078,,6.278078,0,,180-21,1.49020000000,22.19031853200,10,14.90200000000,10
92,,USGSOIR18_20180920_D_USGS,USGSOIR18,43.27779000000,-77.45392000000,9/20/2018,20180920,Ontario,,USGS-Cladophora,18,,1.00000000000,14.8,146,,343,6,9359,1.96000000000e+002,"(180,21)",180,21,-1.47101e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,6.278078,,6.278078,0,,180-21,1.49020000000,22.19031853200,10,14.90200000000,1
93,,USGSOIR18_20180920_D_USGS,USGSOIR18,43.27779000000,-77.45392000000,9/20/2018,20180920,Ontario,,USGS-Cladophora,18,,17.90000000000,53.6,216,,447,11,9359,1.96000000000e+002,"(180,21)",180,21,-1.47101e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,6.278078,,6.278078,0,,180-21,1.49020000000,22.19031853200,10,14.90200000000,10
2,,USGSOOL3_20180522_D_USGS,USGSOOL3,43.33023000000,-78.76993000000,5/22/2018,20180522,Ontario,,USGS-Cladophora,3,,1.00000000000,12,218,,396,6,3281,1.11500000000e+003,"(92,49)",92,49,-3.76666e+000,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,6.353603,,6.353603,0,,92-49,0.98975000000,16.72301295190,4,3.95900000000,2
3,,USGSOOL3_20180522_D_USGS,USGSOOL3,43.33023000000,-78.76993000000,5/22/2018,20180522,Ontario,,USGS-Cladophora,3,,2.90000000000,24.4,213,,428,7,3281,1.11500000000e+003,"(92,49)",92,49,-3.76666e+000,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,6.353603,,6.353603,0,,92-49,0.98975000000,16.72301295190,4,3.95900000000,3
22,,USGSOOL3_20180619_D_USGS,USGSOOL3,43.33023000000,-78.76993000000,6/19/2018,20180619,Ontario,,USGS-Cladophora,3,,1.00000000000,13.1,139,,379,6,3281,1.11500000000e+003,"(92,49)",92,49,-3.76666e+000,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,6.353603,,6.353603,0,,92-49,0.98975000000,16.72301295190,4,3.95900000000,2
23,,USGSOOL3_20180619_D_USGS,USGSOOL3,43.33023000000,-78.76993000000,6/19/2018,20180619,Ontario,,USGS-Cladophora,3,,2.90000000000,14.3,140,,394,8,3281,1.11500000000e+003,"(92,49)",92,49,-3.76666e+000,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,6.353603,,6.353603,0,,92-49,0.98975000000,16.72301295190,4,3.95900000000,3
