OBJECTID_1,FID_all_ECC_13_18TP_Project,OBJECTID,STN_DATE,LAT,LONG,I,J,DEPTH__m_,TP__ug_L_,FID_EFDC,GRIDNO,IJ_VALUE,I_Value,J_Value,BedElev,I_Parent,J_Parent,Area,Mask,WSElev,ZRough,Sim_Result,Sim_Dir,Map_Value,Dry_Flag,Grid_Label,I_J_index,sig_thick,I_index,J_Index,I_J_index_1,Water_Depth_meters,Number_Layers,sig_Layer_K,,
1,162,162,8/26/2013 0:00,43.22278,-79.44583, , ,1,11.2,405,5.50E+03,"(40,75)",40,75,-2.01E+01,0,0,0.00E+00,0,1.92E-01,1.00E-03,6.279404, ,6.279404,0, ,40-75,2.0334,40,75,40-75,20.334,10,1,,
2,148,148,4/17/2013 0:00,43.22333,-79.44639, , ,1,6.4,405,5.50E+03,"(40,75)",40,75,-2.01E+01,0,0,0.00E+00,0,1.92E-01,1.00E-03,6.279404, ,6.279404,0, ,40-75,2.0334,40,75,40-75,20.334,10,1,,
3,486,486,8/17/2018 0:00,43.22389,-79.44528, , ,1,6.5,405,5.50E+03,"(40,75)",40,75,-2.01E+01,0,0,0.00E+00,0,1.92E-01,1.00E-03,6.279404, ,6.279404,0, ,40-75,2.0334,40,75,40-75,20.334,10,1,,
4,487,487,8/17/2018 0:00,43.22389,-79.44528, , ,1,5.4,405,5.50E+03,"(40,75)",40,75,-2.01E+01,0,0,0.00E+00,0,1.92E-01,1.00E-03,6.279404, ,6.279404,0, ,40-75,2.0334,40,75,40-75,20.334,10,1,,
5,144,144,4/17/2013 0:00,43.22472,-79.27139, , ,1,8.3,970,4.06E+03,"(52,67)",52,67,-1.15E+01,0,0,0.00E+00,0,1.92E-01,1.00E-03,6.335132, ,6.335132,0, ,52-67,1.1713,52,67,52-67,11.713,10,1,,
6,145,145,4/17/2013 0:00,43.22472,-79.27139, , ,1,8.6,970,4.06E+03,"(52,67)",52,67,-1.15E+01,0,0,0.00E+00,0,1.92E-01,1.00E-03,6.335132, ,6.335132,0, ,52-67,1.1713,52,67,52-67,11.713,10,1,,
7,146,146,4/17/2013 0:00,43.22472,-79.27139, , ,9.5,8.5,970,4.06E+03,"(52,67)",52,67,-1.15E+01,0,0,0.00E+00,0,1.92E-01,1.00E-03,6.335132, ,6.335132,0, ,52-67,1.1713,52,67,52-67,11.713,10,9,,
8,484,484,8/17/2018 0:00,43.22528,-79.27194, , ,1,9.5,970,4.06E+03,"(52,67)",52,67,-1.15E+01,0,0,0.00E+00,0,1.92E-01,1.00E-03,6.335132, ,6.335132,0, ,52-67,1.1713,52,67,52-67,11.713,10,1,,
9,485,485,8/17/2018 0:00,43.22528,-79.27194, , ,10,6.9,970,4.06E+03,"(52,67)",52,67,-1.15E+01,0,0,0.00E+00,0,1.92E-01,1.00E-03,6.335132, ,6.335132,0, ,52-67,1.1713,52,67,52-67,11.713,10,9,,
10,172,172,8/27/2013 0:00,43.22556,-79.27167, , ,1,8.9,970,4.06E+03,"(52,67)",52,67,-1.15E+01,0,0,0.00E+00,0,1.92E-01,1.00E-03,6.335132, ,6.335132,0, ,52-67,1.1713,52,67,52-67,11.713,10,1,,
11,173,173,8/27/2013 0:00,43.22556,-79.27167, , ,5,8.7,970,4.06E+03,"(52,67)",52,67,-1.15E+01,0,0,0.00E+00,0,1.92E-01,1.00E-03,6.335132, ,6.335132,0, ,52-67,1.1713,52,67,52-67,11.713,10,5,,
