"﻿FID_n2018L","Var1","currlats","currlons","directval","speedval","FID_EFDC","GRIDNO","IJ_VALUE","I_Value","J_Value","BedElev","I_Parent","J_Parent","Area","Mask","WSElev","ZRough","Sim_Result","Sim_Dir","Map_Value","Dry_Flag","Grid_Label","I_J_index","sig_thick","Area_ha","Num_layers","Wat_depth","Compar_AOI","ComparZone","Lat","Long","JulianDate","Modeled_Velocity","Modeled_Direction"
236,"14-Aug-2018 16:10:06",43.2834,-77.6026833333,292,0.1,8491,124,"(172,17)",172,17,-16.814,0,0,0,0,0.192,0.001,5.989819,NA,5.989819,0,NA,"172-17",1.7006,41.3590951947,10,17.006,"yes","Ontario Zone",43.2830444129,-77.6014008174,1534263006,0.0288641145450374,148.47664571896
235,"14-Aug-2018 12:36:37",43.3077333333,-77.5700333333,295,0.05,8730,528,"(174,36)",174,36,-32.6885,0,0,0,0,0.192,0.001,5.18617,NA,5.18617,0,NA,"174-36",3.288,23.5359226821,10,32.88,"yes","Ontario Zone",43.3069979656,-77.5629239523,1534250197,0.0331004541080546,155.75746582557
234,"14-Aug-2018 12:11:42",43.30995,-77.5667666667,347,0.02,8732,587,"(174,38)",174,38,-34.3064,0,0,0,0,0.192,0.001,5.162463,NA,5.162463,0,NA,"174-38",3.4498,23.6253177681,10,34.498,"yes","Ontario Zone",43.3097642466,-77.5626499485,1534248702,0.0292095331113206,155.344746505897
233,"14-Aug-2018 10:35:59",43.3167333333,-77.5820666667,353,0.03,8625,722,"(173,42)",173,42,-35.7778,0,0,0,0,0.192,0.001,5.289427,NA,5.289427,0,NA,"173-42",3.597,23.775296735,10,35.97,"yes","Ontario Zone",43.3167906159,-77.581028622,1534242959,0.0319613204941227,141.932246587815
214,"12-Aug-2018 23:22:41",43.3216166667,-77.4400333333,135,0.02,9493,1822,"(181,53)",181,53,-67.7523,0,0,0,0,0.192,0.001,4.973843,NA,4.973843,0,NA,"181-53",6.7944,24.8318179297,10,67.944,"yes","",43.3207917339,-77.4353402497,1534116161,0.0163301966939916,14.4198859707125
232,"14-Aug-2018 08:36:10",43.3242833333,-77.6019,355,0.02,8520,879,"(172,46)",172,46,-36.6438,0,0,0,0,0.192,0.001,5.275115,NA,5.275115,0,NA,"172-46",3.6836,21.7669323179,10,36.836,"yes","Ontario Zone",43.323784567,-77.5988355609,1534235770,0.032740439949297,134.857747611765
33,"30-Jul-2018 00:50:54",43.3246666667,-78.9574,46,0.03,2451,4794,"(78,71)",78,71,-35.1143,0,0,0,0,0.192,0.001,7.188813,NA,7.188813,0,NA,"78-71",3.5306,69.9898594286,10,35.306,"yes","",43.3266717754,-78.9576271862,1532911854,0.0983851780531662,347.744633461991
34,"30-Jul-2018 00:44:15",43.32495,-78.9574833333,46,0.03,2451,4794,"(78,71)",78,71,-35.1143,0,0,0,0,0.192,0.001,7.188813,NA,7.188813,0,NA,"78-71",3.5306,69.9898594286,10,35.306,"yes","",43.3266717754,-78.9576271862,1532911455,0.0983851780531662,347.744633461991
32,"29-Jul-2018 22:51:48",43.3261333333,-78.9804666667,52,0.05,2332,4971,"(76,72)",76,72,-32.8646,0,0,0,0,0.192,0.001,7.236278,NA,7.236278,0,NA,"76-72",3.3057,72.8330465218,10,33.057,"yes","",43.3265083072,-78.9856633052,1532904708,0.112340292515802,340.640232141069
215,"13-Aug-2018 00:15:37",43.3263166667,-77.4495,18,0.03,9394,2313,"(180,56)",180,56,-90.5532,0,0,0,0,0.192,0.001,4.860592,NA,4.860592,0,NA,"180-56",9.0745,23.9179726483,10,90.745,"yes","",43.326911004,-77.4523932551,1534119337,0.0250620154643663,16.3900070658977
27,"29-Jul-2018 14:35:22",43.32645,-79.0886833333,61,0.04,1928,5335,"(69,74)",69,74,-44.5547,0,0,0,0,0.192,0.001,5.867584,NA,5.867584,0,NA,"69-74",4.4747,136.17384996,10,44.747,"yes","",43.3253290771,-79.0845612379,1532874922,0.0685684863054643,11.1803684848992
35,"30-Jul-2018 02:53:11",43.32655,-78.9343,215,0.03,2570,4619,"(80,70)",80,70,-30.7174,0,0,0,0,0.192,0.001,6.303909,NA,6.303909,0,NA,"80-70",3.0909,34.1064744127,10,30.909,"yes","",43.3285351987,-78.9306250174,1532919191,0.111082595519815,351.83942129509
28,"29-Jul-2018 14:45:38",43.3282166667,-79.0862666667,66,0.02,1928,5335,"(69,74)",69,74,-44.5547,0,0,0,0,0.192,0.001,5.867584,NA,5.867584,0,NA,"69-74",4.4747,136.17384996,10,44.747,"yes","",43.3253290771,-79.0845612379,1532875538,0.0685684863054643,11.1803684848992
31,"29-Jul-2018 20:49:29",43.3285666667,-79.0073166667,23,0.06,2274,5154,"(75,73)",75,73,-49.4813,0,0,0,0,0.192,0.001,5.974181,NA,5.974181,0,NA,"75-73",4.9673,139.226082447,10,49.673,"yes","",43.3319687665,-79.0029986326,1532897369,0.0977777159021915,342.37583283641
181,"10-Aug-2018 08:25:38",43.32925,-77.4384166667,198,0.06,9498,2650,"(181,58)",181,58,-84.686,0,0,0,0,0.192,0.001,4.938173,NA,4.938173,0,NA,"181-58",8.4878,22.2798908373,10,84.878,"yes","",43.328228348,-77.4346351143,1533889538,0.0289145342610765,23.9234600719779
30,"29-Jul-2018 18:48:39",43.3304166667,-79.0326,21,0.06,2157,5152,"(73,73)",73,73,-44.2643,0,0,0,0,0.192,0.001,6.471956,NA,6.471956,0,NA,"73-73",4.4456,138.366427812,10,44.456,"yes","",43.3262869964,-79.0281359136,1532890119,0.10156873549868,351.113871437795
213,"12-Aug-2018 22:10:34",43.3304166667,-77.44515,246,0.03,9397,2818,"(180,59)",180,59,-102.035,0,0,0,0,0.192,0.001,4.810044,NA,4.810044,0,NA,"180-59",10.2227,21.5613679977,10,102.227,"yes","",43.3311131951,-77.4519944806,1534111834,0.0247676674839913,23.0564716397609
29,"29-Jul-2018 16:51:34",43.3306,-79.0584333333,3,0.05,2042,5337,"(71,74)",71,74,-62.9856,0,0,0,0,0.192,0.001,5.446095,NA,5.446095,0,NA,"71-74",6.3178,137.636833205,10,63.178,"yes","",43.3312428739,-79.0594349024,1532883094,0.0638974946663846,347.88646104952
36,"30-Jul-2018 04:54:44",43.3306166667,-78.91735,252,0.04,2630,4620,"(81,70)",81,70,-34.664,0,0,0,0,0.192,0.001,6.580234,NA,6.580234,0,NA,"81-70",3.4856,31.7042421429,10,34.856,"yes","",43.3313898075,-78.9187042424,1532926484,0.110346236786107,351.694287045947
182,"10-Aug-2018 09:39:06",43.33135,-77.4242833333,136,0.02,9600,3160,"(182,61)",182,61,-78.5667,0,0,0,0,0.192,0.001,4.941617,NA,4.941617,0,NA,"182-61",7.8759,22.3252724564,10,78.759,"yes","",43.3308223714,-77.4165240235,1533893946,0.0118798266124718,322.460722536138
