"date","latitude","longitude","i_value","j_value","vertical_layer","temperature","layer_depth"
"14-Aug-2018 16:10:06",43.2830444129,-77.6014008174,172,17,1,28.6247711181641,1.78604781627655
"14-Aug-2018 16:10:06",43.2830444129,-77.6014008174,172,17,2,28.6271438598633,3.5720956325531
"14-Aug-2018 16:10:06",43.2830444129,-77.6014008174,172,17,3,28.6032695770264,5.35814344882965
"14-Aug-2018 16:10:06",43.2830444129,-77.6014008174,172,17,4,28.5506649017334,7.1441912651062
"14-Aug-2018 16:10:06",43.2830444129,-77.6014008174,172,17,5,28.2746047973633,8.93023908138275
"14-Aug-2018 16:10:06",43.2830444129,-77.6014008174,172,17,6,27.1357517242432,10.7162868976593
"14-Aug-2018 16:10:06",43.2830444129,-77.6014008174,172,17,7,25.9864234924316,12.5023347139359
"14-Aug-2018 16:10:06",43.2830444129,-77.6014008174,172,17,8,24.6627864837646,14.2883825302124
"14-Aug-2018 16:10:06",43.2830444129,-77.6014008174,172,17,9,22.0435848236084,16.074430346489
"14-Aug-2018 16:10:06",43.2830444129,-77.6014008174,172,17,10,17.0850028991699,17.8604781627655
"14-Aug-2018 12:36:37",43.3069979656,-77.5629239523,174,36,1,28.5751132965088,3.37316250801086
"14-Aug-2018 12:36:37",43.3069979656,-77.5629239523,174,36,2,28.573751449585,6.74632501602173
"14-Aug-2018 12:36:37",43.3069979656,-77.5629239523,174,36,3,27.7116756439209,10.1194875240326
"14-Aug-2018 12:36:37",43.3069979656,-77.5629239523,174,36,4,25.0624694824219,13.4926500320435
"14-Aug-2018 12:36:37",43.3069979656,-77.5629239523,174,36,5,22.0495471954346,16.8658125400543
"14-Aug-2018 12:36:37",43.3069979656,-77.5629239523,174,36,6,18.5246448516846,20.2389750480652
"14-Aug-2018 12:36:37",43.3069979656,-77.5629239523,174,36,7,15.147632598877,23.612137556076
"14-Aug-2018 12:36:37",43.3069979656,-77.5629239523,174,36,8,12.2816905975342,26.9853000640869
"14-Aug-2018 12:36:37",43.3069979656,-77.5629239523,174,36,9,9.60476589202881,30.3584625720978
"14-Aug-2018 12:36:37",43.3069979656,-77.5629239523,174,36,10,7.55017614364624,33.7316250801086
"14-Aug-2018 12:11:42",43.3097642466,-77.5626499485,174,38,1,28.5705947875977,3.53435516357422
"14-Aug-2018 12:11:42",43.3097642466,-77.5626499485,174,38,2,28.5687637329102,7.06871032714844
"14-Aug-2018 12:11:42",43.3097642466,-77.5626499485,174,38,3,27.4850463867188,10.6030654907227
"14-Aug-2018 12:11:42",43.3097642466,-77.5626499485,174,38,4,24.5684680938721,14.1374206542969
"14-Aug-2018 12:11:42",43.3097642466,-77.5626499485,174,38,5,21.3224258422852,17.6717758178711
"14-Aug-2018 12:11:42",43.3097642466,-77.5626499485,174,38,6,17.6388397216797,21.2061309814453
"14-Aug-2018 12:11:42",43.3097642466,-77.5626499485,174,38,7,14.0860862731934,24.7404861450195
"14-Aug-2018 12:11:42",43.3097642466,-77.5626499485,174,38,8,11.2994823455811,28.2748413085938
"14-Aug-2018 12:11:42",43.3097642466,-77.5626499485,174,38,9,9.34829235076904,31.809196472168
"14-Aug-2018 12:11:42",43.3097642466,-77.5626499485,174,38,10,6.70050287246704,35.3435516357422
"14-Aug-2018 10:35:59",43.3167906159,-77.581028622,173,42,1,28.4540748596191,3.68208861351013
"14-Aug-2018 10:35:59",43.3167906159,-77.581028622,173,42,2,28.4558868408203,7.36417722702026
"14-Aug-2018 10:35:59",43.3167906159,-77.581028622,173,42,3,27.4942893981934,11.0462658405304
"14-Aug-2018 10:35:59",43.3167906159,-77.581028622,173,42,4,24.3397407531738,14.7283544540405
"14-Aug-2018 10:35:59",43.3167906159,-77.581028622,173,42,5,20.4491386413574,18.4104430675507
"14-Aug-2018 10:35:59",43.3167906159,-77.581028622,173,42,6,16.1238803863525,22.0925316810608
"14-Aug-2018 10:35:59",43.3167906159,-77.581028622,173,42,7,12.0733680725098,25.7746202945709
"14-Aug-2018 10:35:59",43.3167906159,-77.581028622,173,42,8,9.50922298431396,29.4567089080811
"14-Aug-2018 10:35:59",43.3167906159,-77.581028622,173,42,9,8.0490140914917,33.1387975215912
"14-Aug-2018 10:35:59",43.3167906159,-77.581028622,173,42,10,6.57156467437744,36.8208861351013
"12-Aug-2018 23:22:41",43.3207917339,-77.4353402497,181,53,1,28.1603717803955,6.87341022491455
"12-Aug-2018 23:22:41",43.3207917339,-77.4353402497,181,53,2,23.7503395080566,13.7468204498291
"12-Aug-2018 23:22:41",43.3207917339,-77.4353402497,181,53,3,19.1112442016602,20.6202306747437
"12-Aug-2018 23:22:41",43.3207917339,-77.4353402497,181,53,4,12.9137544631958,27.4936408996582
"12-Aug-2018 23:22:41",43.3207917339,-77.4353402497,181,53,5,7.65904188156128,34.3670511245728
"12-Aug-2018 23:22:41",43.3207917339,-77.4353402497,181,53,6,5.06200838088989,41.2404613494873
"12-Aug-2018 23:22:41",43.3207917339,-77.4353402497,181,53,7,4.55594158172607,48.1138715744019
"12-Aug-2018 23:22:41",43.3207917339,-77.4353402497,181,53,8,4.5301661491394,54.9872817993164
"12-Aug-2018 23:22:41",43.3207917339,-77.4353402497,181,53,9,4.44000768661499,61.860692024231
"12-Aug-2018 23:22:41",43.3207917339,-77.4353402497,181,53,10,4.37493562698364,68.7341022491455
"14-Aug-2018 08:36:10",43.323784567,-77.5988355609,172,46,1,28.3155479431152,3.76293063163757
"14-Aug-2018 08:36:10",43.323784567,-77.5988355609,172,46,2,28.3192768096924,7.52586126327515
"14-Aug-2018 08:36:10",43.323784567,-77.5988355609,172,46,3,27.2842559814453,11.2887918949127
"14-Aug-2018 08:36:10",43.323784567,-77.5988355609,172,46,4,23.9961719512939,15.0517225265503
"14-Aug-2018 08:36:10",43.323784567,-77.5988355609,172,46,5,19.4958438873291,18.8146531581879
"14-Aug-2018 08:36:10",43.323784567,-77.5988355609,172,46,6,14.3450326919556,22.5775837898254
"14-Aug-2018 08:36:10",43.323784567,-77.5988355609,172,46,7,9.96029663085938,26.340514421463
"14-Aug-2018 08:36:10",43.323784567,-77.5988355609,172,46,8,8.29111003875732,30.1034450531006
"14-Aug-2018 08:36:10",43.323784567,-77.5988355609,172,46,9,7.43816661834717,33.8663756847382
"14-Aug-2018 08:36:10",43.323784567,-77.5988355609,172,46,10,6.01414203643799,37.6293063163757
"30-Jul-2018 00:50:54",43.3266717754,-78.9576271862,78,71,1,26.5496520996094,3.60491824150085
"30-Jul-2018 00:50:54",43.3266717754,-78.9576271862,78,71,2,24.9913997650146,7.20983648300171
"30-Jul-2018 00:50:54",43.3266717754,-78.9576271862,78,71,3,23.1260318756104,10.8147547245026
"30-Jul-2018 00:50:54",43.3266717754,-78.9576271862,78,71,4,20.6589908599854,14.4196729660034
"30-Jul-2018 00:50:54",43.3266717754,-78.9576271862,78,71,5,17.2983512878418,18.0245912075043
"30-Jul-2018 00:50:54",43.3266717754,-78.9576271862,78,71,6,14.5898666381836,21.6295094490051
"30-Jul-2018 00:50:54",43.3266717754,-78.9576271862,78,71,7,12.9126853942871,25.234427690506
"30-Jul-2018 00:50:54",43.3266717754,-78.9576271862,78,71,8,11.2160997390747,28.8393459320068
"30-Jul-2018 00:50:54",43.3266717754,-78.9576271862,78,71,9,10.2806034088135,32.4442641735077
"30-Jul-2018 00:50:54",43.3266717754,-78.9576271862,78,71,10,9.46827697753906,36.0491824150085
"30-Jul-2018 00:44:15",43.3266717754,-78.9576271862,78,71,1,26.5496520996094,3.60491824150085
