"OBJECTID","FID_Ont1_glider_surf","Var1","latval","lonval","directval","speedval","Date","FID_EFDC","GRIDNO","IJ_VALUE","I_Value","J_Value","BedElev","I_Parent","J_Parent","Area","Mask","WSElev","ZRough","Sim_Result","Sim_Dir","Map_Value","Dry_Flag","Grid_Label","I_J_index","sig_thick","Area_ha","Num_layers","Wat_depth","Compar_AOI","ComparZone","Lat","Long","JulianDate","Modeled_Velocity","Modeled_Direction"
1,1,"23-May-2018 14:54:06",43.3062833333333,-79.07445,106,0.02,"5/23/2018 14:54:06",1926,4964,"(69,72)",69,72,-9.07011,0,0,0,0,0.192,0.001,7.058067,NA,7.058067,0,NA,"69-72",1.02911111111,67.769748596,9,9.262,"yes"," ",43.3067981241,-79.0738249528,1527087246,0.220100738195158,52.8921176252981
2,180,"05-Jun-2018 16:21:28",43.3071833333333,-77.3785166666667,102,0.32,"6/5/2018 16:21:28",9785,1049,"(184,48)",184,48,-38.3521,0,0,0,0,0.192,0.001,5.192986,NA,5.192986,0,NA,"184-48",3.8544,25.1894046405,10,38.544,"no"," ",43.3082262437,-77.3825272095,1528215688,0.129679840797213,9.47584627872283
3,2,"23-May-2018 15:14:50",43.3095,-79.0708666666667,106,0.02,"5/23/2018 15:14:50",1926,4964,"(69,72)",69,72,-9.07011,0,0,0,0,0.192,0.001,7.058067,NA,7.058067,0,NA,"69-72",1.02911111111,67.769748596,9,9.262,"yes"," ",43.3067981241,-79.0738249528,1527088490,0.219823563697029,49.9764057685245
4,3,"23-May-2018 15:27:40",43.3108666666667,-79.0701,51,0.05,"5/23/2018 15:27:40",1927,5148,"(69,73)",69,73,-12.6051,0,0,0,0,0.192,0.001,7.240854,NA,7.240854,0,NA,"69-73",1.2797,135.805123693,10,12.797,"yes"," ",43.3147520137,-79.0783828489,1527089260,0.125186414841945,47.4968657412581
5,179,"05-Jun-2018 15:39:05",43.3122833333333,-77.3873833333333,97,0.18,"6/5/2018 15:39:05",9787,1342,"(184,50)",184,50,-42.3793,0,0,0,0,0.192,0.001,5.127339,NA,5.127339,0,NA,"184-50",4.2571,25.1579062204,10,42.571,"no"," ",43.311333198,-77.3822983232,1528213145,0.127437093594272,9.63517748426945
6,4,"23-May-2018 16:05:26",43.3132,-79.0699833333333,51,0.05,"5/23/2018 16:05:26",1984,5149,"(70,73)",70,73,-16.7782,0,0,0,0,0.192,0.001,7.107363,NA,7.107363,0,NA,"70-73",1.697,136.536615315,10,16.97,"yes"," ",43.3176441505,-79.0658230324,1527091526,0.114400555960569,32.3985589532756
7,5,"23-May-2018 16:34:20",43.3158,-79.0694833333333,47,0.06,"5/23/2018 16:34:20",1984,5149,"(70,73)",70,73,-16.7782,0,0,0,0,0.192,0.001,7.107363,NA,7.107363,0,NA,"70-73",1.697,136.536615315,10,16.97,"yes"," ",43.3176441505,-79.0658230324,1527093260,0.114400555960569,32.3985589532756
8,181,"05-Jun-2018 17:36:06",43.3167333333333,-77.3728166666667,101,0.3,"6/5/2018 17:36:06",9888,1989,"(185,54)",185,54,-49.1519,0,0,0,0,0.192,0.001,5.185709,NA,5.185709,0,NA,"185-54",4.9344,25.8500231861,10,49.344,"no"," ",43.3159570032,-77.3638231566,1528220166,0.113605594474877,8.2729320057672
9,178,"05-Jun-2018 13:40:46",43.3188333333333,-77.4308,104,0.09,"6/5/2018 13:40:46",9492,1659,"(181,52)",181,52,-65.8111,0,0,0,0,0.192,0.001,4.979547,NA,4.979547,0,NA,"181-52",6.6003,24.8475671399,10,66.003,"yes"," ",43.3192584122,-77.4354856094,1528206046,0.0800882688524333,15.9524349178219
10,6,"23-May-2018 17:57:15",43.3212,-79.0680833333333,49,0.06,"5/23/2018 17:57:15",1984,5149,"(70,73)",70,73,-16.7782,0,0,0,0,0.192,0.001,7.107363,NA,7.107363,0,NA,"70-73",1.697,136.536615315,10,16.97,"yes"," ",43.3176441505,-79.0658230324,1527098235,0.114400555960569,32.3985589532756
11,7,"23-May-2018 17:57:15",43.3212,-79.0680833333333,49,0.06,"5/23/2018 17:57:15",1984,5149,"(70,73)",70,73,-16.7782,0,0,0,0,0.192,0.001,7.107363,NA,7.107363,0,NA,"70-73",1.697,136.536615315,10,16.97,"yes"," ",43.3176441505,-79.0658230324,1527098235,0.114400555960569,32.3985589532756
