"date","latitude","longitude","i_value","j_value","vertical_layer","temperature","layer_depth"
"23-May-2018 14:54:06",43.3067981241,-79.0738249528,69,72,1,13.088960647583,0.495403975248337
"23-May-2018 14:54:06",43.3067981241,-79.0738249528,69,72,2,13.1069211959839,1.48621192574501
"23-May-2018 14:54:06",43.3067981241,-79.0738249528,69,72,3,13.1280641555786,2.47701987624168
"23-May-2018 14:54:06",43.3067981241,-79.0738249528,69,72,4,13.1510753631592,3.46782782673836
"23-May-2018 14:54:06",43.3067981241,-79.0738249528,69,72,5,13.1768131256104,4.45863577723503
"23-May-2018 14:54:06",43.3067981241,-79.0738249528,69,72,6,13.2067756652832,5.4494437277317
"23-May-2018 14:54:06",43.3067981241,-79.0738249528,69,72,7,13.2410497665405,6.44025167822838
"23-May-2018 14:54:06",43.3067981241,-79.0738249528,69,72,8,13.273645401001,7.43105962872505
"23-May-2018 14:54:06",43.3067981241,-79.0738249528,69,72,9,13.282527923584,8.42186757922173
"05-Jun-2018 16:21:28",43.3082262437,-77.3825272095,184,48,1,13.4120445251465,1.96157741546631
"05-Jun-2018 16:21:28",43.3082262437,-77.3825272095,184,48,2,13.0234346389771,5.88473224639893
"05-Jun-2018 16:21:28",43.3082262437,-77.3825272095,184,48,3,12.2211055755615,9.80788707733154
"05-Jun-2018 16:21:28",43.3082262437,-77.3825272095,184,48,4,11.1712675094604,13.7310419082642
"05-Jun-2018 16:21:28",43.3082262437,-77.3825272095,184,48,5,10.7457408905029,17.6541967391968
"05-Jun-2018 16:21:28",43.3082262437,-77.3825272095,184,48,6,10.7189445495605,21.5773515701294
"05-Jun-2018 16:21:28",43.3082262437,-77.3825272095,184,48,7,10.4962177276611,25.500506401062
"05-Jun-2018 16:21:28",43.3082262437,-77.3825272095,184,48,8,10.4083843231201,29.4236612319946
"05-Jun-2018 16:21:28",43.3082262437,-77.3825272095,184,48,9,10.238712310791,33.3468160629272
"05-Jun-2018 16:21:28",43.3082262437,-77.3825272095,184,48,10,10.1106567382812,37.2699708938599
"23-May-2018 15:14:50",43.3067981241,-79.0738249528,69,72,1,13.9019660949707,0.495064109563828
"23-May-2018 15:14:50",43.3067981241,-79.0738249528,69,72,2,13.9209890365601,1.48519232869148
"23-May-2018 15:14:50",43.3067981241,-79.0738249528,69,72,3,13.9413633346558,2.47532054781914
"23-May-2018 15:14:50",43.3067981241,-79.0738249528,69,72,4,13.9648151397705,3.46544876694679
