FID_n2018L,Var1,currlats,currlons,directval,speedval,FID_EFDC,GRIDNO,IJ_VALUE,I_Value,J_Value,BedElev,I_Parent,J_Parent,Area,Mask,WSElev,ZRough,Sim_Result,Sim_Dir,Map_Value,Dry_Flag,Grid_Label,I_J_index,sig_thick,Area_ha,Num_layers,Wat_depth,Compar_AOI,ComparZone,Lat,Long
236,14-Aug-2018 16:10:06,43.28340000000,-77.60268333330,292,0.10000000000,8491,1.24000000000e+002,"(172,17)",172,17,-1.68140e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.989819,,5.989819,0,,172-17,1.70060000000,41.35909519470,10,17.00600000000,yes,Ontario Zone,43.28304441290,-77.60140081740
235,14-Aug-2018 12:36:37,43.30773333330,-77.57003333330,295,0.05000000000,8730,5.28000000000e+002,"(174,36)",174,36,-3.26885e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.18617,,5.186170,0,,174-36,3.28800000000,23.53592268210,10,32.88000000000,yes,Ontario Zone,43.30699796560,-77.56292395230
234,14-Aug-2018 12:11:42,43.30995000000,-77.56676666670,347,0.02000000000,8732,5.87000000000e+002,"(174,38)",174,38,-3.43064e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.162463,,5.162463,0,,174-38,3.44980000000,23.62531776810,10,34.49800000000,yes,Ontario Zone,43.30976424660,-77.56264994850
233,14-Aug-2018 10:35:59,43.31673333330,-77.58206666670,353,0.03000000000,8625,7.22000000000e+002,"(173,42)",173,42,-3.57778e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.289427,,5.289427,0,,173-42,3.59700000000,23.77529673500,10,35.97000000000,yes,Ontario Zone,43.31679061590,-77.58102862200
214,12-Aug-2018 23:22:41,43.32161666670,-77.44003333330,135,0.02000000000,9493,1.82200000000e+003,"(181,53)",181,53,-6.77523e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.973843,,4.973843,0,,181-53,6.79440000000,24.83181792970,10,67.94400000000,yes,,43.32079173390,-77.43534024970
232,14-Aug-2018 08:36:10,43.32428333330,-77.60190000000,355,0.02000000000,8520,8.79000000000e+002,"(172,46)",172,46,-3.66438e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.275115,,5.275115,0,,172-46,3.68360000000,21.76693231790,10,36.83600000000,yes,Ontario Zone,43.32378456700,-77.59883556090
33,30-Jul-2018 00:50:54,43.32466666670,-78.95740000000,46,0.03000000000,2451,4.79400000000e+003,"(78,71)",78,71,-3.51143e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,7.188813,,7.188813,0,,78-71,3.53060000000,69.98985942860,10,35.30600000000,yes,,43.32667177540,-78.95762718620
34,30-Jul-2018 00:44:15,43.32495000000,-78.95748333330,46,0.03000000000,2451,4.79400000000e+003,"(78,71)",78,71,-3.51143e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,7.188813,,7.188813,0,,78-71,3.53060000000,69.98985942860,10,35.30600000000,yes,,43.32667177540,-78.95762718620
32,29-Jul-2018 22:51:48,43.32613333330,-78.98046666670,52,0.05000000000,2332,4.97100000000e+003,"(76,72)",76,72,-3.28646e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,7.236278,,7.236278,0,,76-72,3.30570000000,72.83304652180,10,33.05700000000,yes,,43.32650830720,-78.98566330520
215,13-Aug-2018 00:15:37,43.32631666670,-77.44950000000,18,0.03000000000,9394,2.31300000000e+003,"(180,56)",180,56,-9.05532e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.860592,,4.860592,0,,180-56,9.07450000000,23.91797264830,10,90.74500000000,yes,,43.32691100400,-77.45239325510
27,29-Jul-2018 14:35:22,43.32645000000,-79.08868333330,61,0.04000000000,1928,5.33500000000e+003,"(69,74)",69,74,-4.45547e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.867584,,5.867584,0,,69-74,4.47470000000,136.17384996000,10,44.74700000000,yes,,43.32532907710,-79.08456123790
35,30-Jul-2018 02:53:11,43.32655000000,-78.93430000000,215,0.03000000000,2570,4.61900000000e+003,"(80,70)",80,70,-3.07174e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,6.303909,,6.303909,0,,80-70,3.09090000000,34.10647441270,10,30.90900000000,yes,,43.32853519870,-78.93062501740
28,29-Jul-2018 14:45:38,43.32821666670,-79.08626666670,66,0.02000000000,1928,5.33500000000e+003,"(69,74)",69,74,-4.45547e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.867584,,5.867584,0,,69-74,4.47470000000,136.17384996000,10,44.74700000000,yes,,43.32532907710,-79.08456123790
31,29-Jul-2018 20:49:29,43.32856666670,-79.00731666670,23,0.06000000000,2274,5.15400000000e+003,"(75,73)",75,73,-4.94813e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.974181,,5.974181,0,,75-73,4.96730000000,139.22608244700,10,49.67300000000,yes,,43.33196876650,-79.00299863260
181,10-Aug-2018 08:25:38,43.32925000000,-77.43841666670,198,0.06000000000,9498,2.65000000000e+003,"(181,58)",181,58,-8.46860e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.938173,,4.938173,0,,181-58,8.48780000000,22.27989083730,10,84.87800000000,yes,,43.32822834800,-77.43463511430
30,29-Jul-2018 18:48:39,43.33041666670,-79.03260000000,21,0.06000000000,2157,5.15200000000e+003,"(73,73)",73,73,-4.42643e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,6.471956,,6.471956,0,,73-73,4.44560000000,138.36642781200,10,44.45600000000,yes,,43.32628699640,-79.02813591360
213,12-Aug-2018 22:10:34,43.33041666670,-77.44515000000,246,0.03000000000,9397,2.81800000000e+003,"(180,59)",180,59,-1.02035e+002,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.810044,,4.810044,0,,180-59,10.22270000000,21.56136799770,10,102.22700000000,yes,,43.33111319510,-77.45199448060
29,29-Jul-2018 16:51:34,43.33060000000,-79.05843333330,3,0.05000000000,2042,5.33700000000e+003,"(71,74)",71,74,-6.29856e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.446095,,5.446095,0,,71-74,6.31780000000,137.63683320500,10,63.17800000000,yes,,43.33124287390,-79.05943490240
36,30-Jul-2018 04:54:44,43.33061666670,-78.91735000000,252,0.04000000000,2630,4.62000000000e+003,"(81,70)",81,70,-3.46640e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,6.580234,,6.580234,0,,81-70,3.48560000000,31.70424214290,10,34.85600000000,yes,,43.33138980750,-78.91870424240
182,10-Aug-2018 09:39:06,43.33135000000,-77.42428333330,136,0.02000000000,9600,3.16000000000e+003,"(182,61)",182,61,-7.85667e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.941617,,4.941617,0,,182-61,7.87590000000,22.32527245640,10,78.75900000000,yes,,43.33082237140,-77.41652402350
231,14-Aug-2018 06:36:38,43.33181666670,-77.62091666670,349,0.05000000000,8415,1.32900000000e+003,"(171,50)",171,50,-3.64044e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.29003,,5.290030,0,,171-50,3.65960000000,23.24106563370,10,36.59600000000,yes,,43.33092875100,-77.61536777940
5,27-Jul-2018 21:15:45,43.33351666670,-78.90010000000,165,0.05000000000,2750,4.44600000000e+003,"(83,69)",83,69,-3.49680e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.715465,,5.715465,0,,83-69,3.51600000000,31.37343018270,10,35.16000000000,yes,,43.33415573860,-78.89391861660
3,27-Jul-2018 20:39:39,43.33395000000,-78.89978333330,190,0.06000000000,2750,4.44600000000e+003,"(83,69)",83,69,-3.49680e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.715465,,5.715465,0,,83-69,3.51600000000,31.37343018270,10,35.16000000000,yes,,43.33415573860,-78.89391861660
4,27-Jul-2018 20:39:39,43.33395000000,-78.89978333330,190,0.06000000000,2750,4.44600000000e+003,"(83,69)",83,69,-3.49680e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.715465,,5.715465,0,,83-69,3.51600000000,31.37343018270,10,35.16000000000,yes,,43.33415573860,-78.89391861660
6,27-Jul-2018 21:53:59,43.33408333330,-78.89933333330,138,0.10000000000,2750,4.44600000000e+003,"(83,69)",83,69,-3.49680e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,5.715465,,5.715465,0,,83-69,3.51600000000,31.37343018270,10,35.16000000000,yes,,43.33415573860,-78.89391861660
183,10-Aug-2018 11:37:28,43.33421666670,-77.39956666670,48,0.01000000000,9701,3.67500000000e+003,"(183,64)",183,64,-8.05111e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.860156,,4.860156,0,,183-64,8.07030000000,22.37065407560,10,80.70300000000,yes,,43.33344993960,-77.39846957320
2,27-Jul-2018 20:23:49,43.33443333330,-78.89953333330,76,0.03000000000,2751,4.62200000000e+003,"(83,70)",83,70,-4.27500e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,6.795772,,6.795772,0,,83-70,4.29420000000,31.37417002670,10,42.94200000000,yes,,43.33678341440,-78.89555374830
216,13-Aug-2018 02:08:48,43.33478333330,-77.46948333330,349,0.04000000000,9294,3.15700000000e+003,"(179,61)",179,61,-1.10116e+002,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,4.801904,,4.801904,0,,179-61,11.03080000000,21.51850628320,10,110.30800000000,yes,,43.33530822410,-77.46899451700
7,27-Jul-2018 22:24:42,43.33495000000,-78.89941666670,80,0.06000000000,2751,4.62200000000e+003,"(83,70)",83,70,-4.27500e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,6.795772,,6.795772,0,,83-70,4.29420000000,31.37417002670,10,42.94200000000,yes,,43.33678341440,-78.89555374830
1,27-Jul-2018 19:42:48,43.33521666670,-78.89970000000,334,0.02000000000,2751,4.62200000000e+003,"(83,70)",83,70,-4.27500e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,6.795772,,6.795772,0,,83-70,4.29420000000,31.37417002670,10,42.94200000000,yes,,43.33678341440,-78.89555374830
0,27-Jul-2018 19:29:06,43.33555000000,-78.90131666670,94,0.04000000000,2751,4.62200000000e+003,"(83,70)",83,70,-4.27500e+001,0,0,0.00000000000e+000,0,1.92000000000e-001,1.00000000000e-003,6.795772,,6.795772,0,,83-70,4.29420000000,31.37417002670,10,42.94200000000,yes,,43.33678341440,-78.89555374830
