"t","TP_conc","TP_conc_ug_L","mass_settled_kg"
0,6e-06,6,9038.46575342466
1,5.99947497143083e-06,5.99947497143083,9037.67484463432
2,5.99895064980928e-06,5.99895064980928,9036.88500079763
3,5.99842703418345e-06,5.99842703418345,9036.09622048062
4,5.99790412360271e-06,5.99790412360271,9035.30850225128
5,5.99738191711774e-06,5.99738191711774,9034.5218446795
6,5.99686041378046e-06,5.99686041378046,9033.73624633712
7,5.9963396126441e-06,5.9963396126441,9032.9517057979
8,5.99581951276315e-06,5.99581951276315,9032.16822163751
9,5.99530011319337e-06,5.99530011319337,9031.38579243354
10,5.99478141299179e-06,5.99478141299179,9030.6044167655
11,5.99426341121673e-06,5.99426341121673,9029.82409321481
12,5.99374610692775e-06,5.99374610692775,9029.04482036481
13,5.9932294991857e-06,5.9932294991857,9028.26659680072
14,5.99271358705267e-06,5.99271358705267,9027.4894211097
15,5.99219836959204e-06,5.99219836959204,9026.71329188078
16,5.99168384586843e-06,5.99168384586843,9025.93820770492
17,5.99117001494773e-06,5.99117001494773,9025.16416717495
18,5.99065687589708e-06,5.99065687589708,9024.39116888562
19,5.9901444277849e-06,5.9901444277849,9023.61921143356
20,5.98963266968083e-06,5.98963266968083,9022.84829341728
21,5.98912160065577e-06,5.98912160065577,9022.07841343718
22,5.9886112197819e-06,5.9886112197819,9021.30957009557
23,5.98810152613262e-06,5.98810152613262,9020.54176199661
24,5.98759251878259e-06,5.98759251878259,9019.77498774635
25,5.9870841968077e-06,5.9870841968077,9019.00924595273
26,5.98657655928511e-06,5.98657655928511,9018.24453522555
27,5.98606960529321e-06,5.98606960529321,9017.48085417649
28,5.98556333391162e-06,5.98556333391162,9016.71820141908
29,5.98505774422121e-06,5.98505774422121,9015.95657556874
30,5.9845528353041e-06,5.9845528353041,9015.19597524275
31,5.98404860624362e-06,5.98404860624362,9014.43639906025
32,5.98354505612435e-06,5.98354505612435,9013.67784564223
33,5.9830421840321e-06,5.98304218403211,9012.92031361154
34,5.98253998905392e-06,5.98253998905393,9012.1638015929
35,5.98203847027808e-06,5.98203847027808,9011.40830821287
36,5.98153762679406e-06,5.98153762679406,9010.65383209985
37,5.9810374576926e-06,5.9810374576926,9009.9003718841
38,5.98053796206564e-06,5.98053796206564,9009.14792619773
39,5.98003913900636e-06,5.98003913900636,9008.39649367467
40,5.97954098760914e-06,5.97954098760914,9007.64607295071
41,5.9790435069696e-06,5.9790435069696,9006.89666266346
42,5.97854669618456e-06,5.97854669618456,9006.14826145239
43,5.97805055435208e-06,5.97805055435208,9005.40086795877
44,5.97755508057141e-06,5.97755508057141,9004.65448082571
45,5.97706027394303e-06,5.97706027394303,9003.90909869818
46,5.97656613356861e-06,5.97656613356861,9003.16472022291
47,5.97607265855105e-06,5.97607265855105,9002.42134404852
48,5.97557984799445e-06,5.97557984799445,9001.6789688254
49,5.97508770100413e-06,5.97508770100413,9000.93759320578
50,5.97459621668658e-06,5.97459621668658,9000.1972158437
51,5.97410539414954e-06,5.97410539414954,8999.45783539502
52,5.9736152325019e-06,5.9736152325019,8998.71945051739
53,5.9731257308538e-06,5.9731257308538,8997.98205987029
54,5.97263688831654e-06,5.97263688831655,8997.24566211498
55,5.97214870400264e-06,5.97214870400264,8996.51025591456
56,5.97166117702581e-06,5.97166117702581,8995.77583993389
57,5.97117430650094e-06,5.97117430650094,8995.04241283966
58,5.97068809154412e-06,5.97068809154412,8994.30997330032
59,5.97020253127264e-06,5.97020253127264,8993.57851998615
60,5.96971762480496e-06,5.96971762480496,8992.8480515692
61,5.96923337126075e-06,5.96923337126075,8992.11856672332
62,5.96874976976085e-06,5.96874976976085,8991.39006412412
