I 	 	 J 	 lat 	 lon
175 	 	 2 	 43.23781492 	 -77.55339785
176 	 	 2 	 43.23560679 	 -77.53587709
174 	 	 3 	 43.24269022 	 -77.57056693
175 	 	 3 	 43.24053229 	 -77.55301174
176 	 	 3 	 43.23837261 	 -77.53545791
174 	 	 4 	 43.24536005 	 -77.57021499
175 	 	 4 	 43.2432506 	 -77.55262676
176 	 	 4 	 43.24113754 	 -77.53503873
173 	 	 5 	 43.25009003 	 -77.58748679
174 	 	 5 	 43.24803079 	 -77.56986297
175 	 	 5 	 43.24596796 	 -77.55224056
176 	 	 5 	 43.24390336 	 -77.53461946
172 	 	 6 	 43.25445032 	 -77.60473748
173 	 	 6 	 43.25271319 	 -77.58716771
174 	 	 6 	 43.25070062 	 -77.56951096
175 	 	 6 	 43.24868626 	 -77.5518555
176 	 	 6 	 43.24666828 	 -77.53420019
172 	 	 7 	 43.25704972 	 -77.60443521
173 	 	 7 	 43.25533547 	 -77.58684987
174 	 	 7 	 43.25337135 	 -77.56915886
175 	 	 7 	 43.25140452 	 -77.55146916
176 	 	 7 	 43.24943413 	 -77.53378206
177 	 	 7 	 43.2478277 	 -77.51589675
172 	 	 8 	 43.25964997 	 -77.60413163
173 	 	 8 	 43.25795862 	 -77.58653072
174 	 	 8 	 43.25604207 	 -77.56880672
175 	 	 8 	 43.25412191 	 -77.55108407
176 	 	 8 	 43.25219994 	 -77.53336264
177 	 	 8 	 43.2506069 	 -77.51547578
171 	 	 9 	 43.26371458 	 -77.62130278
172 	 	 9 	 43.26224932 	 -77.60382807
173 	 	 9 	 43.26058176 	 -77.58621153
174 	 	 9 	 43.25871189 	 -77.5684546
175 	 	 9 	 43.25684016 	 -77.55069765
176 	 	 9 	 43.25496484 	 -77.53294324
177 	 	 9 	 43.25338609 	 -77.51505476
178 	 	 9 	 43.25210209 	 -77.49703329
171 	 	 10 	 43.26631482 	 -77.6209974
172 	 	 10 	 43.26484866 	 -77.60352447
173 	 	 10 	 43.26320404 	 -77.58589359
174 	 	 10 	 43.26138261 	 -77.56810239
175 	 	 10 	 43.25955755 	 -77.55031247
176 	 	 10 	 43.25773064 	 -77.53252374
177 	 	 10 	 43.25616439 	 -77.51463375
178 	 	 10 	 43.25486052 	 -77.49664217
170 	 	 11 	 43.2703803 	 -77.63816164
171 	 	 11 	 43.26891503 	 -77.62069076
172 	 	 11 	 43.26744801 	 -77.60322084
173 	 	 11 	 43.26582718 	 -77.58557434
174 	 	 11 	 43.26405243 	 -77.56775019
175 	 	 11 	 43.26227579 	 -77.54992597
176 	 	 11 	 43.26049554 	 -77.53210424
177 	 	 11 	 43.25894357 	 -77.51421263
178 	 	 11 	 43.25761891 	 -77.49624978
179 	 	 11 	 43.25629148 	 -77.47828912
169 	 	 12 	 43.27444398 	 -77.65532211
170 	 	 12 	 43.2729814 	 -77.63785319
171 	 	 12 	 43.27151616 	 -77.62038527
172 	 	 12 	 43.27004739 	 -77.6029184
173 	 	 12 	 43.26845032 	 -77.58525505
174 	 	 12 	 43.26672314 	 -77.5673979
175 	 	 12 	 43.26499317 	 -77.5495407
176 	 	 12 	 43.26326133 	 -77.53168465
177 	 	 12 	 43.26172275 	 -77.51379148
178 	 	 12 	 43.26037733 	 -77.49585858
179 	 	 12 	 43.25902915 	 -77.47792788
180 	 	 12 	 43.25767815 	 -77.45999692
169 	 	 13 	 43.27704684 	 -77.65501056
170 	 	 13 	 43.27558249 	 -77.6375447
171 	 	 13 	 43.27411636 	 -77.62007856
172 	 	 13 	 43.27264673 	 -77.60261471
173 	 	 13 	 43.27107255 	 -77.58493577
174 	 	 13 	 43.26939381 	 -77.56704434
175 	 	 13 	 43.2677114 	 -77.54915412
176 	 	 13 	 43.26602622 	 -77.53126506
177 	 	 13 	 43.26450103 	 -77.51337033
178 	 	 13 	 43.26313485 	 -77.49546738
179 	 	 13 	 43.26176678 	 -77.47756537
180 	 	 13 	 43.26039508 	 -77.45966562
169 	 	 14 	 43.2796488 	 -77.65469904
170 	 	 14 	 43.27818355 	 -77.63723495
171 	 	 14 	 43.2767166 	 -77.61977305
172 	 	 14 	 43.27524606 	 -77.60231098
173 	 	 14 	 43.27369572 	 -77.58461765
174 	 	 14 	 43.27206362 	 -77.56669202
175 	 	 14 	 43.27042967 	 -77.54876872
176 	 	 14 	 43.26879205 	 -77.5308466
177 	 	 14 	 43.26728021 	 -77.51294908
178 	 	 14 	 43.26589327 	 -77.49507609
179 	 	 14 	 43.26450445 	 -77.47720404
180 	 	 14 	 43.26311201 	 -77.45933427
181 	 	 14 	 43.26174782 	 -77.44139224
169 	 	 15 	 43.28225075 	 -77.65438748
170 	 	 15 	 43.28078464 	 -77.6369264
171 	 	 15 	 43.27931679 	 -77.61946628
172 	 	 15 	 43.2778454 	 -77.60200722
173 	 	 15 	 43.27631795 	 -77.5842983
174 	 	 15 	 43.27473432 	 -77.56633962
175 	 	 15 	 43.27314704 	 -77.54838333
176 	 	 15 	 43.27155783 	 -77.53042687
177 	 	 15 	 43.27005938 	 -77.51252778
178 	 	 15 	 43.26865168 	 -77.49468475
179 	 	 15 	 43.26724211 	 -77.47684268
180 	 	 15 	 43.26582889 	 -77.45900166
181 	 	 15 	 43.26443551 	 -77.44107779
168 	 	 16 	 43.2863574 	 -77.67128255
169 	 	 16 	 43.28485274 	 -77.65407711
170 	 	 16 	 43.28338573 	 -77.63661782
171 	 	 16 	 43.28191702 	 -77.6191607
172 	 	 16 	 43.28044563 	 -77.60170337
173 	 	 16 	 43.27894107 	 -77.58397888
174 	 	 16 	 43.27740412 	 -77.56598723
175 	 	 16 	 43.27586527 	 -77.54799661
176 	 	 16 	 43.27432271 	 -77.53000714
177 	 	 16 	 43.27283761 	 -77.51210526
178 	 	 16 	 43.27141009 	 -77.49429338
179 	 	 16 	 43.26997977 	 -77.47648127
180 	 	 16 	 43.26854671 	 -77.45867019
181 	 	 16 	 43.26712323 	 -77.44076453
168 	 	 17 	 43.28896186 	 -77.67096288
169 	 	 17 	 43.28745469 	 -77.65376548
170 	 	 17 	 43.28598772 	 -77.63630915
171 	 	 17 	 43.28451721 	 -77.61885387
172 	 	 17 	 43.28304496 	 -77.60139954
173 	 	 17 	 43.28156423 	 -77.58366064
174 	 	 17 	 43.28007482 	 -77.56563475
175 	 	 17 	 43.27858263 	 -77.54761114
176 	 	 17 	 43.27708848 	 -77.52958731
177 	 	 17 	 43.27561677 	 -77.51168387
178 	 	 17 	 43.27416845 	 -77.49390072
179 	 	 17 	 43.27271739 	 -77.4761186
180 	 	 17 	 43.27126363 	 -77.45833873
181 	 	 17 	 43.26981095 	 -77.44045124
168 	 	 18 	 43.29094914 	 -77.67075207
169 	 	 18 	 43.28944483 	 -77.65356136
170 	 	 18 	 43.28797795 	 -77.63610938
171 	 	 18 	 43.2865084 	 -77.61865718
172 	 	 18 	 43.28503622 	 -77.60120599
173 	 	 18 	 43.28356758 	 -77.58345105
174 	 	 18 	 43.28210139 	 -77.56538999
175 	 	 18 	 43.2806333 	 -77.54733115
176 	 	 18 	 43.27916149 	 -77.52927342
177 	 	 18 	 43.27769589 	 -77.51136533
178 	 	 18 	 43.27623661 	 -77.49360809
179 	 	 18 	 43.2747746 	 -77.47585188
180 	 	 18 	 43.27331075 	 -77.45809665
181 	 	 18 	 43.27184143 	 -77.44022556
182 	 	 18 	 43.27036834 	 -77.42223728
183 	 	 18 	 43.26889335 	 -77.40425001
168 	 	 19 	 43.29231834 	 -77.67065018
169 	 	 19 	 43.2908223 	 -77.65346603
170 	 	 19 	 43.28935731 	 -77.63601726
171 	 	 19 	 43.28789054 	 -77.61856821
172 	 	 19 	 43.28642027 	 -77.60112145
173 	 	 19 	 43.28495203 	 -77.58335006
174 	 	 19 	 43.28348473 	 -77.56525292
175 	 	 19 	 43.28201463 	 -77.54715805
176 	 	 19 	 43.28054169 	 -77.52906424
177 	 	 19 	 43.27907586 	 -77.5111496
178 	 	 19 	 43.27761538 	 -77.49341299
179 	 	 19 	 43.27615311 	 -77.47567858
180 	 	 19 	 43.27468721 	 -77.45794525
181 	 	 19 	 43.27321554 	 -77.44008622
182 	 	 19 	 43.27173722 	 -77.42210401
183 	 	 19 	 43.27025515 	 -77.40412168
167 	 	 20 	 43.29520012 	 -77.68746037
168 	 	 20 	 43.29368757 	 -77.67054952
169 	 	 20 	 43.29220068 	 -77.65337064
170 	 	 20 	 43.29073756 	 -77.63592508
171 	 	 20 	 43.28927181 	 -77.61848051
172 	 	 20 	 43.28780432 	 -77.6010369
173 	 	 20 	 43.28633647 	 -77.58324907
174 	 	 20 	 43.28486811 	 -77.56511707
175 	 	 20 	 43.28339686 	 -77.54698489
176 	 	 20 	 43.2819228 	 -77.528855
177 	 	 20 	 43.28045489 	 -77.51093268
178 	 	 20 	 43.27899418 	 -77.4932191
179 	 	 20 	 43.27753071 	 -77.47550532
180 	 	 20 	 43.27606367 	 -77.45779384
181 	 	 20 	 43.27458879 	 -77.43994816
182 	 	 20 	 43.27310515 	 -77.42196955
183 	 	 20 	 43.27161781 	 -77.40399207
167 	 	 21 	 43.2965547 	 -77.68735101
168 	 	 21 	 43.29505676 	 -77.67044762
169 	 	 21 	 43.29357815 	 -77.6532753
170 	 	 21 	 43.29211785 	 -77.63583412
171 	 	 21 	 43.29065398 	 -77.61839276
172 	 	 21 	 43.28918837 	 -77.60095234
173 	 	 21 	 43.28772002 	 -77.58314812
174 	 	 21 	 43.28625145 	 -77.56497998
175 	 	 21 	 43.28477912 	 -77.54681295
176 	 	 21 	 43.2833039 	 -77.52864574
177 	 	 21 	 43.28183486 	 -77.51071694
178 	 	 21 	 43.28037295 	 -77.49302398
179 	 	 21 	 43.27890836 	 -77.47533328
180 	 	 21 	 43.27744013 	 -77.45764243
181 	 	 21 	 43.27596203 	 -77.43981008
182 	 	 21 	 43.27447312 	 -77.42183632
183 	 	 21 	 43.27298052 	 -77.40386367
184 	 	 21 	 43.27148597 	 -77.38589081
167 	 	 22 	 43.29790926 	 -77.68724042
168 	 	 22 	 43.29642689 	 -77.6703469
169 	 	 22 	 43.29495562 	 -77.65317996
170 	 	 22 	 43.2934972 	 -77.63574198
171 	 	 22 	 43.29203611 	 -77.61830376
172 	 	 22 	 43.29057152 	 -77.60086784
173 	 	 22 	 43.28910446 	 -77.58304712
174 	 	 22 	 43.28763389 	 -77.56484294
175 	 	 22 	 43.28616045 	 -77.54663982
176 	 	 22 	 43.2846841 	 -77.52843653
177 	 	 22 	 43.28321479 	 -77.51049994
178 	 	 22 	 43.28175175 	 -77.49283007
179 	 	 22 	 43.28028597 	 -77.47516
180 	 	 22 	 43.27881748 	 -77.45749095
181 	 	 22 	 43.27733528 	 -77.439672
182 	 	 22 	 43.2758411 	 -77.42170308
183 	 	 22 	 43.27434318 	 -77.40373404
184 	 	 22 	 43.2728434 	 -77.38576726
167 	 	 23 	 43.29926385 	 -77.68713105
168 	 	 23 	 43.29779609 	 -77.67024498
169 	 	 23 	 43.296334 	 -77.65308455
170 	 	 23 	 43.29487745 	 -77.63564978
171 	 	 23 	 43.29341738 	 -77.61821605
172 	 	 23 	 43.29195557 	 -77.60078327
173 	 	 23 	 43.2904889 	 -77.58294611
174 	 	 23 	 43.28901723 	 -77.56470583
175 	 	 23 	 43.28754268 	 -77.54646663
176 	 	 23 	 43.28606524 	 -77.52822849
177 	 	 23 	 43.28459476 	 -77.51028417
178 	 	 23 	 43.28313052 	 -77.49263493
179 	 	 23 	 43.28166358 	 -77.47498671
180 	 	 23 	 43.28019394 	 -77.45733952
181 	 	 23 	 43.27870942 	 -77.43953386
182 	 	 23 	 43.27720903 	 -77.4215686
183 	 	 23 	 43.27570588 	 -77.40360563
184 	 	 23 	 43.27419989 	 -77.38564251
167 	 	 24 	 43.3006184 	 -77.68702044
168 	 	 24 	 43.29916528 	 -77.67014307
169 	 	 24 	 43.29771147 	 -77.6529892
170 	 	 24 	 43.29625681 	 -77.63555762
171 	 	 24 	 43.29479955 	 -77.61812828
172 	 	 24 	 43.29333962 	 -77.6006987
173 	 	 24 	 43.29187338 	 -77.58284632
174 	 	 24 	 43.29040057 	 -77.56456872
175 	 	 24 	 43.2889249 	 -77.54629343
176 	 	 24 	 43.28744634 	 -77.5280192
177 	 	 24 	 43.28597383 	 -77.51006844
178 	 	 24 	 43.28450932 	 -77.492441
179 	 	 24 	 43.28304118 	 -77.47481341
180 	 	 24 	 43.28157039 	 -77.45718807
181 	 	 24 	 43.28008267 	 -77.43939576
182 	 	 24 	 43.278577 	 -77.42143534
183 	 	 24 	 43.27706854 	 -77.40347599
184 	 	 24 	 43.27555728 	 -77.38551771
167 	 	 25 	 43.30197298 	 -77.68691105
168 	 	 25 	 43.30053451 	 -77.67004237
169 	 	 25 	 43.29908984 	 -77.65289378
170 	 	 25 	 43.29763709 	 -77.63546664
171 	 	 25 	 43.29618168 	 -77.61803927
172 	 	 25 	 43.29472366 	 -77.60061412
173 	 	 25 	 43.29325782 	 -77.58274529
174 	 	 25 	 43.29178391 	 -77.5644316
175 	 	 25 	 43.29030713 	 -77.54612022
176 	 	 25 	 43.28882654 	 -77.52780995
177 	 	 25 	 43.28735376 	 -77.50985141
178 	 	 25 	 43.28588809 	 -77.49224583
179 	 	 25 	 43.28441883 	 -77.47464133
180 	 	 25 	 43.28294778 	 -77.4570378
181 	 	 25 	 43.28145591 	 -77.43925766
182 	 	 25 	 43.27994497 	 -77.42130207
183 	 	 25 	 43.2784312 	 -77.40334633
184 	 	 25 	 43.27691467 	 -77.3853929
185 	 	 25 	 43.2754198 	 -77.36727521
166 	 	 26 	 43.30474804 	 -77.70366263
167 	 	 26 	 43.30332757 	 -77.68680166
168 	 	 26 	 43.3019046 	 -77.66994039
169 	 	 26 	 43.30046731 	 -77.65279841
170 	 	 26 	 43.29901644 	 -77.63537447
171 	 	 26 	 43.29756384 	 -77.61795148
172 	 	 26 	 43.29610771 	 -77.60052954
173 	 	 26 	 43.29464227 	 -77.58264426
174 	 	 26 	 43.29316639 	 -77.56429576
175 	 	 26 	 43.29168845 	 -77.54594705
176 	 	 26 	 43.29020764 	 -77.52760064
177 	 	 26 	 43.28873372 	 -77.5096356
178 	 	 26 	 43.28726595 	 -77.49205071
179 	 	 26 	 43.28579643 	 -77.47446801
180 	 	 26 	 43.28432424 	 -77.45688634
181 	 	 26 	 43.28283006 	 -77.43911949
