I	J	XCent	YCent	CUE	CVE	CUN	CVN	WNDSHLT	lat	lon
175	2	779851.6	4792993.9	0.99808	0.06201	-0.06201	0.99808	1	43.23781492	-77.55339785
176	2	781284.5	4792807.5	0.99763	0.06879	-0.06879	0.99763	1	43.23560679	-77.53587709
174	3	778435.2	4793478	0.99849	0.05498	-0.05498	0.99849	1	43.24269022	-77.57056693
175	3	779870.5	4793297	0.99808	0.06201	-0.06201	0.99808	1	43.24053229	-77.55301174
176	3	781305.8	4793116.1	0.99763	0.06879	-0.06879	0.99763	1	43.23837261	-77.53545791
174	4	778451.6	4793775.7	0.99849	0.05498	-0.05498	0.99849	1	43.24536005	-77.57021499
175	4	779889.3	4793600.2	0.99808	0.06201	-0.06201	0.99808	1	43.2432506	-77.55262676
176	4	781327.1	4793424.6	0.99763	0.06879	-0.06879	0.99763	1	43.24113754	-77.53503873
173	5	777027.8	4794243.6	0.99886	0.04769	-0.04769	0.99886	1	43.25009003	-77.58748679
174	5	778468	4794073.5	0.99849	0.05498	-0.05498	0.99849	1	43.24803079	-77.56986297
175	5	779908.2	4793903.3	0.99808	0.06201	-0.06201	0.99808	1	43.24596796	-77.55224056
176	5	781348.4	4793733.2	0.99763	0.06879	-0.06879	0.99763	1	43.24390336	-77.53461946
172	6	775607.6	4794670.8	0.99901	0.04442	-0.04442	0.99901	1	43.25445032	-77.60473748
173	6	777041.8	4794536	0.99886	0.04769	-0.04769	0.99886	1	43.25271319	-77.58716771
174	6	778484.4	4794371.2	0.99849	0.05498	-0.05498	0.99849	1	43.25070062	-77.56951096
175	6	779927	4794206.5	0.99808	0.06201	-0.06201	0.99808	1	43.24868626	-77.5518555
176	6	781369.7	4794041.7	0.99763	0.06879	-0.06879	0.99763	1	43.24666828	-77.53420019
172	7	775620.4	4794960.5	0.99901	0.04442	-0.04442	0.99901	1	43.25704972	-77.60443521
173	7	777055.7	4794828.3	0.99886	0.04769	-0.04769	0.99886	1	43.25533547	-77.58684987
