OBJECTID,I_Value,J_Value,RASTERVALU
1,9,91,8.08569
2,10,91,8.1091
3,11,90,8.10768
4,11,91,8.13275
5,12,89,8.10134
6,12,90,8.13016
7,12,91,8.15601
8,13,90,8.15208
9,13,91,8.1783
10,14,89,8.14243
11,14,90,8.17169
12,14,91,8.1968
13,15,89,8.16226
14,15,90,8.18838
15,15,91,8.21247
16,16,90,8.20223
17,17,85,7.93177
18,17,86,8.0183
19,17,87,8.10276
20,17,88,8.1611
21,17,89,8.193
22,17,90,8.21102
23,18,85,7.91699
24,18,86,8.02138
25,18,87,8.11603
26,18,88,8.17588
27,18,89,8.20128
28,18,90,8.21222
29,18,91,8.23154
30,19,84,7.75975
31,19,85,7.87953
32,19,86,8.01634
33,19,87,8.1255
34,19,88,8.18699
35,19,89,8.20405
36,19,90,8.20702
37,19,91,8.22994
38,20,83,7.57215
39,20,84,7.70327
40,20,85,7.84412
41,20,86,8.00382
42,20,87,8.12889
43,20,88,8.19515
44,20,89,8.20414
45,20,90,8.20172
46,20,91,8.23638
47,21,83,7.48145
48,21,84,7.62522
49,21,85,7.79371
50,21,86,7.98042
51,21,87,8.12903
52,21,88,8.20543
53,21,89,8.21269
54,21,90,8.21332
55,21,91,8.26404
56,22,81,7.23133
57,22,82,7.27188
58,22,83,7.36371
59,22,84,7.51983
60,22,85,7.71971
61,22,86,7.94554
62,22,87,8.12932
63,22,88,8.22985
64,22,89,8.25168
65,22,90,8.26765
66,22,91,8.33277
67,23,81,7.11991
68,23,82,7.13555
69,23,83,7.21412
70,23,84,7.38248
71,23,85,7.62095
72,23,86,7.90066
73,23,87,8.13787
74,23,88,8.28502
75,23,89,8.34513
76,23,90,8.38365
77,23,91,8.45582
78,23,92,8.55355
79,24,81,6.99682
80,24,82,6.97346
81,24,83,7.02908
82,24,84,7.20693
83,24,85,7.49581
84,24,86,7.84909
85,24,87,8.16389
86,24,88,8.38409
87,24,89,8.50767
88,24,90,8.56661
89,24,91,8.61905
90,24,92,8.69782
91,25,80,6.9528
92,25,81,6.86574
93,25,82,6.79791
94,25,83,6.81645
95,25,84,6.98972
96,25,85,7.34752
97,25,86,7.79521
98,25,87,8.21249
99,25,88,8.52808
100,25,89,8.71955
101,25,90,8.78654
102,25,91,8.80238
103,25,92,8.84619
