date flow_ft3_s po4_mg_L Daily_Load_MTD
1/1/2013 108 0.1087 0.028724453
1/2/2013 92.4 0.11154 0.025217445
1/3/2013 104 0.10904 0.027747103
1/4/2013 104 0.10893 0.027719112
1/5/2013 103 0.10899 0.027467703
1/6/2013 109 0.10802 0.028809064
1/7/2013 133 0.10629 0.034589359
1/8/2013 144.3 0.10619 0.037492847
1/9/2013 137 0.10608 0.035559247
1/10/2013 235 0.11363 0.065337023
1/11/2013 241 0.11436 0.067435668
1/12/2013 298 0.12275 0.089502721
1/13/2013 424 0.14536 0.150802744
1/14/2013 480 0.15659 0.183909318
1/15/2013 360 0.13323 0.117355379
1/16/2013 260 0.11681 0.074310784
1/17/2013 170 0.10681 0.04442826
1/18/2013 124 0.10614 0.032203216
1/19/2013 112 0.10709 0.029347115
1/20/2013 114 0.10689 0.029815384
1/21/2013 96.8 0.10949 0.025932733
1/22/2013 68.3 0.12058 0.0201509
1/23/2013 69.7 0.11974 0.020420694
1/24/2013 78.9 0.11508 0.022216484
1/25/2013 72.9 0.118 0.021047863
1/26/2013 70.9 0.11917 0.020673388
1/27/2013 71 0.11918 0.020704283
1/28/2013 72.3 0.11852 0.020966619
1/29/2013 159 0.10662 0.041479573
1/30/2013 1040 0.29825 0.758948424
1/31/2013 1020 0.2927 0.730501927
2/1/2013 661 0.19805 0.320313157
2/2/2013 318 0.12684 0.098691972
2/3/2013 194 0.10966 0.052053321
2/4/2013 168 0.10771 0.044275531
2/5/2013 126 0.10718 0.033043251
2/6/2013 122 0.10752 0.032095752
2/7/2013 102 0.1099 0.027428139
2/8/2013 98.1 0.11078 0.026590643
2/9/2013 74.5 0.11885 0.021664762
2/10/2013 94.1 0.112 0.025787315
2/11/2013 134 0.10784 0.03535763
2/12/2013 270 0.12078 0.079791616
2/13/2013 291 0.12428 0.088489696
2/14/2013 291 0.1245 0.088646341
2/15/2013 325 0.13047 0.103751049
2/16/2013 313 0.12864 0.098518738
2/17/2013 223 0.1153 0.062911877
2/18/2013 126 0.10947 0.033749251
2/19/2013 241 0.11814 0.069664653
2/20/2013 395 0.14487 0.140014827
2/21/2013 250 0.11992 0.073355064
2/22/2013 175 0.11158 0.04777744
2/23/2013 131 0.11048 0.035412243
2/24/2013 127 0.11088 0.03445525
2/25/2013 123 0.11135 0.033511495
2/26/2013 119 0.11189 0.032578922
2/27/2013 929 0.27994 0.636325231
2/28/2013 1120 0.33895 0.928864003
3/1/2013 849 0.25854 0.537073726
3/2/2013 476 0.1655 0.19275401
3/3/2013 271 0.12618 0.083667788
3/4/2013 179.3 0.11482 0.050372825
3/5/2013 162 0.11393 0.045159756
3/6/2013 141 0.11361 0.039195314
3/7/2013 175 0.11545 0.049434536
3/8/2013 218 0.12029 0.064162975
3/9/2013 234 0.1228 0.070309287
3/10/2013 211 0.12016 0.06203558
3/11/2013 215 0.12103 0.063669284
3/12/2013 199 0.11952 0.058195866
3/13/2013 185 0.11848 0.05363092
3/14/2013 161 0.11707 0.046117947
3/15/2013 143 0.11685 0.040884927
3/16/2013 127 0.11748 0.036506158
3/17/2013 116 0.11865 0.033676287
3/18/2013 102 0.12101 0.030200901
3/19/2013 101 0.12163 0.030058033
3/20/2013 105 0.12132 0.031168806
3/21/2013 100 0.12269 0.030019789
3/22/2013 97 0.12379 0.029380269
3/23/2013 99.3 0.12371 0.030057477
3/24/2013 108 0.12258 0.032392304
3/25/2013 111 0.12261 0.033300238
3/26/2013 109 0.12333 0.032892259
3/27/2013 97.5 0.12595 0.03004701
3/28/2013 103 0.12525 0.031565555
3/29/2013 95.8 0.12731 0.029841902
3/30/2013 94.2 0.12822 0.029553243
3/31/2013 88 0.13063 0.028127043
4/1/2013 82.2 0.13341 0.026832348
4/2/2013 92.83 0.13009 0.02954818
4/3/2013 75.1 0.13805 0.025367334
4/4/2013 75 0.13864 0.025441826
4/5/2013 77.7 0.13769 0.026177122
4/6/2013 65.7 0.14636 0.023528067
4/7/2013 71.8 0.14231 0.025001055
4/8/2013 65.3 0.14787 0.023626083
4/9/2013 80.1 0.13865 0.02717383
4/10/2013 305 0.15062 0.11240379
4/11/2013 714 0.25615 0.447497943
4/12/2013 1083 0.38017 1.007406552
4/13/2013 1160 0.41015 1.164123823
4/14/2013 546 0.21104 0.281939479
4/15/2013 292 0.15107 0.107934318
4/16/2013 188 0.13486 0.062035384
4/17/2013 158 0.13287 0.051366798
4/18/2013 139 0.13288 0.045193179
4/19/2013 131 0.13355 0.042806888
4/20/2013 115 0.13525 0.038056916
4/21/2013 115 0.1358 0.038211676
4/22/2013 109 0.13717 0.036583404
4/23/2013 115 0.1369 0.038521196
4/24/2013 96.1 0.14108 0.033173196
4/25/2013 154 0.13703 0.051633891
4/26/2013 146 0.13731 0.049051636
4/27/2013 139 0.13779 0.046863096
4/28/2013 142 0.13836 0.048072573
4/29/2013 144 0.13894 0.048954008
4/30/2013 150 0.13964 0.051250673
5/1/2013 148 0.14014 0.050748394
5/2/2013 139 0.14057 0.047808588
5/3/2013 138 0.14113 0.04765373
5/4/2013 140 0.14168 0.048532767
5/5/2013 134 0.1423 0.046656072
5/6/2013 137.7 0.14277 0.048102691
5/7/2013 134 0.14341 0.047020009
5/8/2013 132 0.14402 0.046515234
5/9/2013 140 0.14446 0.049485062
5/10/2013 136 0.14503 0.048260879
5/11/2013 138 0.14556 0.049149557
5/12/2013 135 0.14615 0.048275976
5/13/2013 134 0.14672 0.048105262
5/14/2013 139 0.1472 0.050063485
5/15/2013 132 0.14786 0.047755468
5/16/2013 130 0.14848 0.047229112
5/17/2013 131 0.14898 0.047752679
5/18/2013 121 0.15015 0.044453829
5/19/2013 122 0.1506 0.044955546
5/20/2013 118 0.15152 0.043747218
5/21/2013 100 0.15534 0.038008591
5/22/2013 124 0.15202 0.046123354
5/23/2013 123 0.15262 0.045931966
5/24/2013 125 0.15299 0.046791992
5/25/2013 132 0.15313 0.04945756
5/26/2013 115 0.15502 0.043619838
5/27/2013 118 0.15515 0.04479528
5/28/2013 123 0.15516 0.046696395
5/29/2013 292 0.17828 0.127374927
5/30/2013 261 0.17192 0.109790656
5/31/2013 162 0.15684 0.06216849
6/1/2013 131 0.15661 0.050198329
6/2/2013 557 0.25661 0.349725455
6/3/2013 489 0.23566 0.281963702
6/4/2013 342 0.19398 0.16232355
6/5/2013 181 0.16102 0.071311056
6/6/2013 187 0.16221 0.074219445
6/7/2013 363 0.20123 0.178730152
6/8/2013 272 0.17887 0.11904328
