date flow_ft3_s po4_mg_L Daily_Load_MTD
1/1/2013 2430 0.05719 0.340035956
1/2/2013 2220 0.05265 0.285989324
1/3/2013 2010 0.04845 0.238280395
1/4/2013 2150 0.05081 0.267292102
1/5/2013 2320 0.05387 0.305797149
1/6/2013 2263 0.05251 0.290753562
1/7/2013 2322 0.05341 0.303447291
1/8/2013 2280 0.05235 0.292045154
1/9/2013 2270 0.05192 0.288375933
1/10/2013 2827 0.06331 0.437921829
1/11/2013 3160 0.07085 0.547804265
1/12/2013 5296 0.13675 1.77204107
1/13/2013 7280 0.2259 4.023889834
1/14/2013 7040 0.21257 3.661618583
1/15/2013 6770 0.19836 3.285800869
1/16/2013 7090 0.21345 3.702890471
1/17/2013 6570 0.18739 3.012383448
1/18/2013 6320 0.17534 2.711418484
1/19/2013 6180 0.16858 2.549135942
1/20/2013 5970 0.15909 2.32389063
1/21/2013 5570 0.14253 1.94249519
1/22/2013 4770 0.11339 1.32340145
1/23/2013 2550 0.05456 0.34041839
1/24/2013 1590 0.03811 0.148263601
1/25/2013 1290 0.03423 0.108042614
1/26/2013 1220 0.03337 0.099612654
1/27/2013 1387 0.03514 0.119255026
1/28/2013 1330 0.03438 0.111880909
1/29/2013 1780 0.04028 0.175431645
1/30/2013 3780 0.08169 0.755542968
1/31/2013 7080 0.20317 3.5195838
2/1/2013 7070 0.20221 3.498005716
2/2/2013 6850 0.19135 3.207136983
2/3/2013 6760 0.18679 3.089575339
2/4/2013 6820 0.18915 3.15637934
2/5/2013 7010 0.19764 3.38993472
2/6/2013 6640 0.18029 2.929126918
2/7/2013 5600 0.13755 1.884721104
2/8/2013 4870 0.11194 1.333867637
2/9/2013 3900 0.08319 0.793842239
2/10/2013 2180 0.04563 0.243391515
2/11/2013 2550 0.05224 0.325943122
2/12/2013 3490 0.07246 0.618759997
2/13/2013 3910 0.08301 0.794155674
2/14/2013 3450 0.07134 0.602213756
2/15/2013 3270 0.06707 0.536629485
2/16/2013 3110 0.06342 0.482597534
2/17/2013 2900 0.05888 0.417795994
2/18/2013 2230 0.04612 0.251647508
2/19/2013 2120 0.04424 0.229482436
2/20/2013 2300 0.04729 0.266131096
2/21/2013 1940 0.04133 0.196184913
2/22/2013 1720 0.03807 0.160217443
2/23/2013 1560 0.0359 0.137030587
2/24/2013 1860 0.0401 0.182497025
2/25/2013 1750 0.03849 0.164810331
2/26/2013 1460 0.03466 0.123816888
2/27/2013 1960 0.04165 0.199742071
2/28/2013 3300 0.06758 0.545670655
3/1/2013 4760 0.10723 1.248882933
3/2/2013 4190 0.09035 0.926276512
3/3/2013 3370 0.06933 0.57167549
3/4/2013 2780 0.05652 0.384454918
3/5/2013 2460 0.05037 0.303183477
3/6/2013 2100 0.04412 0.226700914
3/7/2013 2270 0.04707 0.261437889
3/8/2013 2620 0.05359 0.343544911
3/9/2013 2730 0.05584 0.372998022
3/10/2013 3000 0.06155 0.45180162
3/11/2013 4666 0.10547 1.204126605
3/12/2013 6248 0.16318 2.494631612
3/13/2013 8380 0.26961 5.528133048
3/14/2013 7890 0.24252 4.681909715
3/15/2013 7000 0.1977 3.38612652
3/16/2013 6540 0.17704 2.833006827
3/17/2013 6410 0.17175 2.693724939
3/18/2013 6030 0.15617 2.304164039
3/19/2013 5240 0.12649 1.621757636
3/20/2013 3840 0.08332 0.782850724
3/21/2013 2990 0.06277 0.459221052
3/22/2013 2700 0.05678 0.375109121
3/23/2013 2540 0.05372 0.333862924
3/24/2013 2330 0.04988 0.284368075
3/25/2013 2260 0.04874 0.269520892
3/26/2013 2360 0.05074 0.292995492
3/27/2013 2400 0.05166 0.303364051
3/28/2013 2640 0.05658 0.365481452
3/29/2013 2930 0.06297 0.451439738
3/30/2013 2880 0.06208 0.437464351
3/31/2013 3040 0.06591 0.490256508
4/1/2013 3417 0.07525 0.629143849
4/2/2013 3960 0.09022 0.874171172
4/3/2013 4230 0.09856 1.020092452
4/4/2013 3690 0.08334 0.752451191
4/5/2013 3040 0.06717 0.49962873
4/6/2013 2940 0.06512 0.468446711
4/7/2013 2890 0.06424 0.454257228
4/8/2013 2530 0.05667 0.350810195
4/9/2013 3010 0.06758 0.497717779
4/10/2013 3790 0.08826 0.818467813
4/11/2013 8333 0.2931 5.976069948
4/12/2013 9220 0.35483 8.004785966
4/13/2013 11570 0.55623 15.74657984
4/14/2013 9147 0.35277 7.895302896
