date,flow_ft3_s,po4_mg_L,Daily_Load_MTD
1/1/2013,147,0.07371,0.026511983
1/2/2013,134,0.0687,0.022524751
1/3/2013,138,0.0697,0.02353479
1/4/2013,136,0.06862,0.022834321
1/5/2013,134,0.06755,0.0221477
1/6/2013,137,0.06823,0.022871487
1/7/2013,151,0.07269,0.026856542
1/8/2013,145,0.07028,0.02493436
1/9/2013,143,0.06927,0.024237047
1/10/2013,216,0.09389,0.049621691
1/11/2013,292,0.12001,0.085743017
1/12/2013,475,0.18674,0.21703483
1/13/2013,415,0.16344,0.165960572
1/14/2013,310,0.12487,0.094714894
1/15/2013,215,0.09165,0.048213582
1/16/2013,181,0.07992,0.035394234
1/17/2013,159,0.07236,0.028151021
1/18/2013,135,0.06424,0.021219628
1/19/2013,131,0.06274,0.020110102
1/20/2013,131,0.06256,0.020052407
1/21/2013,115,0.05719,0.016092237
1/22/2013,92,0.04959,0.011162987
1/23/2013,86.2,0.04759,0.010037405
1/24/2013,80.8,0.04574,0.009042864
1/25/2013,78.8,0.045,0.008676353
1/26/2013,77.5,0.0445,0.008438402
1/27/2013,77.2,0.04434,0.008375514
1/28/2013,80.1,0.04521,0.008860648
1/29/2013,239,0.09652,0.056443468
1/30/2013,418.3,0.15789,0.161599853
1/31/2013,393,0.14878,0.143065717
2/1/2013,225,0.09168,0.05047259
2/2/2013,173,0.07476,0.031645639
2/3/2013,134,0.06224,0.020406703
2/4/2013,120,0.05777,0.016962196
2/5/2013,110,0.05458,0.014690098
2/6/2013,103,0.05236,0.013195788
2/7/2013,92.6,0.04906,0.011115705
2/8/2013,96,0.05019,0.01178927
2/9/2013,94.5,0.04974,0.011501012
2/10/2013,93.4,0.04945,0.011300864
2/11/2013,136,0.06317,0.021020752
2/12/2013,188,0.08006,0.036827472
2/13/2013,159,0.07078,0.027536336
2/14/2013,144,0.06606,0.023275528
2/15/2013,189,0.08082,0.037374821
2/16/2013,192,0.08198,0.038513023
2/17/2013,159,0.07137,0.02776587
2/18/2013,128,0.06145,0.01924555
2/19/2013,139,0.0652,0.022174859
2/20/2013,150,0.069,0.02532438
2/21/2013,122,0.06001,0.017913561
2/22/2013,115,0.05791,0.016294832
2/23/2013,112,0.05711,0.015650516
2/24/2013,118,0.05931,0.017124126
2/25/2013,113,0.05787,0.016000384
2/26/2013,112,0.05776,0.015828643
2/27/2013,341,0.13709,0.114382248
2/28/2013,548,0.21616,0.289837358
3/1/2013,532,0.21079,0.274384837
3/2/2013,312,0.1284,0.098020765
3/3/2013,219,0.09591,0.051393297
3/4/2013,179.3,0.08256,0.03622
3/5/2013,171,0.08007,0.033501512
3/6/2013,157,0.07561,0.0290454
3/7/2013,170,0.08059,0.033521894
3/8/2013,203,0.09276,0.046073929
3/9/2013,243,0.10776,0.064071122
3/10/2013,271,0.11873,0.078727821
3/11/2013,328.7,0.14121,0.113570001
3/12/2013,387.7,0.16508,0.156598909
3/13/2013,336.3,0.14601,0.120145619
3/14/2013,209,0.09849,0.050365934
3/15/2013,168,0.08393,0.034500467
3/16/2013,150,0.07783,0.028565167
3/17/2013,135,0.0728,0.02404715
3/18/2013,124,0.06921,0.020998535
3/19/2013,143,0.07688,0.026899728
3/20/2013,152,0.08087,0.030076653
3/21/2013,149,0.08033,0.029286165
3/22/2013,140,0.07748,0.026540929
3/23/2013,134,0.07575,0.024836243
3/24/2013,138,0.07793,0.026313719
3/25/2013,147,0.08212,0.029536889
3/26/2013,148,0.08319,0.030125295
3/27/2013,147,0.08349,0.03002965
3/28/2013,145,0.08338,0.029582057
3/29/2013,137,0.08083,0.027095154
3/30/2013,129,0.07824,0.024695455
3/31/2013,123,0.07643,0.023002098
4/1/2013,131,0.08047,0.025793113
4/2/2013,123,0.07782,0.023420427
4/3/2013,116,0.07554,0.021440428
4/4/2013,107,0.07237,0.018947016
4/5/2013,101,0.07043,0.017405141
4/6/2013,86,0.0645,0.0135724
4/7/2013,83.8,0.06413,0.013149333
4/8/2013,77.7,0.06201,0.011789115
