Date,Flow,USGS_mg_L,IntNOTL
1/1/2018,241900,0.035,39858.95224
1/2/2018,259200,0.033,46632.59646
1/3/2018,225000,0.031,43885.10571
1/4/2018,208700,0.030,43864.59104
1/5/2018,209400,0.028,40659.41937
1/6/2018,199900,0.027,35614.58266
1/7/2018,196000,0.025,31781.97456
1/8/2018,218200,0.023,31888.59212
1/9/2018,227100,0.022,29553.61438
1/10/2018,217200,0.020,24788.11135
1/11/2018,223500,0.020,21929.07798
1/12/2018,230300,0.020,21839.57404
1/13/2018,236300,0.020,21632.14831
1/14/2018,228100,0.020,20132.00824
1/15/2018,213700,0.020,18158.91571
1/16/2018,233800,0.020,19098.69314
1/17/2018,240500,0.020,18855.79232
1/18/2018,226400,0.020,17006.43446
1/19/2018,215400,0.020,15472.40971
1/20/2018,217900,0.019,14936.0327
1/21/2018,226700,0.019,14794.36298
1/22/2018,220400,0.019,13659.05827
1/23/2018,232000,0.019,13615.67301
1/24/2018,235200,0.019,13030.67808
1/25/2018,231000,0.019,12038.99004
1/26/2018,227100,0.019,11883.36307
1/27/2018,219000,0.019,11505.44782
1/28/2018,225700,0.019,11904.77607
1/29/2018,226700,0.019,12005.06691
1/30/2018,242300,0.019,12881.99303
1/31/2018,224200,0.019,11966.71856
2/1/2018,215100,0.019,11526.11629
2/2/2018,232700,0.019,11932.37597
2/3/2018,226700,0.019,11101.71534
2/4/2018,227100,0.019,10597.38791
2/5/2018,235500,0.019,10446.07081
2/6/2018,225300,0.019,9473.866287
2/7/2018,223200,0.019,8870.642702
2/8/2018,231000,0.018,8647.72524
2/9/2018,231300,0.018,8683.210831
2/10/2018,226700,0.018,8534.295087
2/11/2018,216800,0.018,8184.336274
2/12/2018,224600,0.018,8502.343375
2/13/2018,223900,0.018,8499.323325
2/14/2018,221800,0.018,8442.865162
2/15/2018,222500,0.018,8492.8428
2/16/2018,235900,0.018,11082.2423
2/17/2018,234800,0.018,13098.79699
2/18/2018,228500,0.018,14760.07632
2/19/2018,230300,0.018,16904.9412
2/20/2018,240500,0.018,19772.10144
2/21/2018,247900,0.018,22564.09598
2/22/2018,236300,0.018,23589.69667
2/23/2018,240100,0.018,22789.89892
2/24/2018,235500,0.018,21196.71579
2/25/2018,240100,0.018,20431.59968
2/26/2018,249300,0.017,19990.15327
2/27/2018,239400,0.017,18020.6086
2/28/2018,245800,0.017,17295.21978
3/1/2018,228100,0.017,14929.57839
3/2/2018,254300,0.017,15395.53125
3/3/2018,246500,0.017,13712.73232
3/4/2018,242600,0.017,12304.349
3/5/2018,245800,0.017,11259.50597
3/6/2018,237000,0.017,9692.473886
3/7/2018,252900,0.017,9100.717053
3/8/2018,273700,0.017,8505.052332
3/9/2018,268000,0.018,7831.437806
3/10/2018,254300,0.018,6959.989013
3/11/2018,244700,0.018,6243.919011
3/12/2018,251800,0.018,5958.60815
3/13/2018,252900,0.019,5516.121847
3/14/2018,256700,0.019,5123.448897
3/15/2018,247600,0.019,4483.124832
3/16/2018,249000,0.020,4665.138789
3/17/2018,253900,0.020,4916.690801
3/18/2018,249300,0.020,4984.467161
3/19/2018,235900,0.020,4864.97244
3/20/2018,223900,0.021,4758.368859
3/21/2018,232400,0.021,5085.233376
3/22/2018,245800,0.021,5533.095648
3/23/2018,252100,0.022,5613.228348
3/24/2018,246500,0.022,5428.2258
3/25/2018,232700,0.022,5067.396204
3/26/2018,237700,0.022,5118.118368
3/27/2018,244000,0.023,5194.06704
3/28/2018,250400,0.023,5269.036992
3/29/2018,244000,0.023,5074.6632
3/30/2018,252900,0.024,14585.89911
