date,flow_ft3_s,po4_mg_L,Daily Load MTD
1/1/2013,193900,0.04219,20.0163924
1/2/2013,192800,0.04174,19.69055449
1/3/2013,196700,0.04308,20.73378192
1/4/2013,218200,0.04813,25.69621041
1/5/2013,195300,0.04245,20.2851587
1/6/2013,188600,0.0398,18.3663659
1/7/2013,183300,0.03742,16.78281162
1/8/2013,191100,0.04064,19.00259263
1/9/2013,190000,0.04015,18.6654138
1/10/2013,179000,0.03523,15.42993676
1/11/2013,179400,0.03531,15.49953354
1/12/2013,183300,0.03704,16.61238222
1/13/2013,182600,0.03663,16.36575946
1/14/2013,196300,0.04204,20.19209955
1/15/2013,190000,0.0396,18.4097232
1/16/2013,193200,0.0407,19.23977563
1/17/2013,200200,0.04295,21.03903001
1/18/2013,198100,0.04218,20.44511335
1/19/2013,187500,0.03819,17.52061725
1/20/2013,208000,0.04461,22.70356358
1/21/2013,198500,0.04191,20.35525952
1/22/2013,208700,0.0445,22.72379862
1/23/2013,207700,0.04411,22.41671788
1/24/2013,186800,0.03733,17.06213342
1/25/2013,180800,0.03462,15.31524545
1/26/2013,169900,0.02919,12.13461343
1/27/2013,167400,0.02782,11.39491398
1/28/2013,191100,0.03845,17.97858481
1/29/2013,181500,0.03446,15.30348613
1/30/2013,185000,0.03585,16.2277893
1/31/2013,250000,0.0445,27.22065
2/1/2013,221800,0.04493,24.38352178
2/2/2013,202700,0.04141,20.53796697
2/3/2013,176200,0.03143,13.55029521
2/4/2013,184700,0.03501,15.82185784
2/5/2013,189300,0.03666,16.98015094
2/6/2013,179000,0.03233,14.15980288
2/7/2013,182200,0.03357,14.96573965
2/8/2013,189300,0.0362,16.76708849
2/9/2013,175500,0.03033,13.02410842
2/10/2013,163900,0.02456,9.849309571
2/11/2013,205500,0.04057,20.39930192
2/12/2013,202000,0.03953,19.53784481
2/13/2013,187900,0.0349,16.04540483
2/14/2013,194900,0.03717,17.72567866
2/15/2013,195600,0.03721,17.80848572
2/16/2013,174800,0.02907,12.4332576
2/17/2013,187200,0.034,15.57339264
2/18/2013,177600,0.03004,13.05393247
2/19/2013,208400,0.03967,20.22825347
2/20/2013,213700,0.04039,21.11917005
2/21/2013,193200,0.03539,16.72962309
2/22/2013,171300,0.02667,11.17837952
2/23/2013,176600,0.02886,12.47054684
2/24/2013,183600,0.03156,14.17777707
2/25/2013,182900,0.03113,13.93128888
2/26/2013,169500,0.02536,10.51761874
2/27/2013,186100,0.03199,14.56662987
2/28/2013,197100,0.0353,17.02392908
3/1/2013,196700,0.03502,16.85462031
3/2/2013,182900,0.03035,13.5822235
3/3/2013,181500,0.02965,13.16739303
3/4/2013,194600,0.03388,16.13186985
3/5/2013,182200,0.02961,13.20034409
3/6/2013,167700,0.02356,9.667336162
3/7/2013,185400,0.03043,13.80416539
3/8/2013,175200,0.0264,11.3171351
3/9/2013,190000,0.03162,14.69988504
3/10/2013,172300,0.02499,10.53537516
3/11/2013,193500,0.03234,15.31156057
3/12/2013,206200,0.03521,17.76450693
3/13/2013,204100,0.0346,17.27895905
3/14/2013,196000,0.03249,15.58132027
3/15/2013,200200,0.03338,16.35117164
3/16/2013,182600,0.02802,12.51893475
3/17/2013,177300,0.02596,11.26190593
3/18/2013,183300,0.02796,12.54001638
3/19/2013,214700,0.0352,18.49154419
3/20/2013,206600,0.03377,17.07103488
3/21/2013,200900,0.03246,15.95610642
3/22/2013,201600,0.03244,16.00183711
3/23/2013,183600,0.02733,12.27752368
3/24/2013,174100,0.02382,10.1470313
3/25/2013,174500,0.02381,10.16607475
3/26/2013,188200,0.02832,13.04101336
3/27/2013,188200,0.02817,12.9719402
3/28/2013,203400,0.03175,15.80131206
3/29/2013,191400,0.02877,13.47349505
3/30/2013,183300,0.0262,11.75065913
3/31/2013,175200,0.02331,9.992515882
4/1/2013,199200,0.03021,14.72443134
4/2/2013,199900,0.0302,14.77128266
4/3/2013,197400,0.0295,14.24845044
4/4/2013,191800,0.02795,13.11682991
4/5/2013,187900,0.02674,12.29381447
4/6/2013,180100,0.02425,10.68621549
4/7/2013,176900,0.02308,9.989922274
4/8/2013,186100,0.02583,11.76167707
4/9/2013,193200,0.02759,13.04239336
4/10/2013,185800,0.02546,11.5745091
4/11/2013,182200,0.02429,10.82865106
4/12/2013,200600,0.02882,14.14566527
4/13/2013,206900,0.02982,15.09616387
4/14/2013,197100,0.0278,13.40694698
4/15/2013,202700,0.0288,14.28383117
4/16/2013,216500,0.03057,16.19391335
4/17/2013,196700,0.02733,13.15353435
4/18/2013,194200,0.02665,12.66324212
4/19/2013,206600,0.0289,14.60920663
4/20/2013,220000,0.03029,16.30498584
4/21/2013,196300,0.02675,12.84820797
4/22/2013,191100,0.0254,11.87662039
4/23/2013,193900,0.02595,12.31157579
4/24/2013,199900,0.02709,13.25013402
4/25/2013,207700,0.02828,14.37190618
4/26/2013,207300,0.02811,14.2580003
4/27/2013,184300,0.02313,10.4303634
4/28/2013,185400,0.02331,10.57427194
4/29/2013,209100,0.02799,14.32040838
4/30/2013,201600,0.02674,13.19017029
5/1/2013,204100,0.02705,13.50855035
5/2/2013,201600,0.02652,13.08164982
5/3/2013,202700,0.0266,13.19270518
5/4/2013,193500,0.02471,11.69909282
5/5/2013,184700,0.02248,10.15925062
5/6/2013,201600,0.02612,12.88433987
5/7/2013,198100,0.02538,12.30196721
5/8/2013,201300,0.02586,12.73710612
5/9/2013,195300,0.02463,11.76969279
5/10/2013,193200,0.0241,11.39259442
5/11/2013,205900,0.02632,13.25991388
5/12/2013,202700,0.02575,12.77113377
5/13/2013,220000,0.02764,14.87850144
5/14/2013,202400,0.02552,12.63832881
5/15/2013,208400,0.02632,13.42091332
5/16/2013,203800,0.02559,12.76065413
5/17/2013,191400,0.02319,10.86028329
5/18/2013,182900,0.02109,9.438190895
5/19/2013,187200,0.02208,10.1135444
5/20/2013,198800,0.02449,11.91251984
5/21/2013,200900,0.02479,12.18582495
5/22/2013,195300,0.02369,11.32050435
5/23/2013,199900,0.02448,11.97354303
5/24/2013,197400,0.02399,11.5871297
5/25/2013,184700,0.02116,9.562710994
5/26/2013,188200,0.02196,10.11231121
