date flow_ft3_s po4_mg_L Daily_Load_MTD
1/1/2013 10700 0.04824 1.262959862
1/2/2013 10500 0.04804 1.234214856
1/3/2013 10700 0.04803 1.257461903
1/4/2013 9910 0.04754 1.152739842
1/5/2013 9750 0.04736 1.129834368
1/6/2013 9710 0.04724 1.122348139
1/7/2013 10130 0.04737 1.174116799
1/8/2013 10500 0.04743 1.218543102
1/9/2013 10600 0.04738 1.22885147
1/10/2013 10100 0.04704 1.162484467
1/11/2013 9850 0.04682 1.128407884
1/12/2013 10200 0.0469 1.170500184
1/13/2013 11800 0.04754 1.37258629
1/14/2013 14700 0.04859 1.747683176
1/15/2013 14500 0.04842 1.717873812
1/16/2013 13200 0.04784 1.545124838
1/17/2013 12500 0.04747 1.45186995
1/18/2013 11800 0.04709 1.359593782
1/19/2013 11400 0.04683 1.306253542
1/20/2013 10500 0.04634 1.190539476
1/21/2013 10400 0.04621 1.175892931
1/22/2013 10300 0.04609 1.161562024
1/23/2013 9710 0.04573 1.086472912
1/24/2013 9680 0.04564 1.080984495
1/25/2013 8920 0.04518 0.986074102
1/26/2013 6770 0.04386 0.726533707
1/27/2013 4830 0.04238 0.500848705
1/28/2013 4930 0.0424 0.511459498
1/29/2013 5390 0.04269 0.563006478
1/30/2013 7640 0.04412 0.824759514
1/31/2013 12920 0.04656 1.471885263
2/1/2013 12000 0.04613 1.354450608
2/2/2013 12700 0.04635 1.440296586
2/3/2013 12100 0.04604 1.363073131
2/4/2013 11070 0.04553 1.23322904
2/5/2013 10500 0.04524 1.162278936
2/6/2013 10400 0.04513 1.148410474
2/7/2013 10000 0.0449 1.0986132
2/8/2013 9820 0.04476 1.075474302
2/9/2013 9430 0.04452 1.027224384
2/10/2013 10100 0.0448 1.107128064
2/11/2013 10100 0.04475 1.10589243
2/12/2013 10100 0.0447 1.104656796
2/13/2013 9800 0.04452 1.067529053
2/14/2013 9300 0.04424 1.006691818
2/15/2013 9570 0.04433 1.038025783
2/16/2013 9430 0.04422 1.020302387
2/17/2013 9150 0.04405 0.986201091
2/18/2013 9220 0.04405 0.993745799
2/19/2013 8910 0.04386 0.956191334
2/20/2013 7690 0.04317 0.812282058
2/21/2013 6550 0.04246 0.680486888
2/22/2013 5380 0.04163 0.548008328
2/23/2013 5460 0.04166 0.556557936
2/24/2013 5720 0.04183 0.585439964
2/25/2013 5860 0.04191 0.600915974
2/26/2013 5830 0.04187 0.597269018
2/27/2013 6030 0.04199 0.619529026
2/28/2013 7130 0.04268 0.744581793
3/1/2013 8400 0.04338 0.891594346
3/2/2013 9370 0.04386 1.005556992
3/3/2013 8680 0.04351 0.924075126
3/4/2013 8133 0.04321 0.859871412
3/5/2013 7670 0.04294 0.805853091
3/6/2013 7230 0.04268 0.755024736
3/7/2013 6920 0.0425 0.71960388
3/8/2013 6750 0.04239 0.700109001
3/9/2013 6230 0.04206 0.641144302
3/10/2013 6780 0.04241 0.703552383
3/11/2013 7410 0.0428 0.775997726
3/12/2013 12470 0.04521 1.379429255
3/13/2013 11700 0.0449 1.285377444
3/14/2013 11100 0.04466 1.212942377
3/15/2013 9810 0.04409 1.058297032
3/16/2013 9270 0.04385 0.994598509
3/17/2013 8380 0.0434 0.889881586
3/18/2013 7440 0.0429 0.780959837
3/19/2013 6780 0.04252 0.705377206
3/20/2013 6870 0.0426 0.716085382
3/21/2013 6870 0.04262 0.716421572
3/22/2013 6890 0.04266 0.719181562
3/23/2013 6840 0.04265 0.713795177
3/24/2013 6450 0.04243 0.66962432
3/25/2013 4410 0.04095 0.441866389
3/26/2013 3450 0.04008 0.338333717
3/27/2013 3340 0.04 0.32689248
3/28/2013 4030 0.04071 0.401425189
3/29/2013 3910 0.04063 0.388706722
3/30/2013 3640 0.04041 0.359905684
3/31/2013 3280 0.04008 0.3216622
4/1/2013 3533 0.04038 0.349066703
4/2/2013 3570 0.04046 0.353421175
4/3/2013 4330 0.04121 0.436605279
4/4/2013 7917 0.04374 0.847301344
4/5/2013 8400 0.04406 0.905570467
4/6/2013 7806 0.04378 0.836185777
4/7/2013 7287 0.04352 0.775954271
4/8/2013 6560 0.04313 0.692279975
4/9/2013 6500 0.04314 0.686107188
4/10/2013 7180 0.04363 0.766492887
4/11/2013 10900 0.04561 1.216424173
4/12/2013 15570 0.04747 1.80844921
4/13/2013 15980 0.04767 1.863890517
4/14/2013 17270 0.04814 2.034215201
4/15/2013 17600 0.04832 2.080837018
4/16/2013 17400 0.04833 2.057616886
4/17/2013 16800 0.04822 1.982142893
4/18/2013 16400 0.04817 1.932942638
4/19/2013 16000 0.04811 1.883448768
4/20/2013 14900 0.04781 1.743024469
4/21/2013 14700 0.04782 1.719987847
4/22/2013 14300 0.04776 1.671086102
4/23/2013 14100 0.04777 1.648059268
4/24/2013 13000 0.04743 1.508672412
4/25/2013 13100 0.04755 1.524123954
4/26/2013 12100 0.04723 1.398304604
4/27/2013 9480 0.04612 1.069784024
4/28/2013 9020 0.04597 1.014564152
4/29/2013 5740 0.04403 0.618385147
4/30/2013 2450 0.0409 0.245181594
5/1/2013 2570 0.04114 0.258699675
5/2/2013 2510 0.04115 0.252721408
5/3/2013 2000 0.04048 0.198092928
5/4/2013 1850 0.04032 0.182511706
5/5/2013 2560 0.04147 0.259760118
5/6/2013 2470 0.04143 0.250386182
5/7/2013 2170 0.04109 0.218169656
5/8/2013 4170 0.04353 0.444143381
5/9/2013 3840 0.0433 0.40683433
5/10/2013 4430 0.04395 0.47638829
5/11/2013 5470 0.04492 0.6012091
5/12/2013 5190 0.0448 0.568910362
5/13/2013 6300 0.04574 0.705074782
5/14/2013 5450 0.0452 0.602744712
5/15/2013 3990 0.04403 0.42985309
5/16/2013 2040 0.04171 0.208194297
5/17/2013 1950 0.04166 0.198770692
5/18/2013 2350 0.04238 0.243684152
5/19/2013 2530 0.04274 0.264577867
5/20/2013 2650 0.043 0.27881286
5/21/2013 2840 0.04335 0.301235335
5/22/2013 4630 0.04535 0.513755819
5/23/2013 7700 0.04773 0.899250383
5/24/2013 10200 0.04924 1.228900406
5/25/2013 9950 0.04923 1.198536842
5/26/2013 8910 0.04878 1.063452195
5/27/2013 4040 0.04533 0.448090314
5/28/2013 5260 0.04655 0.59910632
5/29/2013 7200 0.04809 0.847199606
5/30/2013 11300 0.05048 1.395713443
5/31/2013 11200 0.05056 1.38555433
6/1/2013 9620 0.04988 1.174086214
6/2/2013 6100 0.04778 0.713139434
6/3/2013 7273 0.04873 0.867178438
6/4/2013 6300 0.04817 0.742532843
6/5/2013 7880 0.04936 0.951699498
6/6/2013 8070 0.04959 0.979188073
6/7/2013 15300 0.05316 1.990099886
6/8/2013 14800 0.0531 1.922891184
6/9/2013 14700 0.05319 1.913135792
6/10/2013 14800 0.05335 1.931944344
6/11/2013 14800 0.05348 1.936651987
6/12/2013 13700 0.05317 1.782320077
6/13/2013 15600 0.05405 2.063092824
6/14/2013 19570 0.05552 2.658512796
6/15/2013 18100 0.05519 2.444203945
6/16/2013 17200 0.05502 2.315514499
6/17/2013 16830 0.05503 2.266115809
6/18/2013 14200 0.05414 1.881070478
